page,n_orden,localidad,provincia,departamento,wiki_sugerencia,dist,crop,mi_lectura,veredicto,valor_final
v4_p13,751,Pedro E. Funes,Córdoba,Juárez Celman,Pedro L. Funes,1,pages/checks/ap_v4_p13_751.png,= crudo (imagen verificada),verbatim_paso3,
v4_p14,382,Pueblo Brito,Santa Fe,Rosario,Pueblo Brugo,2,pages/checks/ap_v4_p14_382.png,Pueblo Britos,typo_transcripcion,Pueblo Britos
v4_p15,728,Ruiz Díaz de Guzmán,Córdoba,Pte. Roque Sáenz Peña,Ruy Díaz de Guzmán,2,pages/checks/ap_v4_p15_728.png,= crudo (imagen verificada),verbatim_paso3,
v4_p16,275,S. Martín de las Escobas,Santa Fe,San Martín,San Martín de las Escobas,2,pages/checks/ap_v4_p16_275.png,= crudo (imagen verificada),verbatim_paso3,
v4_p16,411,San Marcos Sierra,Córdoba,Cruz del Eje,San Marcos Sierras,1,pages/checks/ap_v4_p16_411.png,= crudo (imagen verificada),verbatim_paso3,
v4_p17,368,Sa Pereyra,Santa Fe,Las Colonias,Sa Pereira,1,pages/checks/ap_v4_p17_368.png,= crudo (imagen verificada),verbatim_paso3,
v4_p17,402,Sebastián el Cano,Córdoba,Río Seco,Sebastián Elcano (Córdoba),1,pages/checks/ap_v4_p17_402.png,= crudo,defer_paso3_puntuacion,
v4_p17,556,Tala Norte,Córdoba,Río Primero,Tano Norte (distrito),2,pages/checks/ap_v4_p17_556.png,(sugerencia wiki = otro lugar),defer_paso3_wiki_ruido,
v4_p17,709,Tala Cruz,Córdoba,Calamuchita,Taio Cruz,2,pages/checks/ap_v4_p17_709.png,= crudo (imagen verificada),verbatim_paso3,
v4_p18,72,Teodolina,Santa Fe,General López,Teodelina,1,pages/checks/ap_v4_p18_72.png,= crudo (imagen verificada),verbatim_paso3,
v4_p18,530,Villa del Lago,Córdoba,Punilla,Valle del Lago,2,pages/checks/ap_v4_p18_530.png,= crudo (imagen verificada),verbatim_paso3,
v5_p01,169,Capiovy,Misiones,Lib. Gral. San Martín,Capioví,1,pages/checks/ap_v5_p01_169.png,= crudo (imagen verificada),verbatim_paso3,
v5_p01,192,Altamirano Sud,Entre Ríos,Tala,Altamirano Sur,1,pages/checks/ap_v5_p01_192.png,= crudo (imagen verificada),verbatim_paso3,
v5_p01,193,Caa-Yarí,Misiones,Leandro N. Alem,Caa Yarí,1,pages/checks/ap_v5_p01_193.png,= crudo,defer_paso3_puntuacion,
v5_p02,6,Curuzú-Cuatiá,Corrientes,Curuzú Cuatiá,Curuzú Cuatiá,1,pages/checks/ap_v5_p02_6.png,= crudo,defer_paso3_puntuacion,
v5_p02,282,Colonia Hughes,Entre Ríos,Colón,Colonia Hugues,1,pages/checks/ap_v5_p02_282.png,= crudo (imagen verificada),verbatim_paso3,
v5_p02,285,Cuay Grande,Corrientes,Santo Tomé,Cayo Grande (Los Roques),2,pages/checks/ap_v5_p02_285.png,(sugerencia wiki = otro lugar),defer_paso3_wiki_ruido,
v5_p04,100,Itá-Ibaté,Corrientes,General Paz,Itá Ibaté,1,pages/checks/ap_v5_p04_100.png,= crudo,defer_paso3_puntuacion,
v5_p04,231,Itacuararé,Misiones,San Javier,Itacaruaré,2,pages/checks/ap_v5_p04_231.png,= crudo (imagen verificada),verbatim_paso3,
v5_p05,80,Miguel Lanús,Misiones,Capital,Miguel Layún,2,pages/checks/ap_v5_p05_80.png,= crudo (imagen verificada),verbatim_paso3,
v5_p05,171,Ombucito,Corrientes,Paso de los Libres,Ombucillo,2,pages/checks/ap_v5_p05_171.png,= crudo (imagen verificada),verbatim_paso3,
v5_p05,293,Paso Florentín,Corrientes,General Paz,Pago Florentino,2,pages/checks/ap_v5_p05_293.png,= crudo (imagen verificada),verbatim_paso3,
v5_p06,218,Pueblo Bellock,Entre Ríos,Paraná,Pueblo Bellocq,1,pages/checks/ap_v5_p06_218.png,= crudo (imagen verificada),verbatim_paso3,
v5_p06,227,Punta Grande,Corrientes,Mburucuyá,Puente Grande,2,pages/checks/ap_v5_p06_227.png,= crudo (imagen verificada),verbatim_paso3,
v5_p07,264,Sauce Pintos,Entre Ríos,Paraná,Sauce Pinto,1,pages/checks/ap_v5_p07_264.png,= crudo (imagen verificada),verbatim_paso3,
v5_p08,142,Yuquerí,Entre Ríos,Concordia,Yunquera,2,pages/checks/ap_v5_p08_142.png,= crudo (imagen verificada),verbatim_paso3,
v5_p08,150,Yataití Calle,Corrientes,Lavalle,Yatay Tí Calle,2,pages/checks/ap_v5_p08_150.png,= crudo (imagen verificada),verbatim_paso3,
v5_p08,173,Yabebiry,Misiones,Oberá,Yabebyry,1,pages/checks/ap_v5_p08_173.png,= crudo (imagen verificada),verbatim_paso3,
v6_p01,238,Cejolao,Santiago del Estero,Moreno,Cajolá,2,pages/checks/ap_v6_p01_238.png,= crudo (imagen verificada),verbatim_paso3,
v6_p02,162,El Malacara,Santiago del Estero,General Taboada,El Malacate,2,pages/checks/ap_v6_p02_162.png,= crudo (imagen verificada),verbatim_paso3,
v6_p02,237,El Pértigo,Santiago del Estero,Moreno,El Perdigón,2,pages/checks/ap_v6_p02_237.png,= crudo (imagen verificada),verbatim_paso3,
v6_p02,271,Ciervo Petizo,Chaco,Lib. Gral. San Martín,Ciervo Petiso,1,pages/checks/ap_v6_p02_271.png,= crudo (imagen verificada),verbatim_paso3,
v6_p03,159,Girardet,Santiago del Estero,Moreno,Girardot,1,pages/checks/ap_v6_p03_159.png,= crudo (imagen verificada),verbatim_paso3,
v6_p03,185,Juncal Grande,Santiago del Estero,Figueroa,Junta Grande,2,pages/checks/ap_v6_p03_185.png,Jumial Grande,typo_transcripcion,Jumial Grande
v6_p03,223,Kilómetro 213,Formosa,Pirané,Kilómetro 31,2,pages/checks/ap_v6_p03_223.png,= crudo (imagen verificada),verbatim_paso3,
v6_p03,273,Huayamampa,Santiago del Estero,Banda,Huayupampa (Lima),2,pages/checks/ap_v6_p03_273.png,(sugerencia wiki = otro lugar),defer_paso3_wiki_ruido,
v6_p04,12,Las Termas,Santiago del Estero,Río Hondo,Las Heras (Santa Cruz),2,pages/checks/ap_v6_p04_12.png,(sugerencia wiki = otro lugar),defer_paso3_wiki_ruido,
v6_p04,151,Los Matacos,Formosa,Pirané,Los Haticos,2,pages/checks/ap_v6_p04_151.png,= crudo (imagen verificada),verbatim_paso3,
v6_p04,212,Los Linares,Santiago del Estero,General Taboada,Los Vinagres,2,pages/checks/ap_v6_p04_212.png,= crudo (imagen verificada),verbatim_paso3,
v6_p04,222,Mailín,Santiago del Estero,Avellaneda,Mai Lin,1,pages/checks/ap_v6_p04_222.png,= crudo,defer_paso3_puntuacion,
v6_p04,262,Malota,Santiago del Estero,Salavina,Malta,1,pages/checks/ap_v6_p04_262.png,= crudo (imagen verificada),verbatim_paso3,
v6_p04,282,Las Abras,Santiago del Estero,Mitre,Las Cabras,1,pages/checks/ap_v6_p04_282.png,= crudo (imagen verificada),verbatim_paso3,
v6_p05,120,Mesón de Pierro,Chaco,Doce de Octubre,Mesón de Fierro,1,pages/checks/ap_v6_p05_120.png,Mesón de Fierro,typo_transcripcion,Mesón de Fierro
v6_p05,130,Pozo Grande,Santiago del Estero,Avellaneda,Paco Grande,2,pages/checks/ap_v6_p05_130.png,= crudo (imagen verificada),verbatim_paso3,
v6_p05,205,Pozo del Indio,Chaco,Nueve de Julio,Paso del Indio,2,pages/checks/ap_v6_p05_205.png,= crudo (imagen verificada),verbatim_paso3,
v6_p05,257,Pozo Herrera,Santiago del Estero,General Taboada,Paco Herrera,2,pages/checks/ap_v6_p05_257.png,= crudo (imagen verificada),verbatim_paso3,
v6_p05,277,Miel de Palo,Santiago del Estero,General Taboada,Miel de palma,2,pages/checks/ap_v6_p05_277.png,= crudo (imagen verificada),verbatim_paso3,
v6_p06,57,Riacho He He,Formosa,Pilcomayo,Riacho He-Hé,1,pages/checks/ap_v6_p06_57.png,= crudo,defer_paso3_puntuacion,
v6_p06,161,Ramírez de Velasco,Santiago del Estero,Quebrachos,Ramírez de Velazco,1,pages/checks/ap_v6_p06_161.png,= crudo (imagen verificada),verbatim_paso3,
v6_p06,219,Sabagasta,Santiago del Estero,Salavina,Sañogasta,2,pages/checks/ap_v6_p06_219.png,= crudo (imagen verificada),verbatim_paso3,
v6_p07,145,Villa Robles,Santiago del Estero,Robles,Villa Roulet,2,pages/checks/ap_v6_p07_145.png,= crudo (imagen verificada),verbatim_paso3,
v6_p07,180,Vicentini,Chaco,San Fernando,Vicentico,2,pages/checks/ap_v6_p07_180.png,= crudo (imagen verificada),verbatim_paso3,
v7_p01,216,Acambuco,Salta,Gral. J. de San Martín,Arcabuco,2,pages/checks/ap_v7_p01_216.png,= crudo (imagen verificada),verbatim_paso3,
v7_p01,305,Arároz,Tucumán,Leales,Arroz,1,pages/checks/ap_v7_p01_305.png,Aráoz,typo_transcripcion,Aráoz
v7_p01,362,Agunyo,La Rioja,General San Martín,Agudo (Ciudad Real),2,pages/checks/ap_v7_p01_362.png,(sugerencia wiki = otro lugar),defer_paso3_wiki_ruido,
v7_p01,370,Bajo Grande,Salta,Metán,Bado Grande,1,pages/checks/ap_v7_p01_370.png,= crudo (imagen verificada),verbatim_paso3,
v7_p02,317,Cangrejilla,Jujuy,Yaví,Cangrejillos,2,pages/checks/ap_v7_p02_317.png,= crudo (imagen verificada),verbatim_paso3,
v7_p02,350,Cienaguillas,Jujuy,Santa Catalina,Cieneguillas (Argentina),1,pages/checks/ap_v7_p02_350.png,= crudo (imagen verificada),verbatim_paso3,
v7_p02,428,Carahuasi,Jujuy,Rinconada,Carauari,2,pages/checks/ap_v7_p02_428.png,= crudo (imagen verificada),verbatim_paso3,
v7_p04,183,Estación Masán,La Rioja,Arauco,Estación Mazán,1,pages/checks/ap_v7_p04_183.png,= crudo (imagen verificada),verbatim_paso3,
v7_p04,310,El Morano,Jujuy,Tumbaya,El Molino (cabaré),2,pages/checks/ap_v7_p04_310.png,(sugerencia wiki = otro lugar),defer_paso3_wiki_ruido,
v7_p04,408,El Taco,Catamarca,Ancasti,El Tabo,1,pages/checks/ap_v7_p04_408.png,= crudo (imagen verificada),verbatim_paso3,
v7_p05,106,Ingenio Lules,Tucumán,Famaillá,Ingenio Leales,2,pages/checks/ap_v7_p05_106.png,= crudo (imagen verificada),verbatim_paso3,
v7_p07,125,Monte Rico,Jujuy,El Carmen,Montefrío,2,pages/checks/ap_v7_p07_125.png,= crudo (imagen verificada),verbatim_paso3,
v7_p07,163,Muñquín,Catamarca,Pomán,Mutquín,1,pages/checks/ap_v7_p07_163.png,Mutquín,typo_transcripcion,Mutquín
v7_p07,254,Mina Pirquita,Jujuy,Rinconada,Mina Pirquitas,1,pages/checks/ap_v7_p07_254.png,= crudo (imagen verificada),verbatim_paso3,
v7_p07,312,Mojotoro,Salta,Caldera,Montoro,2,pages/checks/ap_v7_p07_312.png,= crudo (imagen verificada),verbatim_paso3,
v7_p07,313,Nasareno,Salta,Santa Victoria,Nazarenos (secta cristiana),2,pages/checks/ap_v7_p07_313.png,= crudo (imagen verificada),verbatim_paso3,
v7_p07,345,Mixta,Tucumán,Leales,Mixtape,2,pages/checks/ap_v7_p07_345.png,(sugerencia wiki = otro lugar),defer_paso3_wiki_ruido,
v7_p07,364,Padre Lozana,Salta,Gral. J. de San Martín,Padre Lozano,1,pages/checks/ap_v7_p07_364.png,= crudo (imagen verificada),verbatim_paso3,
v7_p07,378,Palta de Aparzo,Jujuy,Humahuaca,Palca de Aparzo,1,pages/checks/ap_v7_p07_378.png,= crudo (Palta de Aparzo; ya en dudas_transcripcion),defer_paso3,
v7_p07,382,Noquebe,La Rioja,General Roca,Noquear,2,pages/checks/ap_v7_p07_382.png,= crudo (imagen verificada),verbatim_paso3,
v7_p08,22,Pueblo Ledesma,Jujuy,Ledesma,Pablo Ledesma,2,pages/checks/ap_v7_p08_22.png,= crudo (imagen verificada),verbatim_paso3,
v7_p08,74,Poso del Alto,Tucumán,Cruz Alta,Pozo del Alto,1,pages/checks/ap_v7_p08_74.png,= crudo (imagen verificada),verbatim_paso3,
v7_p08,262,Rumi-Punco,Tucumán,Graneros,Rumi Punco,1,pages/checks/ap_v7_p08_262.png,= crudo,defer_paso3_puntuacion,
v7_p08,337,Puesto del Marquéz,Jujuy,Cochinoca,Puesto del Marqués,1,pages/checks/ap_v7_p08_337.png,= crudo (imagen verificada),verbatim_paso3,
v7_p08,380,Puerto La Paz,Salta,Rivadavia,Puerto Capaz,2,pages/checks/ap_v7_p08_380.png,= crudo (imagen verificada),verbatim_paso3,
v7_p08,383,Puesto Grande,Jujuy,Santa Catalina,Puente Grande,2,pages/checks/ap_v7_p08_383.png,= crudo (imagen verificada),verbatim_paso3,
v7_p08,400,Puente de Plata,Salta,Rosario de la Frontera,Puente de Lata,1,pages/checks/ap_v7_p08_400.png,= crudo (imagen verificada),verbatim_paso3,
v7_p09,327,San Solano,La Rioja,General San Martín,San Rolando,2,pages/checks/ap_v7_p09_327.png,= crudo (imagen verificada),verbatim_paso3,
v7_p10,277,Senador Péres,Jujuy,Humahuaca,Senador Perez,1,pages/checks/ap_v7_p10_277.png,= crudo (imagen verificada),verbatim_paso3,
v7_p10,330,Tala Pampa,Salta,La Viña,Talapampa,1,pages/checks/ap_v7_p10_330.png,= crudo,defer_paso3_puntuacion,
v7_p10,333,Saucelito,Salta,Orán,Saucesito,1,pages/checks/ap_v7_p10_333.png,= crudo (imagen verificada),verbatim_paso3,
v7_p10,419,Telaritos,Catamarca,Capayán,TeleXitos,2,pages/checks/ap_v7_p10_419.png,= crudo (imagen verificada),verbatim_paso3,
v7_p11,230,Vipos,Tucumán,Trancas,Viposia,2,pages/checks/ap_v7_p11_230.png,= crudo (imagen verificada),verbatim_paso3,
v7_p11,403,Tuisón,La Rioja,Vélez Sarsfield,Tucson,1,pages/checks/ap_v7_p11_403.png,= crudo (imagen verificada),verbatim_paso3,
v8_p01,50,Costa del Araujo,Mendoza,Lavalle,Costa de Araujo,1,pages/checks/ap_v8_p01_50.png,= crudo (imagen verificada),verbatim_paso3,
v8_p01,89,Cochagual,San Juan,Sarmiento,Conchagua,2,pages/checks/ap_v8_p01_89.png,= crudo (imagen verificada),verbatim_paso3,
v8_p01,161,Cienegüita,San Juan,Sarmiento,Cienaguita,1,pages/checks/ap_v8_p01_161.png,= crudo (imagen verificada),verbatim_paso3,
v8_p02,57,La Bebida,San Juan,Rivadavia,La Cebada (Chile),2,pages/checks/ap_v8_p02_57.png,(sugerencia wiki = otro lugar),defer_paso3_wiki_ruido,
v8_p02,194,La Botija,San Luis,Ayacucho,La botera,2,pages/checks/ap_v8_p02_194.png,= crudo (imagen verificada),verbatim_paso3,
v8_p03,121,Las Cortaderas,San Luis,Chacabuco,Las Cantaderas,2,pages/checks/ap_v8_p03_121.png,= crudo (imagen verificada),verbatim_paso3,
v8_p04,180,Retamito,San Juan,Sarmiento,Retamo (Chile),2,pages/checks/ap_v8_p04_180.png,(sugerencia wiki = otro lugar),defer_paso3_wiki_ruido,
v8_p05,43,Villa La Paz,Mendoza,La Paz,Villalapaz,2,pages/checks/ap_v8_p05_43.png,= crudo,defer_paso3_puntuacion,
v8_p05,162,Villa Praga,San Luis,San Martín,Villa Prat,2,pages/checks/ap_v8_p05_162.png,= crudo (imagen verificada),verbatim_paso3,
v9_1_2_p01,51,Alejandro Stefanelli,Río Negro,General Roca,Alejandro Stefenelli,1,pages/checks/ap_v9_1_2_p01_51.png,= crudo (imagen verificada),verbatim_paso3,
v9_1_2_p01,62,Alto Río Senguerr,Chubut,Río Senguerr,Alto Río Senguer,1,pages/checks/ap_v9_1_2_p01_62.png,= crudo (imagen verificada),verbatim_paso3,
v9_1_2_p01,106,Cona Niyeo,Río Negro,9 de Julio,Cona Niyeu,1,pages/checks/ap_v9_1_2_p01_106.png,= crudo (imagen verificada),verbatim_paso3,
v9_1_2_p01,125,Colan-Conhué,Chubut,Languiñeo,Colan Conhué,1,pages/checks/ap_v9_1_2_p01_125.png,= crudo,defer_paso3_puntuacion,
v9_1_2_p02,10,Cutral-Có,Neuquén,Confluencia,Cutral Co,1,pages/checks/ap_v9_1_2_p02_10.png,= crudo,defer_paso3_puntuacion,
v9_1_2_p02,30,Choele-Choel,Río Negro,Avellaneda,Choele Choel,1,pages/checks/ap_v9_1_2_p02_30.png,= crudo,defer_paso3_puntuacion,
v9_1_2_p02,31,Chos-Malal,Neuquén,Chos-Malal,Chos Malal,1,pages/checks/ap_v9_1_2_p02_31.png,= crudo,defer_paso3_puntuacion,
v9_1_2_p02,58,Coronel Gómez,Río Negro,General Roca,Coronel Homer,2,pages/checks/ap_v9_1_2_p02_58.png,= crudo (imagen verificada),verbatim_paso3,
v9_1_2_p02,129,Challacó,Neuquén,Confluencia,Challa,2,pages/checks/ap_v9_1_2_p02_129.png,= crudo (imagen verificada),verbatim_paso3,
v9_1_2_p03,87,Ministro Ramos Mejía,Río Negro,9 de Julio,Ministro Ramos Mexía,1,pages/checks/ap_v9_1_2_p03_87.png,= crudo (imagen verificada),verbatim_paso3,
v9_1_2_p03,104,Picún-Leufú,Neuquén,Picún-Leufú,Picún Leufú,1,pages/checks/ap_v9_1_2_p03_104.png,= crudo,defer_paso3_puntuacion,
v9_1_2_p03,117,Llao-Llao,Río Negro,Bariloche,Llao Llao,1,pages/checks/ap_v9_1_2_p03_117.png,= crudo,defer_paso3_puntuacion,
v9_1_2_p03,151,Pichi-Mahuída,Río Negro,Pichi-Mahuída,Pichi Mahuida,1,pages/checks/ap_v9_1_2_p03_151.png,= crudo,defer_paso3_puntuacion,
v9_1_2_p05,26,Yacimiento Río Turbio,Santa Cruz,Güer Aike,Yacimientos Rio Turbio,1,pages/checks/ap_v9_1_2_p05_26.png,= crudo (imagen verificada),verbatim_paso3,
v3_p02,699,Arroyo de los Huesos,Buenos Aires,Azul,Arroyo de los Humos,,pages/checks/c_v3_p02_699.png,= crudo (Arroyo de los Huesos; wiki ruido),verbatim_paso3,
v3_p03,846,Berrahondo,Buenos Aires,Tornquist,Berrondo,,pages/checks/c_v3_p03_846.png,= crudo (Berrahondo; wiki ruido),verbatim_paso3,
v3_p04,282,Carabelas,Buenos Aires,Rojas,Carabela,,pages/checks/c_v3_p04_282.png,= crudo (Carabelas plural),verbatim_paso3,
v3_p04,684,Cerro Sotuyo,Buenos Aires,Olavarría,Cerro Domuyo,,pages/checks/c_v3_p04_684.png,= crudo (Cerro Sotuyo; wiki Domuyo otro lugar),verbatim_paso3,
v3_p04,565,Claudio Molina,Buenos Aires,Tres Arroyos,Claudia Molina,,pages/checks/c_v3_p04_565.png,"= crudo (Claudio Molina, con o)",verbatim_paso3,
v3_p05,856,Corazzi,Buenos Aires,Trenque Lauquen,Corazón,,pages/checks/c_v3_p05_856.png,"= crudo (Corazzi, doble z)",verbatim_paso3,
v3_p05,117,Cte. Nicanor Otamendi,Buenos Aires,General Alvarado,Cmte Nicanor Otamendi,,pages/checks/c_v3_p05_117.png,= crudo (Cte. abreviatura impresa),verbatim_paso3,
v3_p07,769,Durañona,Buenos Aires,Olavarría,Duratón (Segovia),,pages/checks/c_v3_p07_769.png,"= crudo (Durañona, con ñ)",verbatim_paso3,
v3_p08,722,Estomba,Buenos Aires,Tornquist,Estômbar,,pages/checks/c_v3_p08_722.png,"Estonba (n, no m)",typo_transcripcion,Estonba
v3_p08,295,Ferré,Buenos Aires,General Arenales,Ferréz,,pages/checks/c_v3_p08_295.png,"= crudo (Ferré, sin z; F sale como P en el scan)",verbatim_paso3,
v3_p09,458,General Arias,Buenos Aires,Cnel. de Mar. L.N.Rosales,General Artigas (Paraguay),,pages/checks/c_v3_p09_458.png,= crudo (General Arias; wiki Artigas otro pais),verbatim_paso3,
v3_p10,595,Huetel,Buenos Aires,25 de Mayo,Huete,,pages/checks/c_v3_p10_595.png,"= crudo (Huetel, -l; wiki Huete España)",verbatim_paso3,
v3_p10,851,Húsares,Buenos Aires,Carlos Tejedor,Húsar,,pages/checks/c_v3_p10_851.png,= crudo (Húsares plural),verbatim_paso3,
v3_p11,614,José Ferrari,Buenos Aires,Magdalena,José Ferrarini,,pages/checks/c_v3_p11_614.png,"= crudo (José Ferrari, -ari; F sale como P)",verbatim_paso3,
v3_p12,820,Kilómetro 125,Buenos Aires,San Andrés de Giles,Kilómetro 117,,pages/checks/c_v3_p12_820.png,= crudo (Kilómetro 125),verbatim_paso3,
v3_p12,532,Kilómetro 158,Buenos Aires,San Pedro,Kilómetro 658,,pages/checks/c_v3_p12_532.png,= crudo (Kilómetro 158),verbatim_paso3,
v3_p12,294,La Barrancosa,Buenos Aires,Saladillo,La Barranca,,pages/checks/c_v3_p12_294.png,= crudo (La Barrancosa),verbatim_paso3,
v3_p13,557,La Pastoril,La Pampa,Chalileo,La Pastoría,,pages/checks/c_v3_p13_557.png,"= crudo (La Pastoril, -il)",verbatim_paso3,
v3_p13,645,Las Mostazas,Buenos Aires,Coronel Pringles,Las Montañas (San Cristóbal de La Laguna),,pages/checks/c_v3_p13_645.png,= crudo (Las Mostazas; wiki Canarias),verbatim_paso3,
v3_p13,891,Las Vaquerías,Buenos Aires,Tres Arroyos,Las Alquerías,,pages/checks/c_v3_p13_891.png,"= crudo (Las Vaquerías, con V)",verbatim_paso3,
v3_p13,894,Lertora,Buenos Aires,Trenque Lauquen,Lectura,,pages/checks/c_v3_p13_894.png,= crudo (Lertora),verbatim_paso3,
v3_p14,363,Limay-Mahuída,La Pampa,Limay-Mahuída,Limay Mahuida,,pages/checks/c_v3_p14_363.png,= crudo (Limay-Mahuída; solo guion/acento),defer_paso3_puntuacion,
v3_p14,888,Manzone,Buenos Aires,Pilar,Manzana,,pages/checks/c_v3_p14_888.png,= crudo (Manzone),verbatim_paso3,
v3_p14,770,Mapis,Buenos Aires,Olavarría,Mapa,,pages/checks/c_v3_p14_770.png,= crudo (Mapis),verbatim_paso3,
v3_p16,884,Necol,Buenos Aires,Carlos Tejedor,Necoclí,,pages/checks/c_v3_p16_884.png,= crudo (Necol; wiki Necoclí Colombia),verbatim_paso3,
v3_p16,717,Paraguil,Buenos Aires,Laprida,Paraguay,,pages/checks/c_v3_p16_717.png,"= crudo (Paraguil, -uil)",verbatim_paso3,
v3_p17,744,Pelicura,Buenos Aires,Tornquist,Película,,pages/checks/c_v3_p17_744.png,= crudo (Pelicura),verbatim_paso3,
v3_p17,602,Pichi-Huinca,La Pampa,Rancul,Pichi Huinca,,pages/checks/c_v3_p17_602.png,Pichi-Huincha (h antes de la a),typo_transcripcion,Pichi-Huincha
v3_p17,747,Plaza Montero,Buenos Aires,Las Flores,Plaza Botero,,pages/checks/c_v3_p17_747.png,"= crudo (Plaza Montero, con M)",verbatim_paso3,
v3_p18,163,Quemú-Quemú,La Pampa,Quemú-Quemú,Quemú Quemú,,pages/checks/c_v3_p18_163.png,= crudo (Quemú-Quemú; solo guion),defer_paso3_puntuacion,
v3_p19,895,Román Báez,Buenos Aires,Suipacha,Román Gámez,,pages/checks/c_v3_p19_895.png,"= crudo (Román Báez, con B)",verbatim_paso3,
v3_p21,823,Trongé,Buenos Aires,Trenque Lauquen,Tronget,,pages/checks/c_v3_p21_823.png,Tronge (sin tilde),typo_transcripcion,Tronge
