page,n_orden,provincia_canon,departamento_canon,localidad_canon,footnote,total,georef_id,nombre_oficial,georef_depto,lat,lon,estado,tier,criterio_deteccion,criterio_aceptacion,en_muestra,decidido_por,fecha,confianza,fuente,fuente_url,verificado_geo,nota
v3_p01,260,Buenos Aires,Baradero,Alsina,,1375,06070040,Villa Alsina,Baradero,-33.9079400599979,-59.3902618533058,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,media (nombre difiere),georef/,https://apis.datos.gob.ar/georef/api,verde,variante de nombre en el depto correcto
v3_p01,285,La Pampa,Realicó,Alta Italia,,1227,42133020,Alta Italia,Realicó,-35.3343919134369,-64.1170932349818,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,757,Buenos Aires,Mercedes,Altamira,,245,06532A00,Altamira,Mercedes,-34.6698829334103,-59.3675264022242,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p01,675,Buenos Aires,Brandsen,Altamirano,,320,06119010,Altamirano,Brandsen,-35.3615828022139,-58.1504868159157,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,818,Buenos Aires,Saavedra,Alta Vista,,192,06700A02,Alta Vista,Saavedra,-37.64860827151,-62.7002283128282,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p01,879,Buenos Aires,Tapalqué,Altona,,137,06798A00,Altona,Tapalqué,-36.4746603214967,-60.1223310527292,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p01,318,Buenos Aires,Saladillo,Alvarez de Toledo,,1040,06707010,Álvarez de Toledo,Saladillo,-35.6373586967143,-59.6301691617551,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,516,Buenos Aires,Magdalena,Alvarez Jonte,,519,06655010,Álvarez Jonte,Punta Indio,-35.3227800092544,-57.4490768504218,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,897,Buenos Aires,9 de Julio,Amalia,,120,06588A15,La Amalia,9 de Julio,-35.4845567232439,-61.0224530194461,propuesto,E-bahra-fuzzy,bahra_fuzzy,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,BAJA (fuzzy en capa BAHRA: puede no ser el mismo lugar),georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,antes era sin_match. candidatos: La Amalia/9 de Julio [06588A15]
v3_p01,116,Buenos Aires,General Pinto,Ameghino,,4154,06277020,Florentino Ameghino,Florentino Ameghino,-34.8454591706333,-62.4671090818902,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,media (nombre difiere),georef/,https://apis.datos.gob.ar/georef/api,verde,variante de nombre en el depto correcto
v3_p01,814,Buenos Aires,Navarro,Anasagasti,,198,06574A00,Anasagasti,Navarro,-35.0080062362697,-59.3904243134437,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p01,622,Buenos Aires,Caseros,Andant,,370,06231010,Andant,Daireaux,-36.5603570671048,-62.1362798197113,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,764,Buenos Aires,25 de Mayo,Anderson,,235,06854A00,Anderson,25 de Mayo,-35.279817034263,-60.261324578481,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p01,221,La Pampa,Capital,Anguil,,1665,42021010,Anguil,Capital,-36.5268644862348,-64.0116588281903,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,443,Buenos Aires,Lobos,Antonio Carboni,,644,06483010,Antonio Carboni,Lobos,-35.2009190830879,-59.3461818009966,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,754,La Pampa,Caleu-Caleu,Anzoategui,,247,42014010,Anzoátegui,Caleu Caleu,-38.9630526765691,-63.8608882456791,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,394,Buenos Aires,Coronel Dorrego,Aparicio,,755,06189010,Aparicio,Coronel Dorrego,-38.6224732524339,-60.8834808947984,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,750,Buenos Aires,Adolfo Alsina,Arano,,248,06007A00,Arano,Adolfo Alsina,-37.0476827510242,-63.2670589969032,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p01,269,La Pampa,Trenel,Arata,,1336,42147010,Arata,Trenel,-35.6390158670272,-64.3563831729334,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p01,574,Buenos Aires,25 de Mayo,Araujo,,422,06854A01,Araujo,25 de Mayo,-35.305156634524,-60.3276459376765,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p02,385,Buenos Aires,Caseros,Arboledas,,781,06231020,Arboledas,Daireaux,-36.8822997214104,-61.4896571349008,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,230,Buenos Aires,Lincoln,Arenaza,,1592,06469010,Arenaza,Lincoln,-34.9851543205711,-61.7742778784521,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,726,Buenos Aires,Villarino,Argerich,,267,06875010,Argerich,Villarino,-38.771639397797,-62.6034862501489,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,609,Buenos Aires,Azul,Ariel,,379,06049010,Ariel,Azul,-36.5316623802492,-59.9223269682285,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,57,Buenos Aires,Bartolomé Mitre,Arrecifes,,10397,06077010,Arrecifes,Arrecifes,-34.0674580737828,-60.1086943504546,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,162,Buenos Aires,General Arenales,Arribeños,,2782,06294010,Arribeños,General Arenales,-34.2083674707326,-61.3553624012071,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,338,Buenos Aires,Saavedra,Arroyo Corto,,956,06700010,Arroyo Corto,Saavedra,-37.5148390227664,-62.3123670345414,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,634,Buenos Aires,Exaltación de la Cruz,Arroyo de la Cruz,,361,06266010,Arroyo de la Cruz,Exaltación de la Cruz,-34.3330015099151,-59.1147032706688,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,586,Buenos Aires,Pergamino,Arroyo del Medio,,403,06623A00,Arroyo del Medio,Pergamino,-33.586240168229,-60.7745254435805,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p02,699,Buenos Aires,Azul,Arroyo de los Huesos,,297,06049A00,Arroyo de los Huesos,Azul,-37.0213639698331,-59.5631036699805,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p02,871,Buenos Aires,Pergamino,Arroyo Dulce,,147,06714010,Arroyo Dulce,Salto,-34.102433,-60.406155,confirmado_3.3b,3.3b:transferencia_limite_declarado,transferencia_limite_declarado,humano_individual,no,humano:Jose(3.3b),2026-07-22,alta,humano (Jose) + Georef + Wikipedia,https://es.wikipedia.org/wiki/Arroyo_Dulce,rojo,"Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
v3_p02,236,Buenos Aires,Salto,Arroyo Dulce,,1514,06714010,Arroyo Dulce,Salto,-34.1024332833136,-60.4061551794069,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,447,Buenos Aires,Guaminí,Arroyo Venado,,634,06399010,Arroyo Venado,Guaminí,-37.0848963014223,-62.5384200380807,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,623,Buenos Aires,Bragado,Asamblea,,369,06112010,Asamblea,Bragado,-35.2268722732427,-60.4185470430294,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,168,Buenos Aires,General Arenales,Ascensión,,2638,06294020,Ascensión,General Arenales,-34.2308165779778,-61.1034210115308,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,703,Buenos Aires,Pehuajó,Asturias,,287,06609A05,Asturias,Pehuajó,-36.1723451313634,-61.8753897120717,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p02,539,Buenos Aires,Magdalena,Atalaya,,484,06505010,Atalaya,Magdalena,-35.0248701462886,-57.5325581296761,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,427,La Pampa,Utracán,Ataliva Roca,,678,42154010,Ataliva Roca,Utracán,-37.0318022920022,-64.2852643446283,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,909,Buenos Aires,Chascomús,Atilio Pesagno,,100,06466A01,Atilio Pessagno,Lezama,-35.8036321826338,-57.7899841113392,propuesto,E-bahra-fuzzy,bahra_fuzzy,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,BAJA (fuzzy en capa BAHRA: puede no ser el mismo lugar),georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,antes era sin_match. candidatos: Atilio Pessagno/Lezama [06466A01]
v3_p02,838,La Pampa,Atreucó,Atreucó,,175,42007A00,Atreucó,Atreucó,-37.1291220067299,-63.8144849127153,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p02,868,Buenos Aires,Zárate,Atucha,,152,06882A00,Atucha,Zárate,-33.9756292087778,-59.2003448286026,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p02,5,Buenos Aires,Avellaneda,Avellaneda,1,326531,06035010,Avellaneda,Avellaneda,-34.6660332617204,-58.3497677273389,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,651,Buenos Aires,Adolfo Alsina,Avestruz,,343,06007A02,Avestruz,Adolfo Alsina,-37.6598302011386,-63.355271610296,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p02,61,Buenos Aires,Ayacucho,Ayacucho,,10004,06042010,Ayacucho,Ayacucho,-37.1527598158637,-58.4883878541555,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,552,Buenos Aires,San Andrés de Giles,Azcuénaga,,463,06728010,Azcuénaga,San Andrés de Giles,-34.3657923040767,-59.3756451998692,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,473,Buenos Aires,Puán,Azopardo,,578,06651010,Azopardo,Puán,-37.7015199457139,-62.9005022933119,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,397,Buenos Aires,Tandil,Azucena,,743,06791060,Azucena,Tandil,-37.4878117862567,-59.2912711474013,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,31,Buenos Aires,Azul,Azul,,33535,06049020,Azul,Azul,-36.7774578361562,-59.8634454883445,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,706,Buenos Aires,9 de Julio,Bacacay,,286,06588A00,Bacacay,9 de Julio,-35.6512772936555,-61.0272543873973,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p02,15,Buenos Aires,Bahía Blanca,Bahía Blanca,,120580,06056010,Bahía Blanca,Bahía Blanca,-38.7175489907773,-62.2654155252819,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,694,Buenos Aires,Patagones,Bahía San Blas,,302,06602010,Bahí­a San Blas,Patagones,-40.5538720511237,-62.2346860564006,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,187,Buenos Aires,General Viamonte,Baigorrita,,2046,06385010,Baigorrita,General Viamonte,-34.747784125842,-60.9883717712491,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,497,Buenos Aires,Coronel de Marina Leonardo Rosales,Bajo Hondo,,552,06182010,Bajo Hondo,Coronel de Marina Leonardo Rosales,-38.7627932127508,-61.9205918985195,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,877,Buenos Aires,Lincoln,Balsa,,139,06469A00,Balsa,Lincoln,-34.8116347774941,-61.6595945561869,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p02,554,Buenos Aires,Tres Arroyos,Balneario Claromecó,,459,06833020,Claromecó,,-38.8574731904502,-60.0730577260656,propuesto,C-generador,generador_transformacion,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta (match exacto en depto del conjunto),georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,candidato probado: 'Claromecó' [prefijo: se quita 'Balneario']
v3_p02,828,Buenos Aires,General Lavalle,Balneario Mar de Ajó Norte,,187,0642002004,Mar de Ajó Norte,,-36.717111900525,-56.6770670772511,propuesto,C-generador,generador_transformacion,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,media (match exacto pero en capa BAHRA),georef/localidades,https://apis.datos.gob.ar/georef/api,verde,candidato probado: 'Mar de Ajó Norte' [prefijo: se quita 'Balneario' [capa localidades]]
v3_p02,41,Buenos Aires,Balcarce,Balcarce,,20540,06063010,Balcarce,Balcarce,-37.8463818448826,-58.2555392250194,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,296,Buenos Aires,General Villegas,Banderaló,,1161,06392010,Banderaló,General Villegas,-35.0148684045152,-63.3759618191184,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/localidades,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v3_p02,72,Buenos Aires,Baradero,Baradero,,8253,06070010,Baradero,Baradero,-33.8120545894866,-59.5046802348512,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,550,Buenos Aires,Juárez,Barker,,464,06084010,Barker,Benito Juárez,-37.6396956007695,-59.3911978075624,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p02,245,Buenos Aires,Magdalena,Bartolomé Bavio,,1452,06505020,Bartolomé Bavio,Magdalena,-35.079770213927,-57.7471055306171,auto_ok,auto_ok,match_exacto_3campos,auto_match,no,auto,2026-07-22,alta,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,verde,
v3_p03,761,Buenos Aires,Tres Arroyos,Barrow,,236,,Estación Barrow / Chacra Experimental Barrow,,-38.3211,-60.2578,propuesto,C5-manual_coord,web_manual_coord,humano_lote,no,pendiente:Jose,2026-07-22,verde (guard: coord en depto esperado),Gobierno de la Prov. de Buenos Aires (CEI Barrow),https://www.gba.gob.ar/innovacion_productiva/chacra_experimental_integrada_barrow,verde,"[guard=verde; punto en Tres Arroyos] Estación/chacra experimental, km 487,5 RN3, partido Tres Arroyos"
v3_p03,569,Buenos Aires,Coronel Suárez,Bathurst,,428,06203A01,Bathurst,Coronel Suárez,-37.5760445107288,-61.8193643137468,propuesto,A (aparcado),bahra_georef,auto_muestreo,no,auto(pendiente_muestra),2026-07-22,alta,georef/asentamientos,https://apis.datos.gob.ar/georef/api,verde,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
