page,n_orden,provincia,departamento,localidad,footnote,total,varones,mujeres
v3_p02,706,Buenos Aires,9 de Julio,Bacacay,,286,171,115
v3_p02,15,Buenos Aires,Bahía Blanca,Bahía Blanca,,120580,58804,61776
v3_p02,694,Buenos Aires,Patagones,Bahía San Blas,,302,212,90
v3_p02,187,Buenos Aires,General Viamonte,Baigorrita,,2046,1111,935
v3_p02,497,Buenos Aires,Cnel. de Mar. L.N.Rosales,Bajo Hondo,,552,311,241
v3_p02,877,Buenos Aires,Lincoln,Balsa,,139,83,56
v3_p02,554,Buenos Aires,Tres Arroyos,Balneario Claromecó,,459,259,200
v3_p02,828,Buenos Aires,General Lavalle,Balneario Mar de Ajó Norte,,187,103,84
v3_p02,41,Buenos Aires,Balcarce,Balcarce,,20540,10330,10210
v3_p02,296,Buenos Aires,General Villegas,Banderaló,,1161,608,553
v3_p02,72,Buenos Aires,Baradero,Baradero,,8253,3986,4267
v3_p02,550,Buenos Aires,Juárez,Barker,,464,263,201
v3_p02,245,Buenos Aires,Magdalena,Bartolomé Bavio,,1452,785,667
v3_p03,761,Buenos Aires,Tres Arroyos,Barrow,,236,146,90
v3_p03,569,Buenos Aires,Coronel Suárez,Bathurst,,428,270,158
v3_p03,857,Buenos Aires,Alberti,Baudrix,,159,99,60
v3_p03,238,Buenos Aires,Lincoln,Bayauca,,1502,812,690
v3_p03,55,Buenos Aires,Escobar,Belén de Escobar,,11480,5923,5557
v3_p03,443,Buenos Aires,Carlos Casares,Bellocq,,662,348,314
v3_p03,780,Buenos Aires,Chivilcoy,Benítez,,226,113,113
v3_p03,846,Buenos Aires,Tornquist,Berrahondo,,166,108,58
v3_p03,366,Buenos Aires,Salto,Berdier,,848,487,361
v3_p03,27,Buenos Aires,Berisso,Berisso,,40983,20918,20065
v3_p03,538,Buenos Aires,Lincoln,Bermúdez,,485,265,220
v3_p03,242,La Pampa,Chapaleufú,Bernardo Larroudé,,1472,805,667
v3_p03,174,La Pampa,Hucal,Bernasconi,,2453,1289,1164
v3_p03,263,Buenos Aires,Trenque Lauquen,Berutti,,1364,691,673
v3_p03,347,Buenos Aires,General Pinto,Blaquier,,920,505,415
v3_p03,549,Buenos Aires,Olavarría,Blanca Grande,,465,230,235
v3_p03,842,Buenos Aires,Junín,Blandengues,,170,106,64
v3_p03,893,Buenos Aires,25 de Mayo,Blas Durañona,,124,67,57
v3_p03,635,Buenos Aires,Pellegrini,Bocayuva,,360,215,145
v3_p03,855,La Pampa,Conhello,Boeuf,,161,90,71
v3_p03,49,Buenos Aires,Bolívar,Bolívar,,15750,7464,8286
v3_p03,827,Buenos Aires,Guaminí,Bonifacio,,187,89,98
v3_p03,254,Buenos Aires,Puán,Bordenave,,1414,750,664
v3_p03,795,Buenos Aires,Bahía Blanca,Bordeu,,211,127,84
v3_p03,521,Buenos Aires,Balcarce,Bosch,,511,360,151
v3_p03,40,Buenos Aires,Bragado,Bragado,,20689,10035,10654
v3_p03,172,Buenos Aires,Bahía Blanca,Cabildo,,2470,1307,1163
v3_p03,145,Buenos Aires,Azul,Cacharí,,3135,1557,1578
v3_p03,648,La Pampa,Toay,Cachirulo,,345,209,136
v3_p03,409,Buenos Aires,Carlos Casares,Cadret,,710,420,290
v3_p03,909,Buenos Aires,Bahía Blanca,Calderón,,105,66,33
v3_p03,689,Buenos Aires,Cnel. de Mar. L.N.Rosales,Calderón,,306,211,95
v3_p03,199,La Pampa,Rancul,Caleufú,,1927,1016,911
v3_p03,536,Buenos Aires,Mar Chiquita,Calfucurá,,488,306,182
v3_p03,625,Buenos Aires,Coronel Dorrego,Calvo,,368,222,146
v3_p03,845,Buenos Aires,9 de Julio,Cambaceres,,167,93,74
v3_p03,339,Buenos Aires,General Pueyrredón,Camet,,956,570,386
v3_p03,38,Buenos Aires,Campana,Campana,,24781,12619,12162
v3_p03,546,Buenos Aires,San Nicolás,Campo Sallee,,474,269,205
v3_p03,479,Buenos Aires,Ayacucho,Cangallo,,573,350,223
v3_p03,697,Buenos Aires,Adolfo Alsina,Canónigo Gorriti,,299,189,110
v3_p04,304,Buenos Aires,General Villegas,Cañada Seca,,1129,633,496
v3_p04,70,Buenos Aires,Cañuelas,Cañuelas,,8842,4363,4479
v3_p04,121,Buenos Aires,Exaltación de la Cruz,Capilla del Señor,,3928,1891,2037
v3_p04,721,Buenos Aires,Pehuajó,Capitán Castro,,272,154,118
v3_p04,83,Buenos Aires,Bartolomé Mitre,Capitán Sarmiento,,7051,3670,3381
v3_p04,282,Buenos Aires,Rojas,Carabelas,,1239,684,555
v3_p04,492,Buenos Aires,Patagones,Cardenal Cagliero,,558,359,199
v3_p04,335,Buenos Aires,Roque Pérez,Carlos Beguerie,,969,505,464
v3_p04,67,Buenos Aires,Carlos Casares,Carlos Casares,,9218,4545,4673
v3_p04,330,Buenos Aires,Luján,Carlos Keen,,998,557,441
v3_p04,272,Buenos Aires,9 de Julio,Carlos N. Naón,,1310,711,599
v3_p04,173,Buenos Aires,Pellegrini,Carlos Pellegrini,,2470,1234,1236
v3_p04,403,Buenos Aires,Lincoln,Carlos Salas,,726,377,349
v3_p04,129,Buenos Aires,Carlos Tejedor,Carlos Tejedor,,3540,1788,1752
v3_p04,94,Buenos Aires,Carmen de Areco,Carmen de Areco,,5772,2836,2936
v3_p04,78,Buenos Aires,Patagones,Carmen de Patagones,,7478,3556,3922
v3_p04,386,La Pampa,Leventué,Carro Quemado,,780,473,307
v3_p04,746,Buenos Aires,Pila,Casalins,,252,152,100
v3_p04,179,Buenos Aires,Guaminí,Casbas,,2397,1256,1141
v3_p04,449,Buenos Aires,Coronel Suárez,Cascada,,629,368,261
v3_p04,778,Buenos Aires,Guaminí,Casey,,227,130,97
v3_p04,146,Buenos Aires,Castelli,Castelli,,3123,1529,1594
v3_p04,306,Buenos Aires,Chacabuco,Castilla,,1122,602,520
v3_p04,195,La Pampa,Catriló,Catriló,,1951,1012,939
v3_p04,329,Buenos Aires,Saladillo,Cazón,,999,515,484
v3_p04,591,La Pampa,Chapaleufú,Ceballos,,398,227,171
v3_p04,819,Buenos Aires,Carlos Casares,Centenario,,192,115,77
v3_p04,853,Buenos Aires,Castelli,Centro Guerrero,,162,83,79
v3_p04,751,La Pampa,Atreucó,Cereales,,248,161,87
v3_p04,629,Buenos Aires,Rivadavia,Cerrito,,365,217,148
v3_p04,683,Buenos Aires,Tandil,Cerro de los Leones,,309,190,119
v3_p04,684,Buenos Aires,Olavarría,Cerro Sotuyo,,308,166,142
v3_p04,274,Buenos Aires,Necochea,Claraz,,1299,703,596
v3_p04,565,Buenos Aires,Tres Arroyos,Claudio Molina,,439,292,147
v3_p04,833,Buenos Aires,Mar Chiquita,Cobo,,181,118,63
v3_p04,748,Buenos Aires,Chacabuco,Coliqueo,,250,139,111
v3_p04,60,Buenos Aires,Colón,Colón,,10209,5175,5034
v3_p04,185,La Pampa,Quemú-Quemú,Colonia Barón,,2094,1095,999
v3_p04,504,Buenos Aires,Marcos Paz,Colonia Hogar Ricardo Gutiérrez,,541,381,160
v3_p04,905,Buenos Aires,Villarino,Colonia La Merced,,105,63,42
v3_p05,810,Buenos Aires,Adolfo Alsina,Colonia Lapin,,200,118,82
v3_p05,779,Buenos Aires,Carlos Casares,Colonia Mauricio,,227,123,104
v3_p05,887,Buenos Aires,Adolfo Alsina,Colonia Philippson,,129,63,66
v3_p05,704,La Pampa,Quemú-Quemú,Colonia San José,,287,150,137
v3_p05,435,Buenos Aires,Olavarría,Colonia San Miguel,,662,368,294
v3_p05,258,Buenos Aires,Adolfo Alsina,Colonia San Miguel Arcángel,,1379,689,690
v3_p05,515,La Pampa,Utracán,Colonia Santa María,,521,277,244
v3_p05,319,Buenos Aires,Carlos Tejedor,Colonia Seré,,1034,545,489
v3_p05,410,La Pampa,Puelén,Colonia 25 de Mayo,,709,404,305
v3_p05,712,Buenos Aires,San Pedro,Colonia Velaz,,280,148,132
v3_p05,541,Buenos Aires,Chascomús,Comandante Giribone,,483,283,200
v3_p05,117,Buenos Aires,General Alvarado,Cte. Nicanor Otamendi,,4046,2200,1846
v3_p05,219,Buenos Aires,Bragado,Comodoro Py,,1677,903,774
v3_p05,840,Buenos Aires,Rivadavia,Condarco,,173,114,59
v3_p05,191,Buenos Aires,San Nicolás,Conesa,,2010,1039,971
v3_p05,114,La Pampa,Conhello,Conhello,,4248,2198,2050
v3_p05,232,Buenos Aires,Tres Arroyos,Copetonas,,1575,787,788
v3_p05,856,Buenos Aires,Trenque Lauquen,Corazzi,,160,99,61
v3_p05,783,Buenos Aires,9 de Julio,Corbett,,222,151,71
v3_p05,872,Buenos Aires,Las Flores,Coronel Boerr,,147,88,59
v3_p05,109,Buenos Aires,Brandsen,Coronel Brandsen,,4775,2381,2394
v3_p05,68,Buenos Aires,Coronel Dorrego,Coronel Dorrego,,9154,4496,4658
v3_p05,803,Buenos Aires,Coronel Pringles,Coronel Falcón,,208,128,80
v3_p05,312,Buenos Aires,General Pinto,Coronel Granada,,1080,580,500
v3_p05,457,La Pampa,Chapaleufú,Coronel Hilario Lagos,,623,345,278
v3_p05,615,Buenos Aires,Salto,Coronel Isleño,,372,210,162
v3_p05,288,Buenos Aires,Alberti,Coronel Mom,,1201,615,586
v3_p05,52,Buenos Aires,Coronel Pringles,Coronel Pringles,,14180,6694,7486
v3_p05,765,Buenos Aires,Juárez,Coronel Rodolfo Bunge,,235,147,88
v3_p05,899,Buenos Aires,Alberti,Coronel Seguí,,117,62,55
v3_p05,69,Buenos Aires,Coronel Suárez,Coronel Suárez,,8878,4179,4699
v3_p05,124,Buenos Aires,Mar Chiquita,Coronel Vidal,,3660,1764,1896
v3_p05,323,Buenos Aires,Luján,Cortines,,1012,591,421
v3_p05,839,La Pampa,Hucal,Cotita,,174,102,72
v3_p05,520,Buenos Aires,Tapalqué,Covello,,513,297,216
v3_p05,421,Buenos Aires,San Cayetano,Cristiano Muerto,,691,416,275
v3_p05,503,Buenos Aires,Tapalqué,Crotto,,542,307,235
v3_p05,679,Buenos Aires,Rojas,Cuatro de Noviembre,,316,182,134
v3_p05,646,Buenos Aires,San Andrés de Giles,Cuculú,,346,193,153
v3_p05,469,Buenos Aires,Chacabuco,Cucha-Cucha,,583,295,288
v3_p06,624,La Pampa,Lihuel-Calel,Cuchillo-Co,,369,248,121
v3_p06,406,Buenos Aires,Carlos Tejedor,Curarú,,717,414,303
v3_p06,353,Buenos Aires,Coronel Suárez,Curumalán,,896,494,402
v3_p06,39,Buenos Aires,Chacabuco,Chacabuco,,22544,11097,11447
v3_p06,448,La Pampa,Utracán,Chacharramendi,,632,391,241
v3_p06,776,La Pampa,Rancul,Chamaicó,,228,144,84
v3_p06,865,Buenos Aires,General Viamonte,Chancay,,154,93,61
v3_p06,181,Buenos Aires,General Pueyrredón,Chapadmalal,,2243,1406,837
v3_p06,729,Buenos Aires,Rauch,Chapaleofú,,265,153,112
v3_p06,494,Buenos Aires,General Villegas,Charlone,,554,303,251
v3_p06,56,Buenos Aires,Chascomús,Chascomús,,10521,4959,5562
v3_p06,616,Buenos Aires,Tornquist,Chasicó,,372,216,156
v3_p06,860,Buenos Aires,Exaltación de la Cruz,Chenaut,,157,86,71
v3_p06,534,Buenos Aires,Pehuajó,Chiclana,,492,281,211
v3_p06,356,Buenos Aires,Azul,Chillar,,869,464,405
v3_p06,32,Buenos Aires,Chivilcoy,Chivilcoy,,32660,15622,17038
v3_p06,849,Buenos Aires,Tornquist,Choique,,165,98,67
v3_p06,95,Buenos Aires,Caseros,Daireaux,,5769,2812,2957
v3_p06,465,La Pampa,Realicó,Damián Maisonave,,598,332,266
v3_p06,108,Buenos Aires,Puán,Darragueira,,4981,2475,2506
v3_p06,471,Buenos Aires,Pellegrini,De Bary,,582,328,254
v3_p06,402,Buenos Aires,San Cayetano,Defferrari,,727,426,301
v3_p06,493,Buenos Aires,Tandil,De la Canal,,557,352,205
v3_p06,210,Buenos Aires,González Chaves,De la Garma,,1837,995,842
v3_p06,216,Buenos Aires,Saladillo,Del Carril,,1717,876,841
v3_p06,828,Buenos Aires,General Arenales,Delgado,,185,100,85
v3_p06,594,Buenos Aires,Adolfo Alsina,Delfín Huergo,,396,230,166
v3_p06,314,Buenos Aires,25 de Mayo,Del Valle,,1069,636,433
v3_p06,387,Buenos Aires,Pilar,Del Viso,,778,413,365
v3_p06,564,Buenos Aires,9 de Julio,Denhny,,441,240,201
v3_p06,640,Buenos Aires,Azul,Dieciseis de Julio,,354,197,157
v3_p06,745,Buenos Aires,Exaltación de la Cruz,Diego Gaynor,,254,153,101
v3_p06,243,La Pampa,Atreucó,Doblas,,1462,785,677
v3_p06,439,Buenos Aires,9 de Julio,Doce de Octubre,,654,340,314
v3_p06,858,Buenos Aires,Las Flores,Dr. Domingo Harósteguy,,159,90,69
v3_p06,48,Buenos Aires,Dolores,Dolores,,16003,7576,8427
v3_p06,297,Buenos Aires,San Vicente,Domselaar,,1155,636,519
v3_p06,903,Buenos Aires,Chascomús,Don Cipriano,,108,62,46
v3_p06,767,Buenos Aires,Coronel Suárez,D'Orbigny,,234,155,79
v3_p06,670,La Pampa,Maracó,Dorila,,324,186,138
v3_p06,844,Buenos Aires,General Pinto,Dos Hermanos,,168,114,54
v3_p07,824,Buenos Aires,General Villegas,Drabble,,190,123,67
v3_p07,786,Buenos Aires,Carlos Tejedor,Drysdale,,219,125,94
v3_p07,869,Buenos Aires,Saavedra,Ducos,,152,89,63
v3_p07,171,Buenos Aires,9 de Julio,Dudignac,,2524,1322,1202
v3_p07,417,Buenos Aires,Saavedra,Dufaur,,697,390,307
v3_p07,315,Buenos Aires,San Antonio de Areco,Duggan,,1052,602,450
v3_p07,762,Buenos Aires,Trenque Lauquen,Duhau,,236,154,82
v3_p07,769,Buenos Aires,Olavarría,Durañona,,232,144,88
v3_p07,431,Buenos Aires,Puán,Durcudoy,,670,391,279
v3_p07,866,Buenos Aires,General Pinto,Dussaud,,153,83,70
v3_p07,301,La Pampa,Conhello,Eduardo Castex,,1140,631,509
v3_p07,852,Buenos Aires,General Pinto,Eduardo Costa,,163,112,51
v3_p07,477,Buenos Aires,Rauch,Egaña,,576,315,261
v3_p07,698,Buenos Aires,Colón,El Arbolito,,298,148,150
v3_p07,867,Buenos Aires,General Villegas,El Día,,153,98,55
v3_p07,509,Buenos Aires,Coronel Pringles,El Divisorio,,534,321,213
v3_p07,322,Buenos Aires,Leandro N. Alem,El Dorado,,1019,566,453
v3_p07,639,Buenos Aires,9 de Julio,El Jabalí,,355,209,146
v3_p07,682,Buenos Aires,Lobería,El Lenguaraz,,311,172,139
v3_p07,685,Buenos Aires,Lobería,El Moro,,307,172,135
v3_p07,533,Buenos Aires,General Villegas,Elordi,,494,270,224
v3_p07,229,Buenos Aires,Ramallo,El Paraíso,,1596,893,703
v3_p07,719,Buenos Aires,Coronel Pringles,El Pensamiento,,274,149,125
v3_p07,208,Buenos Aires,Pergamino,El Socorro,,1857,1019,838
v3_p07,686,Buenos Aires,9 de Julio,El Tejar,,307,177,130
v3_p07,863,Buenos Aires,Las Flores,El Trigo,,155,93,62
v3_p07,267,Buenos Aires,Lincoln,El Triunfo,,1346,698,648
v3_p07,470,Buenos Aires,Lobos,Elvira,,583,321,262
v3_p07,784,Buenos Aires,Coronel Dorrego,El Zorro,,221,132,89
v3_p07,356,La Pampa,Realicó,Embajador Martini,,814,447,367
v3_p07,481,Buenos Aires,Saladillo,Emiliano Reynoso,,572,314,258
v3_p07,345,Buenos Aires,Chivilcoy,Emilio Ayarza,,924,538,386
v3_p07,718,Buenos Aires,Patagones,Emilio Lamarca,,275,161,114
v3_p07,817,La Pampa,Chalileo,Emilio Mitre,,193,114,79
v3_p07,224,Buenos Aires,General Villegas,Emilio V. Bunge,,1628,855,773
v3_p07,611,Buenos Aires,General Alvear,Emma,,376,222,154
v3_p07,102,Buenos Aires,Lobos,Empalme Lobos,,5170,2621,2549
v3_p07,86,Buenos Aires,San Vicente,Empalme San Vicente,,6459,3256,3203
v3_p07,900,Buenos Aires,Carlos Tejedor,Encina,,116,71,45
v3_p07,652,Buenos Aires,San Cayetano,Energía,,343,226,117
v3_p07,606,Buenos Aires,General Las Heras,Enrique Fynn,,382,230,152
v3_p08,558,Buenos Aires,Hipólito Yrigoyen,Enrique Lavalle,,457,271,186
v3_p08,25,Buenos Aires,Ensenada,Ensenada,,26086,13288,12798
v3_p08,768,Buenos Aires,San Nicolás,Erezcano,,234,130,104
v3_p08,661,Buenos Aires,Puán,Erize,,334,188,146
v3_p08,407,Buenos Aires,25 de Mayo,Ernestina,,715,376,339
v3_p08,653,Buenos Aires,Zárate,Escalada,,343,211,132
v3_p08,570,Buenos Aires,Adolfo Alsina,Espartillar,,426,246,180
v3_p08,495,Buenos Aires,Saavedra,Espartillar,,554,282,272
v3_p08,328,Buenos Aires,Olavarría,Espigas,,1000,508,492
v3_p08,735,Buenos Aires,San Andrés de Giles,Espora,,262,155,107
v3_p08,649,Buenos Aires,General Arenales,Estación Arenales,,345,190,155
v3_p08,475,Buenos Aires,Adolfo Alsina,Esteban Agustín Gascón,,577,324,253
v3_p08,592,Buenos Aires,Carlos Tejedor,Esteban de Luca,,398,227,171
v3_p08,19,Buenos Aires,Esteban Echeverría,Esteban Echeverría,1,69730,35670,34060
v3_p08,687,Buenos Aires,Puán,Estela,,307,181,126
v3_p08,663,Buenos Aires,Saladillo,Esther,,330,186,144
v3_p08,722,Buenos Aires,Tornquist,Estomba,,270,170,100
v3_p08,680,Buenos Aires,Las Flores,Estrugamou,,312,172,140
v3_p08,641,Buenos Aires,Exaltación de la Cruz,Etchegoyen,,353,220,133
v3_p08,874,Buenos Aires,Tapalqué,Eufemio Uballes,,146,79,67
v3_p08,710,Buenos Aires,Ayacucho,Fair,,282,174,108
v3_p08,713,La Pampa,Realicó,Falucho,,280,155,125
v3_p08,632,Buenos Aires,Coronel Dorrego,Faro,,362,207,155
v3_p08,902,Buenos Aires,Guaminí,Fatraló,,110,74,36
v3_p08,559,Buenos Aires,9 de Julio,Fauzón,,457,269,188
v3_p08,279,Buenos Aires,Puán,Felipe Solá,,1270,707,563
v3_p08,295,Buenos Aires,General Arenales,Ferré,,1164,603,561
v3_p08,25,Buenos Aires,Florencio Varela,Florencio Varela,1,41707,21587,20120
v3_p08,813,Buenos Aires,Pergamino,Fontezuela,,199,104,95
v3_p08,666,Buenos Aires,Leandro N. Alem,Fortín Acha,,326,183,143
v3_p08,278,Buenos Aires,Rivadavia,Fortín Olavarría,,1275,673,602
v3_p08,372,Buenos Aires,Junín,Fortín Tiburcio,,833,433,400
v3_p08,414,Buenos Aires,9 de Julio,Fournier,,704,360,344
v3_p08,607,Buenos Aires,Monte,Francisco A. Berra,,380,205,175
v3_p08,531,Buenos Aires,Pergamino,Francisco Ayerza,,495,289,206
v3_p08,835,Buenos Aires,Trenque Lauquen,Francisco de Victoria,,178,107,71
v3_p08,204,Buenos Aires,Pehuajó,Francisco Madero,,1871,957,916
v3_p08,908,Buenos Aires,Trenque Lauquen,Francisco Magnano,,102,62,40
v3_p08,589,Buenos Aires,Adolfo Alsina,Francisco Murature,,401,215,186
v3_p08,252,Buenos Aires,9 de Julio,French,,1424,739,685
v3_p08,696,Buenos Aires,Tornquist,Fuerte Argentino,,301,189,112
v3_p09,603,Buenos Aires,Tandil,Fulton,,385,227,158
v3_p09,341,Buenos Aires,Salto,Gahan,,943,514,429
v3_p09,384,Buenos Aires,Chascomús,Gándara,,782,452,330
v3_p09,830,Buenos Aires,Tornquist,García del Río,,182,118,64
v3_p09,420,Buenos Aires,Tandil,Gardey,,694,397,297
v3_p09,87,Buenos Aires,Escobar,Garín,,6341,3317,3024
v3_p09,391,Buenos Aires,Guaminí,Garré,,763,429,334
v3_p09,97,La Pampa,Utracán,General Acha,,5627,2644,2983
v3_p09,73,Buenos Aires,General Alvarado,Gral. Alvarado (Miramar),,7782,3918,3864
v3_p09,106,Buenos Aires,General Alvear,General Alvear,,5017,2431,2586
v3_p09,166,Buenos Aires,General Arenales,General Arenales,,2658,1355,1303
v3_p09,458,Buenos Aires,Cnel. de Mar. L.N.Rosales,General Arias,,618,327,291
v3_p09,84,Buenos Aires,General Belgrano,General Belgrano,,6994,3346,3648
v3_p09,517,Buenos Aires,Tordillo,General Conesa,,519,273,246
v3_p09,137,Buenos Aires,Bahía Blanca,General Daniel Cerri,,3298,1668,1630
v3_p09,293,Buenos Aires,General Guido,General Guido,,1174,611,563
v3_p09,542,Buenos Aires,General Las Heras,General Hornos,,483,279,204
v3_p09,80,Buenos Aires,Gral. Juan Madariaga,Gral. Juan Madariaga,,7196,3379,3817
v3_p09,103,Buenos Aires,General Lamadrid,General Lamadrid,,5161,2491,2670
v3_p09,120,Buenos Aires,General Las Heras,General Las Heras,,4020,1974,2046
v3_p09,280,Buenos Aires,General Lavalle,General Lavalle,,1257,619,638
v3_p09,336,La Pampa,Guatraché,General Manuel J. Campos,,962,521,441
v3_p09,186,Buenos Aires,Bragado,General O'Brien,,2065,1046,1019
v3_p09,182,Buenos Aires,General Paz,General Paz,,2217,1080,1137
v3_p09,42,La Pampa,Maracó,General Pico,,18133,9137,8996
v3_p09,132,Buenos Aires,General Pinto,General Pinto,,3431,1669,1762
v3_p09,155,Buenos Aires,Mar Chiquita,General Pirán,,2967,1552,1415
v3_p09,63,Buenos Aires,General Rodríguez,General Rodríguez,,9771,4836,4935
v3_p09,188,Buenos Aires,San Nicolás,General Rojo,,2042,1110,932
v3_p09,633,Buenos Aires,Puán,General Rondeau,,362,207,155
v3_p09,7,Buenos Aires,General San Martín,General San Martín,1,278751,139521,139230
v3_p09,139,La Pampa,Hucal,General San Martín,,3228,1672,1556
v3_p09,13,Buenos Aires,General Sarmiento,General Sarmiento,1,167160,88399,78761
v3_p09,81,Buenos Aires,General Viamonte,General Viamonte,,7174,3405,3769
v3_p09,82,Buenos Aires,General Villegas,General Villegas,,7120,3499,3621
v3_p09,231,Buenos Aires,General Pinto,Germania,,1577,851,726
v3_p09,576,Buenos Aires,Coronel Dorrego,Gil,,419,257,162
v3_p09,681,Buenos Aires,Trenque Lauquen,Girodías,,312,172,140
v3_p09,530,Buenos Aires,Pehuajó,Girondo,,497,301,196
v3_p09,800,Buenos Aires,Exaltación de la Cruz,Gobernador Andonaegui,,209,112,97
v3_p09,708,Buenos Aires,Carlos Casares,Gobernador Arias,,283,175,108
v3_p10,752,La Pampa,Puelén,Gobernador Ayala,,248,123,125
v3_p10,308,Buenos Aires,San Pedro,Gobernador Castro,,1111,613,498
v3_p10,880,Buenos Aires,Brandsen,Gobernador Obligado,,137,74,63
v3_p10,486,Buenos Aires,Cañuelas,Gobernador Udaondo,,567,322,245
