provincia_pdf,cod_prov,codigo,nombre_pdf
BUENOS AIRES,02,082,Patagones
BUENOS AIRES,02,083,Pehuajó
BUENOS AIRES,02,084,Pellegriní
BUENOS AIRES,02,085,Pergamino
BUENOS AIRES,02,086,Pila
BUENOS AIRES,02,087,Pilar
BUENOS AIRES,02,088,Puán
BUENOS AIRES,02,089,Quilmes
BUENOS AIRES,02,090,Ramallo
BUENOS AIRES,02,091,Rauch
BUENOS AIRES,02,092,Rivadavia
BUENOS AIRES,02,093,Rojas
BUENOS AIRES,02,094,Roque Pérez
BUENOS AIRES,02,095,Saavedra
BUENOS AIRES,02,096,Saladillo
BUENOS AIRES,02,097,Salto
BUENOS AIRES,02,098,San Andrés de Giles
BUENOS AIRES,02,099,San Antonio de Areco
BUENOS AIRES,02,100,San Cayetano
BUENOS AIRES,02,101,San Fernando
BUENOS AIRES,02,102,San Isidro
BUENOS AIRES,02,103,San Nicolás
BUENOS AIRES,02,104,San Pedro
BUENOS AIRES,02,105,San Vicente
BUENOS AIRES,02,106,Suipacha
BUENOS AIRES,02,107,Tandil
BUENOS AIRES,02,108,Tapalqué
BUENOS AIRES,02,109,Tigre
BUENOS AIRES,02,110,Tordillo
BUENOS AIRES,02,111,Tornquist
BUENOS AIRES,02,112,Trenque Lauquen
BUENOS AIRES,02,113,Tres Arroyos
BUENOS AIRES,02,114,3 de Febrero
BUENOS AIRES,02,115,25 de Mayo
BUENOS AIRES,02,116,Vicente López
BUENOS AIRES,02,117,Villarino
BUENOS AIRES,02,118,Zárate
BUENOS AIRES,02,119,Isla Martín García
BUENOS AIRES,02,120,Zona Nacional Puerto La Plata
CATAMARCA,03,001,Ambato
CATAMARCA,03,002,ancasti
CATAMARCA,03,003,Andangala
CATAMARCA,03,004,Antofagasta de la Sierra
CATAMARCA,03,005,Belén
CATAMARCA,03,006,Capayán
CATAMARCA,03,007,Capital
CATAMARCA,03,008,El Alto
CATAMARCA,03,009,Fray Mamerto Esquiú
CATAMARCA,03,010,La Paz
CATAMARCA,03,011,Paclín
CATAMARCA,03,012,Poman
CATAMARCA,03,013,Santa María
CATAMARCA,03,014,Santa Rosa
CATAMARCA,03,015,Tinogasta
CATAMARCA,03,016,Valle Viejo
CORDOBA,04,001,Calamuchita
CORDOBA,04,002,Capital
CORDOBA,04,003,Colón
CORDOBA,04,004,Cruz del Eje
CORDOBA,04,005,General Roca
CORDOBA,04,006,General San Martín
CORDOBA,04,007,Ischilin
CORDOBA,04,008,Juárez Celman
CORDOBA,04,009,Marcos Juárez
CORDOBA,04,010,Minas
CORDOBA,04,011,Pocho
CORDOBA,04,012,Presidente Roque Sáez Peña
CORDOBA,04,013,Punilla
CORDOBA,04,014,Río Cuarto
CORDOBA,04,015,Río Primero
CORDOBA,04,016,Río Seco
CORDOBA,04,017,Río Segundo
CORDOBA,04,018,San Allberto
CORDOBA,04,019,San Javier
CORDOBA,04,020,San Justo
CORDOBA,04,021,Santa María
CORDOBA,04,022,Sobremonte
CORDOBA,04,023,Tercero Arriba
CORDOBA,04,024,Totoral
CORDOBA,04,025,Tulumba
CORDOBA,04,026,Unión
CORRIENTES,05,001,Bella Vista
CORRIENTES,05,002,Berón de Astrada
CORRIENTES,05,003,Capital
CORRIENTES,05,004,Concepción
CORRIENTES,05,005,Curuzú Cuatiá
CORRIENTES,05,006,Empedrado
CORRIENTES,05,007,Esquina
CORRIENTES,05,008,General Alvear
CORRIENTES,05,009,General Paz
CORRIENTES,05,010,Goya
CORRIENTES,05,011,Itatí
CORRIENTES,05,012,Ituzaingó
CORRIENTES,05,013,Lawalle
CORRIENTES,05,014,Mburucuya
CORRIENTES,05,015,Mercedes
CORRIENTES,05,016,Monte Caseros
CORRIENTES,05,017,Paso de los Libres
CORRIENTES,05,018,Saladas
CORRIENTES,05,019,San Cosme
CORRIENTES,05,020,San Luis del Palmar
CORRIENTES,05,021,San Martín
CORRIENTES,05,022,San Miguel
CORRIENTES,05,023,San Roque
CORRIENTES,05,024,Santo Tomé
CORRIENTES,05,025,Sauce
CHACO,06,001,Almirante Brown
CHACO,06,002,Bermejo
CHACO,06,003,Capitán General O'Higgins
CHACO,06,004,Comandante Fernández
CHACO,06,005,Chacabuco
CHACO,06,006,12 de Octubre
CHACO,06,007,Fray Justo Santa María de Oro
CHACO,06,008,Genera1 Belgrano
CHACO,06,009,Genera1 Donovan
CHACO,06,010,General Guemes
CHACO,06,011,Independencia
CHACO,06,012,Libertad
CHACO,06,013,Libertador General San Martín
CHACO,06,014,Maipú
CHACO,06,015,Mayor Luis J. Fontana
CHACO,06,016,9 de Julio
CHACO,06,017,Presidencia de la Plaza
CHACO,06,018,10 de Mayo
CHACO,06,019,Quitillipi
CHACO,06,020,San Fernando
CHACO,06,021,San Lorenzo
CHACO,06,022,Sargento Cabra1
CHACO,06,023,Dapenaga
CHACO,06,024,25 de Mayo
CHUBUT,07,001,Biedma
CHUBUT,07,002,Cushamen
CHUBUT,07,003,Escalante
CHUBUT,07,004,Florentino Ameghino
CHUBUT,07,005,Futaleufú
CHUBUT,07,006,Gaiman
CHUBUT,07,007,Gastre
CHUBUT,07,008,Languiñeo
CHUBUT,07,009,Mártires
CHUBUT,07,010,Paso de Indios
CHUBUT,07,011,Rawson
CHUBUT,07,012,Rio Senguerr
CHUBUT,07,013,Sarmiento
CHUBUT,07,014,Tehuelches
CHUBUT,07,015,Telsen
ENTRE RIOS,08,001,Col6n
ENTRE RIOS,08,002,Concepción del Uruguay
ENTRE RIOS,08,003,Concordia
ENTRE RIOS,08,004,"Diamante,"
ENTRE RIOS,08,005,Federación
ENTRE RIOS,08,006,Feliciano
ENTRE RIOS,08,007,Gualeguay
ENTRE RIOS,08,008,Cualeguaychú
ENTRE RIOS,08,009,La paz
ENTRE RIOS,08,010,Nogoyá
ENTRE RIOS,08,011,Paraná
ENTRE RIOS,08,012,Rosario Tala
ENTRE RIOS,08,013,Victoria
ENTRE RIOS,08,014,Villaguay
FORMOSA,09,001,Bermejo
FORMOSA,09,002,Forrmosa
FORMOSA,09,003,Laishí
FORMOSA,09,004,Matacos
FORMOSA,09,005,Patiño
FORMOSA,09,006,Pilagás
FORMOSA,09,007,Pilcomayo
FORMOSA,09,008,Pirané
FORMOSA,09,009,Ramón Lista
JUJUY,10,001,Capital
JUJUY,10,002,Cochinoca
JUJUY,10,003,El Carmen
JUJUY,10,004,Humahuaca
JUJUY,10,005,Ledesma
JUJUY,10,006,Rinconada
JUJUY,10,007,San Antonio
JUJUY,10,008,San Pedro
JUJUY,10,009,Santa Bárbara
JUJUY,10,010,Santa Catalina
JUJUY,10,011,Susques
JUJUY,10,012,Tilcara
JUJUY,10,013,Tumbaya
JUJUY,10,014,Valle Grande
JUJUY,10,015,Yaví
LA PAMPA,11,001,calcu-calcu
LA PAMPA,11,002,capital
LA PAMPA,11,003,Catrilló
LA PAMPA,11,004,Conhello
LA PAMPA,11,005,Cura-Có
LA PAMPA,11,006,Chalileo
LA PAMPA,11,007,Chapaleufú
LA PAMPA,11,008,Chical-Có
LA PAMPA,11,009,Guatrache
LA PAMPA,11,010,Hucal
LA PAMPA,11,011,Leventué
LA PAMPA,11,012,Lihuel Calel
LA PAMPA,11,013,Limay Mahuida
LA PAMPA,11,014,Maracó
LA PAMPA,11,015,Puelén
LA PAMPA,11,016,Quemú-Quemú
LA PAMPA,11,017,Rancul
LA PAMPA,11,018,Realicó
LA PAMPA,11,019,Toay
LA PAMPA,11,020,Trenel
LA PAMPA,11,021,Utracán
LA PAMPA,11,022,Atreucó
LA RIOJA,12,001,Arauco
LA RIOJA,12,002,Capital
LA RIOJA,12,003,Castro Barros
LA RIOJA,12,004,Chilecito
LA RIOJA,12,005,Famatina
LA RIOJA,12,006,General Belgrano
LA RIOJA,12,007,General Lamadrid
LA RIOJA,12,008,General Lavalle
LA RIOJA,12,009,General Ocampo
LA RIOJA,12,010,General Roca
LA RIOJA,12,011,General San Martín
LA RIOJA,12,012,General Sarmiento
LA RIOJA,12,013,Gobernador Gordillo
LA RIOJA,12,014,Independencia
LA RIOJA,12,015,Rivadavia
LA RIOJA,12,016,Sanagasta
LA RIOJA,12,017,San Blas de los Sauces
LA RIOJA,12,018,Velez Sárfield
MENDOZA,13,001,Capital
MENDOZA,13,002,Genern1 Alvear
MENDOZA,13,003,Godoy Cruz
MENDOZA,13,004,Guaymallén
MENDOZA,13,005,Junín
MENDOZA,13,006,La Paz
MENDOZA,13,007,Las Heras
MENDOZA,13,008,Lavalle
MENDOZA,13,009,Luján
MENDOZA,13,010,Maipú
MENDOZA,13,011,Malargüe
MENDOZA,13,012,Rivadavia
MENDOZA,13,013,San Carlos
MENDOZA,13,014,San Martín
MENDOZA,13,015,San Rafael
MENDOZA,13,016,Santa Rosa
MENDOZA,13,017,Tunuyán
MENDOZA,13,018,Tupungato
MISIONES,14,001,Apóstoles
MISIONES,14,002,Cainguás
MISIONES,14,003,Candelaria
MISIONES,14,004,Capital
MISIONES,14,005,Concepción
MISIONES,14,006,Eldorado
MISIONES,14,007,General Manuel Belgrano
MISIONES,14,008,Guaraní
MISIONES,14,009,Iguazú
MISIONES,14,010,Lenndro N. Alem
MISIONES,14,011,Libertador General San Martín
MISIONES,14,012,Montecarlo
MISIONES,14,013,Oberá
MISIONES,14,014,San Ignacio
MISIONES,14,015,San Javier
MISIONES,14,016,San Pedro
MISIONES,14,017,25 de Mayo
NEUQUEN,15,001,Aluminé
NEUQUEN,15,002,Añelo
NEUQUEN,15,003,Catán Lil
NEUQUEN,15,004,Collón-Curá
NEUQUEN,15,005,Concluencia
NEUQUEN,15,006,Chos-Malal
NEUQUEN,15,007,Huiliches
NEUQUEN,15,008,Lácar
NEUQUEN,15,009,Loncopué
NEUQUEN,15,010,Los Lagos
NEUQUEN,15,011,Minas
NEUQUEN,15,012,Ñorquín
NEUQUEN,15,013,Pehuenches
NEUQUEN,15,014,Picunches
NEUQUEN,15,015,Picún-Leufú
NEUQUEN,15,016,Zapala
RIO NEGRO,16,001,Adolfo Alsina
RIO NEGRO,16,002,Avellaneda
RIO NEGRO,16,003,Bariloche
RIO NEGRO,16,004,El cuy
RIO NEGRO,16,005,General Conesa
RIO NEGRO,16,006,General Roca
RIO NEGRO,16,007,9 de Julio
RIO NEGRO,16,008,Ñorquincó
RIO NEGRO,16,009,Pichi-Mahuida
RIO NEGRO,16,010,Pilcaniyeu.
RIO NEGRO,16,011,San Antenio
RIO NEGRO,16,012,Valcheta
RIO NEGRO,16,013,25 de Mayo
SALTA,17,001,Anta
SALTA,17,002,Cachi
SALTA,17,003,Cafayate
SALTA,17,004,Caldera
SALTA,17,005,Candelaria
SALTA,17,006,Capital
SALTA,17,007,Cerrillos
SALTA,17,008,Chicoana
SALTA,17,009,General José de San Martín
SALTA,17,010,General martín Miguel de Guemes
SALTA,17,011,Guachipas
SALTA,17,012,Iruya
SALTA,17,013,La Poma
SALTA,17,014,La Viña
SALTA,17,015,Los Andes
SALTA,17,016,Metán
SALTA,17,017,Molinos
SALTA,17,018,Orán
SALTA,17,019,Rivadavia
SALTA,17,020,Rosario de la Frontera
SALTA,17,021,Rosario de Lerma
SALTA,17,022,San Carlos
SALTA,17,023,Santa Victoria
SAN JUAN,18,001,Albardón
SAN JUAN,18,002,Angaco
SAN JUAN,18,003,Calingasta
SAN JUAN,18,004,Capital
SAN JUAN,18,005,Caucete
SAN JUAN,18,006,Chimbas
SAN JUAN,18,007,Iglesia
SAN JUAN,18,008,Jachal
SAN JUAN,18,009,9 de Julio
SAN JUAN,18,010,Pocito
SAN JUAN,18,011,Rawson
SAN JUAN,18,012,Rivadavia
SAN JUAN,18,013,San Martín
SAN JUAN,18,014,Santa Lucia
SAN JUAN,18,015,Sarmiento
SAN JUAN,18,016,Ullún
SAN JUAN,18,017,Valle Fértil
SAN JUAN,18,018,25 de Mayo
SAN JUAN,18,019,Zonda
SAN LUIS,19,001,Ayacucho
SAN LUIS,19,002,Be1grano
SAN LUIS,19,003,Chacabuco
SAN LUIS,19,004,General Pedernera
SAN LUIS,19,005,Gobernador Vicente Dupuy
SAN LUIS,19,006,Junín
SAN LUIS,19,007,La Capital
SAN LUIS,19,008,Pringles
SAN LUIS,19,009,San Martín
SANTA CRUZ,20,001,Corpe Aike
SANTA CRUZ,20,002,Deseado
SANTA CRUZ,20,003,Guer Aike
SANTA CRUZ,20,004,Lago Argentino
SANTA CRUZ,20,005,Lago Buenos Aires
SANTA CRUZ,20,006,Magallanes
SANTA CRUZ,20,007,Río Chico
SANTA FE,21,001,Belgrano
SANTA FE,21,002,Caseros
SANTA FE,21,003,Castellanos
SANTA FE,21,004,Constitución
SANTA FE,21,005,Garay
SANTA FE,21,006,General López
SANTA FE,21,007,General Obligado
SANTA FE,21,008,Iriondo
SANTA FE,21,009,La Cpital
SANTA FE,21,010,Las Colonias
SANTA FE,21,011,Nueve de Julio
SANTA FE,21,012,Rosario
SANTA FE,21,013,San Cristóbal
SANTA FE,21,014,San Javier
SANTA FE,21,015,San Jerónimo
SANTA FE,21,016,San Justo
SANTA FE,21,017,San Lorenzo
SANTA FE,21,ol8,San Martín
SANTA FE,21,019,Vera
SANTIAGO DEL ESTERO,22,001,Aguirre
SANTIAGO DEL ESTERO,22,002,Alberdi
SANTIAGO DEL ESTERO,22,003,Atamisqui
SANTIAGO DEL ESTERO,22,004,Avellaneda
SANTIAGO DEL ESTERO,22,005,Banda
SANTIAGO DEL ESTERO,22,006,Be1grano
SANTIAGO DEL ESTERO,22,007,Capital
SANTIAGO DEL ESTERO,22,008,Copo
SANTIAGO DEL ESTERO,22,009,Choya
SANTIAGO DEL ESTERO,22,010,Figueroa
SANTIAGO DEL ESTERO,22,011,General Taboada
SANTIAGO DEL ESTERO,22,012,Guasayán
SANTIAGO DEL ESTERO,22,013,Jiménez
SANTIAGO DEL ESTERO,22,014,Loreto
SANTIAGO DEL ESTERO,22,015,Matará
SANTIAGO DEL ESTERO,22,016,Mitre
SANTIAGO DEL ESTERO,22,017,Moreno
SANTIAGO DEL ESTERO,22,018,Ojo de Agua
SANTIAGO DEL ESTERO,22,019,Pellegrini
SANTIAGO DEL ESTERO,22,020,Quebrachos
SANTIAGO DEL ESTERO,22,021,Río Hondo
SANTIAGO DEL ESTERO,22,022,Rivadavia
SANTIAGO DEL ESTERO,22,023,Robles
SANTIAGO DEL ESTERO,22,024,Salavina
SANTIAGO DEL ESTERO,22,025,San Martín
SANTIAGO DEL ESTERO,22,026,Sarmiento
SANTIAGO DEL ESTERO,22,027,Silípica
TUCUMAN,23,001,Burruyacu
TUCUMAN,23,002,Capital
TUCUMAN,23,003,Cruz Alta
TUCUMAN,23,004,Chicligasta
TUCUMAN,23,005,Famaillá
TUCUMAN,23,006,Graneros
TUCUMAN,23,007,Leales
TUCUMAN,23,008,Monteros
TUCUMAN,23,009,Río Chico
TUCUMAN,23,010,Tafí
TUCUMAN,23,011,Trancas
TIERRA DEL FUEGO,24,001,Antártida Argentina
TIERRA DEL FUEGO,24,002,Bahía Thetis
TIERRA DEL FUEGO,24,003,Islas de los Estados
TIERRA DEL FUEGO,24,004,Islas Orcadas de! Sur
TIERRA DEL FUEGO,24,005,Islas Georgias del Sur
TIERRA DEL FUEGO,24,006,Islas Sandwich del Sur
TIERRA DEL FUEGO,24,007,Islas Malvinas
TIERRA DEL FUEGO,24,008,"Islas Pictón Nueva Lennox, Luff y Augusto"
TIERRA DEL FUEGO,24,009,San Sebastián
TIERRA DEL FUEGO,24,010,Ushuaia
