page,n_orden,localidad,provincia,depto_1960,poblacion,tipo_resolucion,propuesta,lat,lon,fuente,fuente_url,verificado_geo,depto_del_punto,nota
v3_p11,113,José M. Blanco,Buenos Aires,Pellegrini,4251,manual_coord,Tres Lomas (ex Colonia/estación José M. Blanco),-36.4582,-62.8756,OSM Nominatim; treslomas.gob.ar,https://www.treslomas.gob.ar/?q=historia,verde,Tres Lomas,No existe localidad moderna 'José M. Blanco'. José María Blanco fue el terrateniente que fundó la Colonia Blanco y cedió tierras para la estación Tres Lomas (1906); en 1960 Tres Lomas pertenecía al depto Pellegrini. El nombre sobrevive como calle en Tres Lomas. Coordenada = casco de Tres Lomas (depto_moderno); anclaje aproximado.
v8_p01,37,Colonia Alvear Oeste,Mendoza,General Alvear,3665,manual_coord,Colonia Alvear Oeste,-35.0,-67.6667,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=&id=31783,verde,General Alvear,"Localidad/estación FC en el depto General Alvear, Mendoza"
v3_p18,126,Puerto Belgrano,Buenos Aires,Coronel de Marina Leonardo Rosales,3607,manual_coord,Base Naval Puerto Belgrano (Punta Alta),-38.8869,-62.0978,Wikipedia,https://en.wikipedia.org/wiki/Port_Belgrano_Naval_Base,verde,Coronel de Marina Leonardo Rosales,"Base naval junto a Punta Alta, partido Coronel de Marina L. Rosales"
v4_p03,124,Cañada Verde,Córdoba,General Roca,3558,rename,Villa Huidobro,-34.8403,-64.5867,Wikipedia,https://es.wikipedia.org/wiki/Villa_Huidobro,verde,General Roca,"Poblacion llamada Cañada Verde erigida en villa como Villa Huidobro en 1904; cabecera depto General Roca, Cordoba"
v4_p04,127,Colonia Ella,Santa Fe,General Obligado,3498,rename,Malabrigo,-29.3486,-59.9694,Wikipedia (Malabrigo),https://es.wikipedia.org/wiki/Malabrigo_(Argentina),verde,General Obligado,Colonia Ella fue renombrada Malabrigo por ley 5.700 en 1964; depto General Obligado.
v7_p08,43,Pocitos,Salta,Gral. J. de San Martín,3438,rename,Profesor Salvador Mazza,-22.05,-63.7,Wikipedia (Salvador Mazza),https://es.wikipedia.org/wiki/Salvador_Mazza_(Salta),verde,General José de San Martín,Pocitos renombrada Prof. Salvador Mazza en 1951; depto Gral José de San Martín. La pista Salar de Pocitos es un homónimo en depto Los Andes (descartado).
v7_p06,47,León Rouges,Tucumán,Monteros,3196,rename,León Rougés,-27.2158,-65.5333,gazetteer,https://www.mindat.org/feature-3846949.html,verde,Monteros,"Localidad de León Rougés, depto Monteros, Tucuman. Coincide depto."
v3_p11,147,Jáuregui,Buenos Aires,Luján,3113,rename,José María Jáuregui (Villa Flandria),-34.6000,-59.1670,wikipedia,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_J%C3%A1uregui,verde,Luján,"Localidad de Luján, llamada Villa Flandria 1978-1990s; hoy José María Jáuregui."
v4_p06,146,Empalme V. Constitución,Santa Fe,Constitución,3095,manual_coord,Empalme Villa Constitución,-33.2611,-60.3806,Wikipedia,https://es.wikipedia.org/wiki/Empalme_Villa_Constituci%C3%B3n-Barrio_Mitre,verde,Constitución,"Comuna Empalme Villa Constitución, depto Constitución, a 5 km de Villa Constitución."
v3_p11,158,Juan B. Alberdi,Buenos Aires,Leandro N. Alem,2873,manual_coord,Juan Bautista Alberdi,-34.4333,-61.8,Wikipedia,https://es.wikipedia.org/wiki/Juan_Bautista_Alberdi_(Buenos_Aires),verde,Leandro N. Alem,"Localidad del partido Leandro N. Alem, BA (km 340 RN7)"
v9_1_2_p03,32,Kilómetro 8 (Petroquímica),Chubut,Escalante,2783,barrio_de,Kilómetro 8 / Don Bosco (barrio de Comodoro Rivadavia),-45.8000,-67.5333,Wikipedia,https://es.wikipedia.org/wiki/Don_Bosco_(Chubut),verde,Escalante,"Barrio industrial (Petroquímica) a 8 km del centro de Comodoro Rivadavia, depto Escalante"
v4_p01,168,Alto Verde,Santa Fe,La Capital,2627,barrio_de,Barrio Alto Verde (Santa Fe capital),-31.6613,-60.6986,Wikimapia/dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Alto-Verde&id=24458,verde,La Capital,"Barrio de la ciudad de Santa Fe sobre Isla Sirgadero, depto La Capital"
v3_p04,173,Carlos Pellegrini,Buenos Aires,Pellegrini,2470,rename,Pellegrini (cabecera del partido de Pellegrini),-36.2682,-63.1646,Wikipedia / OSM Nominatim,https://es.wikipedia.org/wiki/Pellegrini_(Buenos_Aires),verde,Pellegrini,La localidad censal 'Carlos Pellegrini' es la ciudad cabecera Pellegrini; coordenada OSM confirmada dentro del partido de Pellegrini.
v7_p08,58,Pedro G. Méndes,Tucumán,Cruz Alta,2425,rename,La Florida (Estación Pedro G. Méndez),-26.8208,-65.0953,Wikipedia (La Florida Tucumán),https://es.wikipedia.org/wiki/La_Florida_(Tucum%C3%A1n),verde,Cruz Alta,"Estación Pedro G. Méndez del Ingenio La Florida, localidad La Florida, depto Cruz Alta."
v8_p05,46,Zonda,San Juan,Veinticinco de Mayo,2183,sin_coordenada,,,,osm,https://en.wikipedia.org/wiki/Zonda_Department,sin_coord,,"ADVERTENCIA depto: la unica 'Zonda' de San Juan es Villa Basilio Nievas en el depto Zonda (approx -31.54,-68.74), NO en 25 de Mayo ni depto lindante. Probable artefacto de mapeo de depto 1960. No se uso la coordenada por regla de depto; verificar/reasignar."
v7_p05,67,La Madrid,Tucumán,Graneros,2116,manual_coord,La Madrid (Lamadrid),-27.6833,-65.2000,wikipedia,https://es.wikipedia.org/wiki/La_Madrid_(Tucum%C3%A1n),verde,Graneros,"Depto Graneros, Tucumán; también escrito Lamadrid. Coord 27°41'S 65°12'W."
v5_p04,65,Juan B. Arruabarrena,Entre Ríos,Federación,1997,manual_coord,Juan B. Arruabarrena,-30.3394,-58.3019,OSM Nominatim,https://nominatim.openstreetmap.org/,verde,Federación,"Paraje en depto Federación (San Jaime de la Frontera / Distrito Tatutí), Entre Ríos."
v8_p02,57,La Bebida,San Juan,Rivadavia,1992,manual_coord,La Bebida,-31.5333,-68.6167,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=La-Bebida&id=44348,verde,Rivadavia,"Localidad del depto Rivadavia, Gran San Juan"
v3_p11,193,José A. Guisasola,Buenos Aires,Coronel Dorrego,1967,manual_coord,Estación José A. Guisasola,-37.1306,-62.0253,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Jos%C3%A9_A._Guisasola,rojo,Coronel Suárez,"Estación de FC en partido Coronel Dorrego, cercana a El Perdido"
v4_p07,192,Froilán Palacios,Santa Fe,Iriondo,1948,manual_coord,Froilán Palacios,-32.6667,-61.1000,SIPAR Archivo Historico / Mapcarta,https://mapcarta.com/20056348,verde,Iriondo,Localidad del depto Iriondo (Municipio Salto Grande); traza aprobada 1891 en km 373 del FC Cordoba-Rosario
v6_p05,43,Misión San Fco. de Laishí,Formosa,Laishí,1944,manual_coord,San Francisco de Laishí,-26.2465,-58.6312,Wikipedia (San Francisco de Laishí),https://es.wikipedia.org/wiki/San_Francisco_de_Laish%C3%AD,verde,Laishi,"Mismo lugar; municipio Misión San Francisco de Laishí, cabecera del depto Laishí."
v4_p11,198,Los Saladillos,Santa Fe,9 de Julio,1920,rename,Gregoria Pérez de Denis (Los Saladillos),-28.2333,-61.5333,Wikipedia (Gregoria Pérez de Denis),https://es.wikipedia.org/wiki/Gregoria_P%C3%A9rez_de_Denis_(Santa_Fe),verde,9 de Julio,Comuna del depto 9 de Julio también conocida como Los Saladillos.
v7_p08,74,Poso del Alto,Tucumán,Cruz Alta,1875,rename,Pozo del Alto,-26.9025,-65.1456,gazetteer,https://mapcarta.com/20026742,verde,Cruz Alta,"Poso del Alto = Pozo del Alto, localidad depto Cruz Alta, Tucuman (cerca de Colombres/Banda del Rio Sali). Coincide depto."
v4_p08,207,Jesús María,Santa Fe,San Lorenzo,1855,manual_coord,"Jesús María (paraje, Timbúes)",-32.6718,-60.7835,osm,"https://nominatim.openstreetmap.org/search?q=Jesus+Maria,+San+Lorenzo,+Santa+Fe,+Argentina",verde,San Lorenzo,Paraje/colonia Jesús María en depto San Lorenzo cerca de Timbúes. Confianza media (OSM solo registra vías con ese nombre en el sitio).
v4_p19,217,Villa General Mitre,Córdoba,Totoral,1797,rename,Villa del Totoral,-30.7000,-64.0667,Wikipedia; Mapcarta,https://mapcarta.com/20011142,verde,Totoral,"Villa General Mitre fue el nombre original (1862) de la actual Villa del Totoral, depto Totoral."
v3_p22,215,Villa Numancia,Buenos Aires,San Vicente,1735,manual_coord,Estación Villa Numancia (Guernica),-34.9219,-58.4012,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Villa_Numancia,verde,Presidente Perón,"Estación/barrio de Guernica, hoy partido Presidente Perón"
v5_p05,78,Manuel F. Mantilla,Corrientes,San Roque,1697,rename,Mantilla (ex nombre oficial Pedro R. Fernández),-28.7508,-58.6558,Wikipedia,https://es.wikipedia.org/wiki/Mantilla_(Argentina),verde,San Roque,Localidad de San Roque nombrada por la estación Manuel F. Mantilla; nombre oficial Mantilla desde 2023
v5_p05,80,Miguel Lanús,Misiones,Capital,1681,barrio_de,Barrio Miguel Lanús (Posadas),-27.4292,-55.8797,Wikimapia,http://wikimapia.org/9166957/es/Barrio-Miguel-Lan%C3%BAs,verde,Capital,"Antigua Villa Lanus, hoy barrio del sur de Posadas, depto Capital, Misiones"
v3_p12,222,La Dulce,Buenos Aires,Necochea,1662,rename,Nicanor Olivera (La Dulce),-38.3008,-59.3808,Wikipedia (La Dulce),https://es.wikipedia.org/wiki/La_Dulce,rojo,San Cayetano,"Nombre oficial Nicanor Olivera, conocida como La Dulce; depto Necochea. Coord 38°18'03''S 59°22'51''O."
v6_p04,65,La Isla,Santiago del Estero,Banda,1562,sin_coordenada,,,,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=La-Isla&id=47020,sin_coord,,La única 'La Isla' documentada está en depto Jiménez (homónimo; coincide con la pista Isca Yacu pero lejos del depto objetivo Banda). Posible barrio La Isla en La Banda sin fuente sólida; sin coordenada confiable dentro de Banda.
v8_p02,81,La Legua,San Juan,Santa Lucía,1551,rename,La Legua,-31.5559,-68.4658,osm,https://nominatim.openstreetmap.org/search?q=La%20Legua%2C%20Santa%20Lucia%2C%20San%20Juan,verde,Santa Lucía,"La Legua, distrito/localidad del depto Santa Lucia, San Juan. Coincide depto."
v4_p16,275,S. Martín de las Escobas,Santa Fe,San Martín,1521,manual_coord,San Martín de las Escobas,-31.8578,-61.5760,wikipedia,https://es.wikipedia.org/wiki/San_Mart%C3%ADn_de_las_Escobas,verde,San Martín,"Comuna en depto San Martín (Santa Fe), km 152 RN34."
v8_p03,82,Pampa del Chañar,San Juan,Jáchal,1521,manual_coord,Pampa del Chañar,-30.1812,-68.6795,OSM Nominatim,https://nominatim.openstreetmap.org/,verde,Jáchal,"Aldea en el valle Jáchal-Niquivil, depto Jáchal, San Juan."
v8_p03,83,Marquesado,San Juan,Rivadavia,1514,manual_coord,Marquesado,-31.5167,-68.6167,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Marquesado&id=3859,verde,Rivadavia,"Localidad del depto Rivadavia, Gran San Juan"
v4_p05,285,Chateaubriand,Santa Fe,General López,1490,manual_coord,Chateaubriand (paraje/estación),-33.6333,-61.8667,OpenStreetMap Nominatim (reverse) / Globefeed,https://nominatim.openstreetmap.org/reverse?lat=-33.6333&lon=-61.8667&format=json,verde,General López,"Reverse-geocoding confirma que cae en Departamento General López, al NE de Venado Tuerto"
v7_p09,98,San Antonio de la Paz,Catamarca,La Paz,1489,manual_coord,San Antonio de La Paz,-28.9330,-65.1000,Wikipedia (EN),https://en.wikipedia.org/wiki/San_Antonio_de_La_Paz,verde,La Paz,"Pueblo del depto La Paz, Catamarca"
v3_p19,241,Sánchez,Buenos Aires,Ramallo,1480,rename,Villa General Savio,-33.4350,-60.1460,Wikipedia (Villa General Savio),https://en.wikipedia.org/wiki/Villa_General_Savio,verde,Ramallo,Estación/localidad Sánchez renombrada Villa General Savio en 1967; partido de Ramallo.
v4_p17,297,Saturnino M. Laspiur,Córdoba,San Justo,1445,rename,Saturnino María Laspiur,-31.7039,-62.4825,Wikipedia (Saturnino María Laspiur),https://es.wikipedia.org/wiki/Saturnino_Mar%C3%ADa_Laspiur_(C%C3%B3rdoba),verde,San Justo,Localidad del depto San Justo sobre RN 158.
v6_p04,80,Laguna Naineck,Formosa,Pilcomayo,1445,rename,Laguna Naick Neck,-25.2190,-58.1219,wikipedia,https://es.wikipedia.org/wiki/Laguna_Naick_Neck,verde,Pilcomayo,"Laguna Naineck = Laguna Naick Neck, depto Pilcomayo, Formosa. Coincide depto."
v5_p03,89,Gobernador J.E. Martínez,Corrientes,Lavalle,1434,rename,Gobernador Juan E. Martínez,-28.9125,-58.9361,wikipedia,https://es.wikipedia.org/wiki/Gobernador_Juan_E._Mart%C3%ADnez,verde,Lavalle,Localidad de depto Lavalle (Corrientes); ex Yatay/Pueblo Arroyo Juárez.
v4_p16,304,San Julián,Santa Fe,San Jerónimo,1405,sin_coordenada,,,,,,sin_coord,,"No se halló localidad 'San Julián' vigente en depto San Jerónimo (Santa Fe); no figura en el listado de localidades del depto. Único homónimo = Estancia San Julián en depto Rosario (Funes), lejano y de otro departamento (descartado)."
v3_p15,266,Mariano M. Alfonso,Buenos Aires,Pergamino,1353,rename,Mariano H. Alfonzo,-33.883,-60.833,Wikipedia,https://en.wikipedia.org/wiki/Mariano_H._Alfonzo,verde,Pergamino,Estación/localidad del partido Pergamino; estación renombrada Mariano H. Alfonzo en 1945
v9_1_2_p01,51,Alejandro Stefanelli,Río Negro,General Roca,1346,rename,Padre Alejandro Stefenelli,-39.0345,-67.5388,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/search?q=Padre+Alejandro+Stefenelli+General+Roca+Rio+Negro&format=json,verde,General Roca,"Localidad/estación al este de la ciudad de General Roca, depto General Roca"
v4_p12,317,Médanos de las Cañas,Córdoba,Unión,1337,sin_coordenada,,,,,,sin_coord,,No localizado con confianza en depto Union (Cordoba); sin registro en Georef ni OSM/Nominatim; no se arriesga coordenada
v7_p11,113,Villa Bustos,La Rioja,Sanagasta,1314,rename,Villa Sanagasta,-29.267,-67.017,Wikipedia (Villa Sanagasta),https://es.wikipedia.org/wiki/Villa_Sanagasta,verde,Sanagasta,"Villa Sanagasta, anteriormente conocida como Villa Bustos; cabecera del depto Sanagasta."
v3_p04,272,Carlos N. Naón,Buenos Aires,9 de Julio,1310,rename,Carlos María Naón,-35.24,-60.8253,Wikipedia (Estación Carlos María Naón),https://es.wikipedia.org/wiki/Estaci%C3%B3n_Carlos_Mar%C3%ADa_Na%C3%B3n,verde,9 de Julio,Localidad/estación en partido 9 de Julio.
v9_1_2_p04,54,Playa Bonita,Río Negro,Bariloche,1249,manual_coord,Playa Bonita (Bariloche),-41.1235,-71.4008,osm,https://nominatim.openstreetmap.org/search?q=Playa%20Bonita%2C%20Bariloche,verde,Bariloche,"Barrio/paraje sobre Av. Bustillo (km 8), costa del lago Nahuel Huapi, depto/municipio San Carlos de Bariloche. Coincide depto."
v8_p04,97,Rodolfo Iselin (La Llave),Mendoza,San Rafael,1228,manual_coord,La Llave (Rodolfo Iselín),-34.6399,-67.9780,gazetteer,https://provinciademendoza.ar/MENU=Municipios&NMUN=San%20Rafael&INFO=Localidad&NLOC=Rodolfo%20Isel%C3%ADn,verde,San Rafael,"Distrito La Llave, depto San Rafael; nombre oficial Rodolfo Iselín (1953). Coord del sitio oficial de la Provincia de Mendoza."
v3_p05,288,Coronel Mom,Buenos Aires,Alberti,1201,rename,Villa Ortiz (Estación Coronel Mom),-34.8414,-60.3061,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Coronel_Mom,verde,Alberti,"Localidad Villa Ortiz, conocida por su estación Coronel Mom (FC Sarmiento), partido de Alberti."
v3_p16,290,Otamendi,Buenos Aires,Campana,1190,rename,Ingeniero Otamendi,-34.2342,-58.8642,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Otamendi&id=42326,verde,Campana,"En partido Campana; NO es Comandante Nicanor Otamendi (Gral Alvarado), homónimo lejano de la pista"
v4_p08,358,J. B. Molina,Santa Fe,Constitución,1189,rename,Juan Bernabé Molina,-33.4936,-60.5092,Wikipedia,https://es.wikipedia.org/wiki/Juan_Bernab%C3%A9_Molina,verde,Constitución,Localidad del depto Constitución surgida en torno a la estación J. B. Molina (FC Belgrano)
v7_p07,125,Monte Rico,Jujuy,El Carmen,1177,rename,Monterrico,-24.4428,-65.1661,Wikipedia,https://en.wikipedia.org/wiki/Monterrico,verde,El Carmen,"Monte Rico = Monterrico, municipio del depto El Carmen, Jujuy"
v4_p06,365,Dalmacio Vélez Sarsfield,Córdoba,Tercero Arriba,1175,manual_coord,Dalmacio Vélez (Sársfield),-32.6100,-63.5769,Wikipedia (Dalmacio Vélez Sarsfield),https://es.wikipedia.org/wiki/Dalmacio_V%C3%A9lez_Sarsfield_(C%C3%B3rdoba),verde,Tercero Arriba,Mismo lugar; depto Tercero Arriba. Coord 32°36'36''S 63°34'37''O.
v5_p06,115,Puerto Gisela,Misiones,San Ignacio,1161,manual_coord,Colonia Gisela (Municipio General Urquiza),-27.1079,-55.3767,Wikipedia (General Urquiza),https://es.wikipedia.org/wiki/General_Urquiza_(Misiones),verde,San Ignacio,"Antiguo puerto/colonia sobre el río Paraná dentro del municipio de General Urquiza (depto San Ignacio). Coordenada = centro de Gral. Urquiza (aprox.; el puerto está unos km al E, sobre el río)."
v9_1_2_p02,58,Coronel Gómez,Río Negro,General Roca,1161,rename,Coronel Juan José Gómez,-39.0194,-67.6364,wikipedia,https://es.wikipedia.org/wiki/Coronel_Juan_Jos%C3%A9_G%C3%B3mez_(R%C3%ADo_Negro),verde,General Roca,"Coronel Gomez = Coronel Juan Jose Gomez, hoy barrio oeste de General Roca, depto General Roca, Rio Negro. Fue localidad gran parte del s.XX. Coincide depto."
v7_p11,138,Villa Nva. de Monte Rico,Tucumán,Chicligasta,1092,manual_coord,Monte Rico,-27.3835,-65.6272,osm,"https://nominatim.openstreetmap.org/search?q=Monte+Rico,+Chicligasta,+Tucuman,+Argentina",verde,Chicligasta,"Aldea Monte Rico en depto Chicligasta, cerca de Concepción."
v4_p14,382,Pueblo Britos,Santa Fe,Rosario,1085,sin_coordenada,,,,,,sin_coord,,"No se localizó 'Pueblo Britos' en depto Rosario (Santa Fe) en Wikipedia, Nominatim ni gacetero. Sin coordenada confiable."
v5_p03,122,Gobernador Gral. López,Misiones,Leandro N. Alem,1080,rename,Gobernador López,-27.6663,-55.2135,Wikipedia,https://es.wikipedia.org/wiki/Gobernador_L%C3%B3pez_(Misiones),verde,Leandro N. Alem,"Municipio del depto Leandro N. Alem, Misiones"
v5_p03,124,Fábrica Colón,Entre Ríos,Colón,1067,rename,Pueblo Liebig (ex Fábrica Colón),-32.1531,-58.1911,Wikipedia,https://es.wikipedia.org/wiki/Pueblo_Liebig,verde,Colón,"Pueblo nacido alrededor del frigorífico Fábrica Colón (Liebig's), depto Colón"
v7_p09,140,San José de Fray Mamerto Esquiú,Catamarca,Fray Mamerto Esquiú,1053,rename,San José de Piedra Blanca,-28.3667,-65.7000,Wikipedia,https://es.wikipedia.org/wiki/San_Jos%C3%A9_de_Piedra_Blanca,verde,Fray Mamerto Esquiú,"San Jose (de Piedra Blanca), cabecera del depto Fray Mamerto Esquiu, Catamarca"
v4_p17,402,Sebastián el Cano,Córdoba,Río Seco,1010,rename,Sebastián Elcano,-30.1611,-63.5897,Wikipedia (Sebastián Elcano),https://es.wikipedia.org/wiki/Sebasti%C3%A1n_Elcano_(C%C3%B3rdoba),verde,Río Seco,Grafía moderna Sebastián Elcano; depto Río Seco. Coord 30°09'40''S 63°35'23''O.
v7_p10,143,Santa Rosa,Catamarca,Tinogasta,1006,manual_coord,Santa Rosa (Tinogasta),-28.033,-67.617,Wikipedia (Santa Rosa Tinogasta),https://es.wikipedia.org/wiki/Santa_Rosa_(Tinogasta),verde,Tinogasta,"Comuna a 5 km al norte de Tinogasta, depto Tinogasta."
v5_p01,136,Aranguren,Entre Ríos,Victoria,932,rename,Villa Aranguren,-32.2500,-60.1667,wikipedia,https://es.wikipedia.org/wiki/Villa_Aranguren,rojo,Nogoyá,"Aranguren = Villa Aranguren. Wikipedia la ubica en depto Nogoya (limitrofe con Victoria, depto_1960); coincide con pista. Depto lindante a Victoria."
v7_p02,151,Cevil Pozo,Tucumán,Cruz Alta,930,manual_coord,Cevil Pozo,-26.8553,-65.1256,wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Cevil_Pozo,verde,Cruz Alta,"Estación/localidad en Banda del Río Salí, depto Cruz Alta (Tucumán). Coord 26°51'19\\""S 65°07'32\""\""W."""
v7_p05,152,Huaco,Catamarca,Andalgalá,929,manual_coord,Huaco,-27.6088,-66.3330,Wikipedia,https://es.wikipedia.org/wiki/Huaco_(Catamarca),verde,Andalgalá,"Localidad ~5 km al sur de Andalgalá; sede de la ex Estación Huaco (FC Belgrano), depto Andalgalá."
v5_p05,139,Nueve de Julio,Misiones,Eldorado,920,rename,9 de Julio,-26.4301,-54.466,Wikipedia,https://es.wikipedia.org/wiki/9_de_Julio_(Misiones),verde,Eldorado,"Localidad del depto Eldorado, Misiones"
v7_p03,153,Cnel. Juan Solá Morillo,Salta,Rivadavia,920,rename,Coronel Juan Solá (Estación Morillo),-23.4667,-62.8833,Wikipedia,https://es.wikipedia.org/wiki/Coronel_Juan_Sol%C3%A1,verde,Rivadavia,"Cabecera de Rivadavia Banda Norte; conocida como Morillo por su estación, depto Rivadavia"
v7_p07,155,Manantial,Tucumán,Tafí,911,manual_coord,El Manantial,-26.8442,-65.2900,Wikipedia,https://es.wikipedia.org/wiki/El_Manantial_(Tucum%C3%A1n),rojo,Lules,"El Manantial, hoy en depto Lules (surgido del antiguo depto Tafi), conurbado y lindante con Yerba Buena (depto moderno listado)"
v4_p12,447,Mariano Saavedra,Santa Fe,Las Colonias,871,rename,San Mariano (Estación Mariano Saavedra),-31.6684,-61.3475,Wikipedia (San Mariano),https://es.wikipedia.org/wiki/San_Mariano_(Santa_Fe),verde,Las Colonias,La estación Mariano Saavedra está en la localidad de San Mariano; depto Las Colonias.
v4_p02,450,Ascochingas,Santa Fe,La Capital,864,rename,Ascochinga (paraje distrito Monte Vera),-31.4833,-60.6333,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Desvio-Ascochinga&id=25412,verde,La Capital,"Paraje/desvío Ascochinga en el distrito Monte Vera, depto La Capital."
v8_p02,118,La Cañada,San Juan,Albardón,858,rename,La Cañada,-31.4446,-68.4759,osm,https://nominatim.openstreetmap.org/search?q=La%20Ca%C3%B1ada%2C%20Albard%C3%B3n%2C%20San%20Juan,verde,Albardón,"La Cañada, localidad del depto Albardon, San Juan. Coincide depto."
v7_p07,169,Ntra.Sra. de Talavera,Salta,Anta,827,manual_coord,Nuestra Señora de Talavera,-25.4567,-63.7789,wikipedia,https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_Talavera_(actual),verde,Anta,"Pueblo en depto Anta (Salta), municipio El Quebrachal, sobre RN16."
v5_p04,155,Lib. Gral. San Martín,Entre Ríos,Diamante,809,rename,Libertador San Martín (Puiggari),-32.0730,-60.4644,Wikipedia,https://es.wikipedia.org/wiki/Libertador_San_Mart%C3%ADn,verde,Diamante,"Ex Aldea Camarero / Puiggari; municipio Libertador San Martín, depto Diamante, Entre Ríos."
v8_p04,122,Piedra Blanca,San Luis,Junín,790,barrio_de,Villa de Merlo (barrio Piedra Blanca),-32.32,-65.014,Mapcarta,https://mapcarta.com/N2579934389,verde,Junín,"Barrio histórico de Villa de Merlo, depto Junín; coordenada aproximada (~2,5 km al N del centro de Merlo)"
v6_p07,122,Villa Escobar Navegación Río Bermejo,Formosa,Laishí,775,rename,Villa Escolar,-26.6219,-58.6697,Wikipedia,https://es.wikipedia.org/wiki/Villa_Escolar,verde,Laishi,Localidad del depto Laishí sobre el río Bermejo; el nombre del censo (Villa Escobar) corresponde a Villa Escolar
