grupo,veredicto,page,n_orden,localidad_1960,provincia,depto_1960,poblacion,propuesta,depto_propuesto,lat,lon,criterio_deteccion,verificado_geo,fuente,fuente_url,nota
A,aceptar,v8_p05,77,Villa del Salvador,San Juan,Angaco,1592,Villa El Salvador (cabecera del depto Angaco),San Martín,-31.45327,-68.40376,depto_transferencia_o_homonimo,verde,Wikipedia + Georef,https://es.wikipedia.org/wiki/Villa_El_Salvador_(San_Juan),[3.3b rename] guard=verde (coord en conjunto permitido)
A,aceptar,v7_p08,105,Río Colorado,Tucumán,Famaillá,1433,Río Colorado,Leales,-27.148606,-65.35695,depto_transferencia_o_homonimo,rojo,Georef + Wikipedia,https://es.wikipedia.org/wiki/R%C3%ADo_Colorado_(Tucum%C3%A1n),[3.3b transferencia_confirmada] transferencia DOCUMENTADA: Ley provincial 4518 (1976) | ley: Ley provincial 4518 (1976)
A,aceptar,v4_p15,321,San Bartolomé,Córdoba,San Justo,1324,Colonia San Bartolomé,Río Cuarto,-31.52791,-62.72370,depto_transferencia_o_homonimo,verde,Georef + Wikipedia,https://es.wikipedia.org/wiki/Colonia_San_Bartolom%C3%A9,[3.3b rename] guard=verde (coord en conjunto permitido)
A,aceptar,v7_p09,114,San Antonio,Catamarca,Fray Mamerto Esquiú,1312,San Antonio (Fray Mamerto Esquiú),La Paz,-28.42576,-65.70838,depto_transferencia_o_homonimo,verde,Georef,https://apis.datos.gob.ar/georef/api/localidades?nombre=San%20Antonio&provincia=Catamarca,[3.3b rename] guard=verde (coord en conjunto permitido)
A,aceptar,v5_p02,114,Dos de Mayo,Misiones,Lib. Gral. San Martín,1165,Dos de Mayo,Cainguás,-27.019937,-54.684531,depto_transferencia_o_homonimo,rojo,Wikipedia + Georef,https://es.wikipedia.org/wiki/Dos_de_Mayo_(Misiones),"[3.3b transferencia_limite_declarado] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
A,aceptar,v5_p03,117,Gobernador Racedo,Entre Ríos,Paraná,1147,Gobernador Racedo (General Racedo),Diamante,-31.9791491,-60.4056663,depto_transferencia_o_homonimo,rojo,Georef + Wikipedia/eltiempo/mapcarta,https://apis.datos.gob.ar/georef/api/localidades?id=30021110,[3.3b transferencia_confirmada] transferencia DOCUMENTADA: Ley provincial 6378 (1979) | ley: Ley provincial 6378 (1979)
A,aceptar,v8_p02,109,Divisoria,San Juan,Veinticinco de Mayo,1090,Divisoria (localidad del depto 25 de Mayo),Caucete,-31.72032,-68.30388,depto_transferencia_o_homonimo,verde,OpenStreetMap/Nominatim + web,https://nominatim.openstreetmap.org/search?q=Divisoria+San+Juan+Argentina&format=json,[3.3b manual_coord] guard=verde (coord en conjunto permitido)
A,aceptar,v4_p07,419,Golondrina,Santa Fe,General Obligado,966,Golondrina,Vera,-28.55654,-60.02271,depto_transferencia_o_homonimo,rojo,Georef + Wikipedia,https://es.wikipedia.org/wiki/Golondrina_(Santa_Fe),"[3.3b transferencia_limite_declarado] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
A,aceptar,v5_p01,136,Aranguren,Entre Ríos,Victoria,932,Aranguren,,-32.24578,-60.15835,web_rename,rojo,Georef + Wikipedia,https://es.wikipedia.org/wiki/Villa_Aranguren,"[3.3b transferencia_limite_declarado] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
A,aceptar,v3_p22,349,Villars,Buenos Aires,Marcos Paz,915,Villars,General Las Heras,-34.82601,-58.93905,depto_transferencia_o_homonimo,rojo,Wikipedia + OpenStreetMap,https://es.wikipedia.org/wiki/Villars_(Buenos_Aires),"[3.3b transferencia_limite_declarado] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
A,aceptar,v7_p07,155,Manantial,Tucumán,Tafí,911,El Manantial,,-26.848053,-65.281861,web_manual_coord,rojo,Georef + Wikipedia/todo-argentina,https://es.wikipedia.org/wiki/El_Manantial_(Tucum%C3%A1n),[3.3b transferencia_confirmada] transferencia DOCUMENTADA: Ley provincial 4518 (1976) | ley: Ley provincial 4518 (1976)
A,aceptar,v4_p10,491,Los Amores,Santa Fe,General Obligado,736,Los Amores,Vera,-28.1019746,-59.9798968,depto_transferencia_o_homonimo,rojo,Wikipedia (Los Amores) + Georef,https://es.wikipedia.org/wiki/Los_Amores,"[3.3b transferencia_limite_declarado] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
A,aceptar,v3_p12,418,Juan J. Almeyra,Buenos Aires,Navarro,696,José Juan Almeyra,,-34.92159,-59.54223,web_rename,verde,Georef + Wikipedia,https://es.wikipedia.org/wiki/Jos%C3%A9_Juan_Almeyra,[3.3b rename] guard=verde (coord en conjunto permitido)
A,aceptar,v4_p04,505,Colonia Santa María,Córdoba,Unión,694,Aldea Santa María,San Justo,-33.699219,-62.914658,depto_transferencia_o_homonimo,verde,Georef + Wikipedia,https://es.wikipedia.org/wiki/Aldea_Santa_Mar%C3%ADa_(C%C3%B3rdoba),[3.3b rename] guard=verde (coord en conjunto permitido)
A,aceptar,v7_p07,199,Manuel García Fernández,Tucumán,Famaillá,681,Manuel García Fernández,Leales,-26.95570,-65.27207,depto_transferencia_o_homonimo,rojo,Georef + Wikipedia,https://es.wikipedia.org/wiki/Manuel_Garc%C3%ADa_Fern%C3%A1ndez,"[3.3b transferencia_limite_declarado] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
A,aceptar,v4_p11,513,Margarita,Santa Fe,Castellanos,680,Colonia Margarita,Vera,-31.68599,-61.64772,depto_transferencia_o_homonimo,verde,Georef,https://apis.datos.gob.ar/georef/api/localidades?nombre=Margarita&provincia=Santa%20Fe,[3.3b rename] guard=verde (coord en conjunto permitido)
A,aceptar,v4_p16,519,San José,Córdoba,Tulumba,673,San José de la Dormida,San Javier,-30.356269,-63.950293,depto_transferencia_o_homonimo,verde,Georef + citypopulation,https://es.wikipedia.org/wiki/San_Jos%C3%A9_de_la_Dormida,[3.3b rename] guard=verde (coord en conjunto permitido)
A,aceptar,v4_p01,524,Ana Zumarán,Córdoba,General San Martín,657,Ana Zumarán,Unión,-32.3905234,-63.0573516,depto_transferencia_o_homonimo,verde,Wikipedia (Ana Zumaran) + Georef,https://es.wikipedia.org/wiki/Ana_Zumar%C3%A1n,[3.3b transferencia_confirmada] guard=verde (coord en conjunto permitido)
A,aceptar,v3_p17,455,Pavón,Buenos Aires,Exaltación de la Cruz,627,Pavón (partido Exaltación de la Cruz),General Lavalle,-34.39318,-59.03470,depto_transferencia_o_homonimo,verde,Wikipedia + Georef,https://es.wikipedia.org/wiki/Pav%C3%B3n_(Buenos_Aires),[3.3b rename] guard=verde (coord en conjunto permitido)
A,aceptar,v5_p07,194,Tabay,Corrientes,Concepción,588,Tabay,Concepción,-28.308136,-58.286866,ambiguo,verde,Georef + Wikipedia,https://es.wikipedia.org/wiki/Tabay_(Corrientes),[3.3b transferencia_confirmada] guard=verde (coord en conjunto permitido)
A,aceptar,v3_p12,482,La Larga,La Pampa,Caseros,570,La Larga,Daireaux,-36.675,-61.93,correccion_fuente_imagen,verde,imagen+georef,https://apis.datos.gob.ar/georef/api,PASO0: fuente imprimio prov 'La Pampa' erronea; La Pampa no tiene depto Caseros; Caseros=viejo Daireaux(BA); La Larga en BA/Daireaux. Imagen v3_p12/482 | Paso 0: ratificado en decisiones.csv
A,aceptar,v4_p07,572,Garabato,Santa Fe,General Obligado,525,Garabato,Vera,-28.95449,-60.13508,depto_transferencia_o_homonimo,rojo,Georef + Wikipedia,https://es.wikipedia.org/wiki/Garabato_(Santa_Fe),"[3.3b transferencia_limite_declarado] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
A,aceptar,v4_p18,578,Tartagal,Santa Fe,General Obligado,514,Tartagal,Vera,-28.67105,-59.84809,depto_transferencia_o_homonimo,rojo,Wikipedia + Georef,https://es.wikipedia.org/wiki/Tartagal_(Santa_Fe),"[3.3b transferencia_limite_declarado] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
A,aceptar,v4_p08,601,Intiyaco,Santa Fe,General Obligado,479,Intiyaco,Vera,-28.674866,-60.070701,depto_transferencia_o_homonimo,rojo,Georef + Wikipedia/senado Santa Fe,https://es.wikipedia.org/wiki/Intiyaco_(Santa_Fe),"[3.3b transferencia_limite_declarado] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
A,aceptar,v7_p09,266,San José,Catamarca,Tinogasta,477,San José (Tinogasta),Fray Mamerto Esquiú,-27.9868939,-67.5938798,depto_transferencia_o_homonimo,verde,Nominatim/OpenStreetMap,"https://nominatim.openstreetmap.org/search?q=San+Jose,+Tinogasta,+Catamarca&format=json",[3.3b manual_coord] guard=verde (coord en conjunto permitido)
A,aceptar,v3_p08,558,Enrique Lavalle,Buenos Aires,Hipólito Yrigoyen,457,Enrique Lavalle (estacion FC Midland),,-36.40887,-61.93402,web_manual_coord,rojo,OpenStreetMap/Nominatim + Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Enrique_Lavalle,"[3.3b manual_coord_frontera] Jose: aceptar (residuo chico, mismo lugar confirmado por fuente; guard rojo por borde/split)"
A,aceptar,v4_p12,621,Monte Cristo,Córdoba,Río Primero,439,Monte Cristo,,-31.343056,-63.944444,web_manual_coord,rojo,Wikipedia,https://es.wikipedia.org/wiki/Monte_Cristo_(C%C3%B3rdoba),"[3.3b manual_coord_frontera] Jose: aceptar (residuo chico, mismo lugar confirmado por fuente; guard rojo por borde/split)"
A,aceptar,v4_p14,622,Punta del Agua,Córdoba,Río Primero,437,Punta de Agua (Río Primero),Tercero Arriba,-31.05170,-63.70070,depto_transferencia_o_homonimo,verde,Georef asentamientos + Nominatim,"https://nominatim.openstreetmap.org/search?q=Punta+del+Agua,+Rio+Primero,+Cordoba,+Argentina&format=json",[3.3b manual_coord] guard=verde (coord en conjunto permitido)
A,aceptar,v4_p10,628,Las Tapias,Córdoba,Río Cuarto,424,"Las Tapias (Río Cuarto, pedanía San Bartolomé)",San Javier,-32.83587,-64.74979,depto_transferencia_o_homonimo,verde,OpenStreetMap/Nominatim + mindat,"https://nominatim.openstreetmap.org/search?q=Las+Tapias,+Rio+Cuarto,+Cordoba,+Argentina&format=json",[3.3b manual_coord] guard=verde (coord en conjunto permitido)
A,aceptar,v4_p14,631,Punta de Agua,Córdoba,Río Cuarto,421,"Punta del Agua (paraje, Pedanía Achiras)",Río Primero,-33.202775,-65.142456,depto_transferencia_o_homonimo,verde,OpenStreetMap / Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=N3559620393&format=json,[3.3b manual_coord] guard=verde (coord en conjunto permitido)
A,aceptar,v6_p06,194,Santo Domingo,Santiago del Estero,Ojo de Agua,410,Santo Domingo (Ojo de Agua),Pellegrini,-29.2531302,-63.9284245,depto_transferencia_o_homonimo,verde,Nominatim/OpenStreetMap,"https://nominatim.openstreetmap.org/search?q=Santo+Domingo,+Ojo+de+Agua,+Santiago+del+Estero&format=json",[3.3b manual_coord] guard=verde (coord en conjunto permitido)
A,aceptar,v5_p06,251,San Antonio,Corrientes,Paso de los Libres,350,"San Antonio (paraje, depto Paso de los Libres)",Ituzaingó,-29.76755,-57.54712,depto_transferencia_o_homonimo,verde,OpenStreetMap/Nominatim + Gobierno de Corrientes,https://nominatim.openstreetmap.org/search?q=San+Antonio+Paso+de+los+Libres+Corrientes+Argentina&format=json,[3.3b manual_coord] guard=verde (coord en conjunto permitido)
A,aceptar,v4_p18,658,Tinoco,Córdoba,Río Primero,344,Tinoco,Colón,-31.124469,-63.891831,depto_transferencia_o_homonimo,rojo,Georef + Wikipedia,https://es.wikipedia.org/wiki/Tinoco,"[3.3b transferencia_limite_declarado] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
A,aceptar,v3_p07,652,Energía,Buenos Aires,San Cayetano,343,Energía,Necochea,-38.55792,-59.34108,depto_transferencia_o_homonimo,rojo,Georef + Wikipedia,https://es.wikipedia.org/wiki/Energ%C3%ADa_(Buenos_Aires),"[3.3b transferencia_limite_declarado] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
A,aceptar,v3_p23,709,Vuelta de Obligado,Buenos Aires,San Pedro,283,Obligado,,-33.59681,-59.81769,web_rename,verde,Wikipedia + Georef,https://es.wikipedia.org/wiki/Obligado_(Buenos_Aires),[3.3b rename] guard=verde (coord en conjunto permitido)
A,aceptar,v5_p05,291,Miñones,Entre Ríos,Federación,204,Estación Miñones,,-30.6983,-58.5825,web_manual_coord,rojo,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Mi%C3%B1ones,"[3.3b manual_coord_frontera] Jose: aceptar (residuo chico, mismo lugar confirmado por fuente; guard rojo por borde/split)"
A,aceptar,v3_p20,812,San José,Buenos Aires,Necochea,200,"San José (Estación, Necochea)",Coronel Suárez,-38.1751691,-59.005777,depto_transferencia_o_homonimo,verde,"Wikipedia (Estación San José, Roca)",https://es.wikipedia.org/wiki/Estaci%C3%B3n_San_Jos%C3%A9_(Roca),[3.3b manual_coord] guard=verde (coord en conjunto permitido)
A,aceptar,v6_p06,267,San Pedro,Santiago del Estero,Matará,175,"San Pedro (paraje, depto Juan Felipe Ibarra ex-Matará)",Capital,-28.31159,-62.25472,depto_transferencia_o_homonimo,verde,OpenStreetMap/Nominatim,https://nominatim.openstreetmap.org/search?q=San+Pedro+Juan+Felipe+Ibarra+Santiago+del+Estero+Argentina&format=json,[3.3b manual_coord] guard=verde (coord en conjunto permitido)
A,aceptar,v3_p02,871,Arroyo Dulce,Buenos Aires,Pergamino,147,Arroyo Dulce,Salto,-34.102433,-60.406155,depto_transferencia_o_homonimo,rojo,Georef + Wikipedia,https://es.wikipedia.org/wiki/Arroyo_Dulce,"[3.3b transferencia_limite_declarado] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
A,aceptar,v3_p17,873,Pasteur,Buenos Aires,General Pinto,147,Pasteur,Lincoln,-35.14129,-62.24397,depto_transferencia_o_homonimo,rojo,Georef + Wikipedia,https://es.wikipedia.org/wiki/Pasteur_(Buenos_Aires),"[3.3b transferencia_limite_declarado] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
A,aceptar,v7_p10,413,Santa Victoria,Salta,Rivadavia,126,Santa Victoria Este,Santa Victoria,-22.27273,-62.71258,depto_transferencia_o_homonimo,verde,Wikipedia + Georef,https://es.wikipedia.org/wiki/Santa_Victoria_Este,[3.3b rename] guard=verde (coord en conjunto permitido)
A,aceptar,v3_p03,909,Calderón,Buenos Aires,Bahía Blanca,105,Calderón,Coronel de Marina Leonardo Rosales,-38.722079,-62.056792,depto_transferencia_o_homonimo,rojo,Wikipedia + Georef (candidato),https://es.wikipedia.org/wiki/Calder%C3%B3n_(Buenos_Aires),"[3.3b transferencia_limite_declarado] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
B,,v3_p09,13,General Sarmiento,Buenos Aires,General Sarmiento,167160,San Miguel,,-34.5438144507937,-58.712723882421,cabecera_documentada,verde,web+georef,https://es.wikipedia.org/wiki/Partido_de_General_Sarmiento,el censo 1960 listo la cabecera con el nombre del depto. f(1)=total del partido. Partido DISUELTO 1994 -> San Miguel + Jose C. Paz + Malvinas Argentinas; no existe localidad 'General Sarmiento'. San Miguel fue la cabecera toda la vida del partido. DECISION de Jose: 1 punto en San Miguel (la poblacion 1960 estaba repartida sobre los 3)
B,,v4_p08,34,Jobson,Santa Fe,Vera,9754,Vera,,-29.4667,-60.2167,web_rename,verde,Wikipedia,https://es.wikipedia.org/wiki/Vera_(Santa_Fe),[guard=verde; punto en Vera] Jobson fue uno de los nombres previos de la actual ciudad de Vera (La Curva/Jobson/Jobson Vera/Gobernador Vera/Vera). Po
B,,v7_p04,19,General Martín Miguel de Güemes,Salta,General Martín Miguel de Güemes,8748,General Güemes,,-24.6744252131537,-65.0466832189438,cabecera_documentada,verde,web+georef,https://es.wikipedia.org/wiki/Departamento_General_G%C3%BCemes_(Salta),el censo 1960 listo la cabecera con el nombre del depto. cabecera (mismo nombre que el depto; 'Martin Miguel de' es la forma ceremonial)
B,,v8_p05,21,Villa Krause,San Juan,Rawson,7311,Villa Krause (cabecera del depto Rawson),,-31.5811,-68.5428,web_manual_coord,verde,Wikipedia,https://es.wikipedia.org/wiki/Departamento_Rawson_(San_Juan),"[guard=verde; punto en Rawson] Villa Krause es la ciudad cabecera del depto Rawson, hoy conurbada al Gran San Juan; conserva su nombre"
B,,v7_p11,20,Villa Alberdi,Tucumán,Río Chico,7266,Juan Bautista Alberdi,,-27.5861,-65.6197,web_rename,verde,Wikipedia,https://es.wikipedia.org/wiki/Juan_Bautista_Alberdi_(Tucum%C3%A1n),"[guard=verde; punto en Juan Bautista Alberdi] Ciudad denominada originalmente Villa Alberdi; hoy Juan Bautista Alberdi, cabecera del depto homonimo (depto 1960 Rio Ch"
B,,v3_p09,81,General Viamonte,Buenos Aires,General Viamonte,7174,Los Toldos,,-35.0002289478671,-61.0383489252287,cabecera_documentada,verde,web+georef,https://es.wikipedia.org/wiki/Partido_de_General_Viamonte,el censo 1960 listo la cabecera con el nombre del depto. cabecera
B,,v8_p01,22,Albardón,San Juan,Albardón,6985,Villa General San Martín - Campo Afuera,,-31.4396422437255,-68.5205567477965,cabecera_documentada,verde,web+georef,https://es.wikipedia.org/wiki/Departamento_Albard%C3%B3n,el censo 1960 listo la cabecera con el nombre del depto. cabecera = Villa General San Martin (NO existe pueblo 'Albardon'); Georef la lista con el nombre compuesto 'Villa General San Martin - Campo Afuera'
B,,v4_p19,48,Villa Diego,Santa Fe,Rosario,6852,Villa Diego (barrio/localidad de Villa Gobernador Gálvez),,-33.0231,-60.6252,web_barrio,verde,Wikipedia (Estación Villa Diego),https://es.wikipedia.org/wiki/Estaci%C3%B3n_Villa_Diego,"[guard=verde; punto en Rosario] Villa Diego es hoy parte de Villa Gobernador Gálvez, depto Rosario; coordenada de la estación homónima."
B,,v4_p14,56,Pueblo Nuevo,Santa Fe,Rosario,6321,Pueblo Nuevo (barrio de Villa Gobernador Gálvez),,-33.0236,-60.6353,web_barrio,verde,Wikipedia (Villa Gobernador Gálvez),https://es.wikipedia.org/wiki/Villa_Gobernador_G%C3%A1lvez,"[guard=verde; punto en Rosario] Barrio industrial surgido junto al Frigorífico Swift; hoy parte de Villa Gobernador Gálvez, depto Rosario. Coordenada ="
B,,v3_p01,89,Adolfo Alsina,Buenos Aires,Adolfo Alsina,6183,Carhué,,-37.179441526348,-62.760041120204,cabecera_documentada,verde,web+georef,https://es.wikipedia.org/wiki/Partido_de_Adolfo_Alsina,el censo 1960 listo la cabecera con el nombre del depto. cabecera
B,,v3_p18,100,Rivadavia,Buenos Aires,Rivadavia,5315,América,,-35.4891109711641,-62.9757109723008,cabecera_documentada,verde,web+georef,https://es.wikipedia.org/wiki/Partido_de_Rivadavia,el censo 1960 listo la cabecera con el nombre del depto. cabecera
B,,v4_p08,92,Humberto 1º,Santa Fe,Castellanos,4453,Humberto Primo,,-30.8683,-61.3481,web_rename,verde,wikipedia,https://en.wikipedia.org/wiki/Humberto_Primo,"[guard=verde; punto en Castellanos] Humberto 1º = Humberto Primo, comuna del depto Castellanos, Santa Fe. Coincide depto."
B,,v8_p01,30,Bermejito,San Juan,Santa Lucía,4403,Bermejito,,-31.5122,-68.5031,web_manual_coord,verde,osm,"https://nominatim.openstreetmap.org/search?q=Bermejito,+Santa+Lucia,+San+Juan,+Argentina",[guard=verde; punto en Santa Lucía] Barrio/aldea Bermejito en depto Santa Lucía (San Juan). NO es el homónimo Bermejo/Caucete de la pista.
B,,v3_p11,113,José M. Blanco,Buenos Aires,Pellegrini,4251,Tres Lomas (ex Colonia/estación José M. Blanco),,-36.4582,-62.8756,web_manual_coord,verde,OSM Nominatim; treslomas.gob.ar,https://www.treslomas.gob.ar/?q=historia,[guard=verde; punto en Tres Lomas] No existe localidad moderna 'José M. Blanco'. José María Blanco fue el terrateniente que fundó la Colonia Blanco y cedió
B,,v8_p01,37,Colonia Alvear Oeste,Mendoza,General Alvear,3665,Colonia Alvear Oeste,,-35.0,-67.6667,web_manual_coord,verde,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=&id=31783,"[guard=verde; punto en General Alvear] Localidad/estación FC en el depto General Alvear, Mendoza"
B,,v3_p18,126,Puerto Belgrano,Buenos Aires,Coronel de Marina Leonardo Rosales,3607,Base Naval Puerto Belgrano (Punta Alta),,-38.8869,-62.0978,web_manual_coord,verde,Wikipedia,https://en.wikipedia.org/wiki/Port_Belgrano_Naval_Base,"[guard=verde; punto en Coronel de Marina Leonardo Rosales] Base naval junto a Punta Alta, partido Coronel de Marina L. Rosales"
B,,v4_p03,124,Cañada Verde,Córdoba,General Roca,3558,Villa Huidobro,,-34.8403,-64.5867,web_rename,verde,Wikipedia,https://es.wikipedia.org/wiki/Villa_Huidobro,"[guard=verde; punto en General Roca] Poblacion llamada Cañada Verde erigida en villa como Villa Huidobro en 1904; cabecera depto General Roca, Cordoba"
B,,v4_p04,127,Colonia Ella,Santa Fe,General Obligado,3498,Malabrigo,,-29.3486,-59.9694,web_rename,verde,Wikipedia (Malabrigo),https://es.wikipedia.org/wiki/Malabrigo_(Argentina),[guard=verde; punto en General Obligado] Colonia Ella fue renombrada Malabrigo por ley 5.700 en 1964; depto General Obligado.
B,,v7_p08,43,Pocitos,Salta,Gral. J. de San Martín,3438,Profesor Salvador Mazza,,-22.05,-63.7,web_rename,verde,Wikipedia (Salvador Mazza),https://es.wikipedia.org/wiki/Salvador_Mazza_(Salta),[guard=verde; punto en General José de San Martín] Pocitos renombrada Prof. Salvador Mazza en 1951; depto Gral José de San Martín. La pista Salar de Pocitos es un homónimo
B,,v7_p06,47,León Rouges,Tucumán,Monteros,3196,León Rougés,,-27.2158,-65.5333,web_rename,verde,gazetteer,https://www.mindat.org/feature-3846949.html,"[guard=verde; punto en Monteros] Localidad de León Rougés, depto Monteros, Tucuman. Coincide depto."
B,,v3_p11,147,Jáuregui,Buenos Aires,Luján,3113,José María Jáuregui (Villa Flandria),,-34.6000,-59.1670,web_rename,verde,wikipedia,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_J%C3%A1uregui,"[guard=verde; punto en Luján] Localidad de Luján, llamada Villa Flandria 1978-1990s; hoy José María Jáuregui."
B,,v4_p06,146,Empalme V. Constitución,Santa Fe,Constitución,3095,Empalme Villa Constitución,,-33.2611,-60.3806,web_manual_coord,verde,Wikipedia,https://es.wikipedia.org/wiki/Empalme_Villa_Constituci%C3%B3n-Barrio_Mitre,"[guard=verde; punto en Constitución] Comuna Empalme Villa Constitución, depto Constitución, a 5 km de Villa Constitución."
B,,v8_p05,41,Ullún,San Juan,Ullún,2896,Villa Ibáñez,Ullum,-31.4659385111811,-68.7353338028121,cabecera_documentada,verde,web+georef,https://es.wikipedia.org/wiki/Departamento_Ullum,el censo 1960 listo la cabecera con el nombre del depto. cabecera: NO existe pueblo 'Ullum'
B,,v3_p11,158,Juan B. Alberdi,Buenos Aires,Leandro N. Alem,2873,Juan Bautista Alberdi,,-34.4333,-61.8,web_manual_coord,verde,Wikipedia,https://es.wikipedia.org/wiki/Juan_Bautista_Alberdi_(Buenos_Aires),"[guard=verde; punto en Leandro N. Alem] Localidad del partido Leandro N. Alem, BA (km 340 RN7)"
