page,n_orden,localidad_1960,provincia,depto_1960,poblacion,candidato_probado,rationale,georef_nombre,georef_depto,georef_id,lat,lon,fuente,confianza
v8_p05,86,Villa 25 de Mayo,Mendoza,San Rafael,1460,25 de Mayo,prefijo: se quita 'Villa',25 de Mayo,San Rafael,50105220,-34.5837978477056,-68.544542912251,georef/localidades-censales,alta (match exacto en depto del conjunto)
v7_p05,106,Ingenio Lules,Tucumán,Famaillá,1427,Lules,prefijo: se quita 'Ingenio',Lules,Lules,90063050,-26.9221963785829,-65.3378074619515,georef/localidades-censales,alta (match exacto en depto del conjunto)
v4_p15,302,San Francisco de Sta. Fe,Santa Fe,General López,1414,San Francisco de Santa Fe,abreviatura: Sta.->Santa,San Francisco de Santa Fe,General López,82042240,-33.5884690989966,-62.1239801785483,georef/localidades-censales,alta (match exacto en depto del conjunto)
v5_p08,111,Villa Piedras Blancas,Entre Ríos,La Paz,1196,Piedras Blancas,prefijo: se quita 'Villa',Piedras Blancas,La Paz,30070050,-31.1850501541661,-59.9499597211808,georef/localidades-censales,alta (match exacto en depto del conjunto)
v5_p06,112,Puerto Panambí,Misiones,Oberá,1190,Panambí,prefijo: se quita 'Puerto',Panambí,Oberá,54091090,-27.7220950975831,-54.9146417031445,georef/localidades-censales,alta (match exacto en depto del conjunto)
v4_p04,425,Colonia la Tordilla,Córdoba,San Justo,950,la Tordilla,prefijo: se quita 'Colonia',La Tordilla,San Justo,14140250,-31.236549587976,-63.0610632727038,georef/localidades-censales,alta (match exacto en depto del conjunto)
v5_p07,134,Veinticinco de Mayo,Misiones,25 de Mayo,935,25 de Mayo,numero-palabra -> digito: Veinticinco->25,25 de Mayo,25 de Mayo,54119060,-27.3814747084572,-54.7453078816329,georef/localidades-censales,alta (match exacto en depto del conjunto)
v5_p02,143,Desvío Parada Pucheta,Corrientes,Paso de los Libres,912,Parada Pucheta,prefijo: se quita 'Desvío',Parada Pucheta,Paso de los Libres,18119020,-29.9060483262042,-57.5742039571964,georef/localidades-censales,alta (match exacto en depto del conjunto)
v5_p02,145,Colonia Caseros,Entre Ríos,Uruguay,885,Caseros,prefijo: se quita 'Colonia',Caseros,Uruguay,30098020,-32.4621264573722,-58.479409722348,georef/localidades-censales,alta (match exacto en depto del conjunto)
v8_p05,120,Villa San Carlos,Mendoza,San Carlos,809,San Carlos,prefijo: se quita 'Villa',San Carlos,San Carlos,50091060,-33.7721604874157,-69.0404291393231,georef/localidades-censales,alta (match exacto en depto del conjunto)
v5_p05,158,Nueve de Julio,Corrientes,San Roque,794,9 de Julio,numero-palabra -> digito: Nueve->9 [capa localidades],9 de Julio,San Roque,18161030,-28.8407771600765,-58.8300857171651,georef/localidades,media (match exacto pero en capa BAHRA)
v8_p03,126,Nueve de Julio,San Juan,Nueve de Julio,776,9 de Julio,numero-palabra -> digito: Nueve->9,9 de Julio,9 de Julio,70063040,-31.669750919971,-68.3900416378963,georef/localidades-censales,alta (match exacto en depto del conjunto)
v3_p05,410,Colonia 25 de Mayo,La Pampa,Puelén,709,25 de Mayo,prefijo: se quita 'Colonia',25 de Mayo,Puelén,42112020,-37.7700150466245,-67.7180795675134,georef/localidades-censales,alta (match exacto en depto del conjunto)
v9_1_2_p01,88,Colonia Catriel,Río Negro,General Roca,707,Catriel,prefijo: se quita 'Colonia',Catriel,General Roca,62042360,-37.8815288625891,-67.7945569701758,georef/localidades-censales,alta (match exacto en depto del conjunto)
v3_p06,439,Doce de Octubre,Buenos Aires,9 de Julio,654,12 de Octubre,numero-palabra -> digito: Doce->12,12 de Octubre,9 de Julio,06588030,-35.6077493091212,-60.9178174157348,georef/localidades-censales,alta (match exacto en depto del conjunto)
v6_p02,143,Estación Medellín,Santiago del Estero,Atamisqui,620,Medellín,prefijo: se quita 'Estacion',Medellí­n,Atamisqui,86021020,-28.6521076101805,-63.7856117440691,georef/localidades-censales,alta (match exacto en depto del conjunto)
v8_p05,136,Villa Santa Rosa,Mendoza,Santa Rosa,607,Santa Rosa,prefijo: se quita 'Villa',Santa Rosa,Santa Rosa,50112060,-33.254140449192,-68.1509034814364,georef/localidades-censales,alta (match exacto en depto del conjunto)
v5_p05,198,Manuel Belgrano (San Antonio),Misiones,General Belgrano,570,San Antonio,parentesis: se usa el contenido del parentesis,San Antonio,General Manuel Belgrano,54049050,-26.0600010394036,-53.7329662829351,georef/localidades-censales,alta (match exacto en depto del conjunto)
v7_p10,236,Siete de Abril,Tucumán,Burruyacú,565,7 de Abril,numero-palabra -> digito: Siete->7 [capa asentamientos],7 de Abril,Burruyacú,90007080,-26.2881894182337,-64.5013762644933,georef/asentamientos,media (match exacto pero en capa BAHRA)
v6_p02,171,Estación Los Tigres,Santiago del Estero,Copo,490,Los Tigres,prefijo: se quita 'Estacion',Los Tigres,Copo,86056040,-25.9079852740842,-62.5934246920695,georef/localidades-censales,alta (match exacto en depto del conjunto)
v3_p02,554,Balneario Claromecó,Buenos Aires,Tres Arroyos,459,Claromecó,prefijo: se quita 'Balneario',Claromecó,Tres Arroyos,06833020,-38.8574731904502,-60.0730577260656,georef/localidades-censales,alta (match exacto en depto del conjunto)
v5_p02,233,Colonia Carolina,Corrientes,Goya,416,Carolina,prefijo: se quita 'Colonia',Carolina,Goya,18070010,-29.1433295431663,-59.181029701103,georef/localidades-censales,alta (match exacto en depto del conjunto)
v5_p02,234,Colonia Hocker,Entre Ríos,Colón,410,Hocker,prefijo: se quita 'Colonia',Hocker,Colón,30008050,-32.0855250470155,-58.3417797262943,georef/localidades-censales,alta (match exacto en depto del conjunto)
v5_p05,244,Paraje San Isidro,Corrientes,Goya,384,San Isidro,prefijo: se quita 'Paraje',San Isidro,Goya,18070030,-29.498483161934,-59.3159091129083,georef/localidades-censales,alta (match exacto en depto del conjunto)
v3_p06,640,Dieciseis de Julio,Buenos Aires,Azul,354,16 de Julio,numero-palabra -> digito: Dieciseis->16,16 de Julio,Azul,06049050,-37.20009841127,-60.1644141143862,georef/localidades-censales,alta (match exacto en depto del conjunto)
v3_p05,679,Cuatro de Noviembre,Buenos Aires,Rojas,316,4 de Noviembre,numero-palabra -> digito: Cuatro->4 [capa asentamientos],4 de Noviembre,Rojas,06686A00,-34.1427196001106,-60.7824010074233,georef/asentamientos,media (match exacto pero en capa BAHRA)
v7_p08,380,Puerto La Paz,Salta,Rivadavia,198,La Paz,prefijo: se quita 'Puerto' [capa asentamientos],La Paz,Rivadavia,66133A50,-22.3837777595942,-62.5286776248469,georef/asentamientos,media (match exacto pero en capa BAHRA)
v3_p02,828,Balneario Mar de Ajó Norte,Buenos Aires,General Lavalle,187,Mar de Ajó Norte,prefijo: se quita 'Balneario' [capa localidades],Mar de Ajó Norte,La Costa,0642002004,-36.717111900525,-56.6770670772511,georef/localidades,media (match exacto pero en capa BAHRA)
v4_p06,759,Desvío las Mojarras,Córdoba,General San Martín,129,las Mojarras,prefijo: se quita 'Desvío',Las Mojarras,General San Martín,14042090,-32.3041496839947,-63.2329827815187,georef/localidades-censales,alta (match exacto en depto del conjunto)
