page,n_orden,localidad,provincia,depto_1960,poblacion,estado_flag,tier,propuesta,tipo_resolucion,georef_id,id_no_censal,nombre_oficial,lat,lon,fuente,fuente_url,confianza,nota
v7_p10,15,Tabacal,Salta,Orán,11346,flag_variante,A (aparcado),El Tabacal,confirmar_candidato_georef,66126030,,El Tabacal,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v4_p13,30,Posta de San Martín,Santa Fe,Rosario,10152,flag_sin_match,C5-sin_coordenada,,sin_coordenada,,,,,,,,,"[C5 web] Sin match confiable en Rosario; pob 10152 sugiere distrito/barrio de la ciudad de Rosario, no localizable como localidad puntual. No confund"
v8_p02,16,General Gutierrez,Mendoza,Maipú,10126,flag_bahra,A (aparcado),General Gutiérrez,confirmar_candidato_georef,5007006003,true,General Gutiérrez,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v4_p08,34,Jobson,Santa Fe,Vera,9754,flag_sin_match,C5-rename,Vera,rename,,,,-29.4667,-60.2167,Wikipedia,https://es.wikipedia.org/wiki/Vera_(Santa_Fe),verde (guard: coord en depto esperado),[guard=verde; punto en Vera] Jobson fue uno de los nombres previos de la actual ciudad de Vera (La Curva/Jobson/Jobson Vera/Gobernador Vera/Vera). Po
v8_p03,19,Palmira,Mendoza,San Martín,9645,flag_bahra,A (aparcado),Palmira,confirmar_candidato_georef,5009810001,true,Palmira,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v3_p12,64,Juárez,Buenos Aires,Juárez,9535,flag_variante,A (aparcado),Benito Juárez,confirmar_candidato_georef,06084020,,Benito Juárez,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v7_p04,19,General Martín Miguel de Güemes,Salta,General Martín Miguel de Güemes,8748,flag_sin_match,C1-cabecera,General Güemes,cabecera_del_depto,66049040,,General Güemes,-24.6744252131537,-65.0466832189438,web+georef,https://es.wikipedia.org/wiki/Departamento_General_G%C3%BCemes_(Salta),alta,el censo 1960 listo la cabecera con el nombre del depto. cabecera (mismo nombre que el depto; 'Martin Miguel de' es la forma ceremonial)
v3_p09,73,Gral. Alvarado (Miramar),Buenos Aires,General Alvarado,7782,flag_sin_match,C-generador,Miramar,confirmar_candidato_georef,06280040,,Miramar,-38.2704290017702,-57.8387822151677,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: 'Miramar' [parentesis: se usa el contenido del parentesis]
v3_p18,76,Quequén,Buenos Aires,Lobería,7589,flag_sin_match,C5-manual_coord,Quequén,manual_coord,,,,-38.5553,-58.7162,Wikipedia,https://es.wikipedia.org/wiki/Quequ%C3%A9n,REVISAR (rojo),"[guard=rojo; punto en Necochea] Localidad portuaria; perteneció al partido de Lobería hasta 1979, hoy en Necochea, partido limítrofe de Lobería"
v4_p14,43,Río Segundo,Córdoba,Río Segundo,7572,flag_bahra,A (aparcado),Río Segundo,confirmar_candidato_georef,14119190,true,Río Segundo,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v3_p10,79,Guernica,Buenos Aires,San Vicente,7423,flag_bahra,A (aparcado),Guernica,confirmar_candidato_georef,0664801002,true,Guernica,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v6_p04,12,Las Termas,Santiago del Estero,Río Hondo,7412,flag_variante,A (aparcado),Termas de Rí­o Hondo,confirmar_candidato_georef,86147130,,Termas de Rí­o Hondo,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v8_p05,21,Villa Krause,San Juan,Rawson,7311,flag_sin_match,C5-manual_coord,Villa Krause (cabecera del depto Rawson),manual_coord,,,,-31.5811,-68.5428,Wikipedia,https://es.wikipedia.org/wiki/Departamento_Rawson_(San_Juan),verde (guard: coord en depto esperado),"[guard=verde; punto en Rawson] Villa Krause es la ciudad cabecera del depto Rawson, hoy conurbada al Gran San Juan; conserva su nombre"
v7_p11,20,Villa Alberdi,Tucumán,Río Chico,7266,flag_sin_match,C5-rename,Juan Bautista Alberdi,rename,,,,-27.5861,-65.6197,Wikipedia,https://es.wikipedia.org/wiki/Juan_Bautista_Alberdi_(Tucum%C3%A1n),verde (guard: coord en depto esperado),"[guard=verde; punto en Juan Bautista Alberdi] Ciudad denominada originalmente Villa Alberdi; hoy Juan Bautista Alberdi, cabecera del depto homonimo (depto 1960 Rio Ch"
v3_p09,80,Gral. Juan Madariaga,Buenos Aires,General Juan Madariaga,7196,flag_variante,A (aparcado),General Juan Madariaga,confirmar_candidato_georef,06315010,,General Juan Madariaga,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v3_p09,81,General Viamonte,Buenos Aires,General Viamonte,7174,flag_sin_match,C1-cabecera,Los Toldos,cabecera_del_depto,06385030,,Los Toldos,-35.0002289478671,-61.0383489252287,web+georef,https://es.wikipedia.org/wiki/Partido_de_General_Viamonte,alta,el censo 1960 listo la cabecera con el nombre del depto. cabecera
v8_p01,22,Albardón,San Juan,Albardón,6985,flag_sin_match,C1-cabecera,Villa General San Martín - Campo Afuera,cabecera_del_depto,70007020,,Villa General San Martín - Campo Afuera,-31.4396422437255,-68.5205567477965,web+georef,https://es.wikipedia.org/wiki/Departamento_Albard%C3%B3n,alta,el censo 1960 listo la cabecera con el nombre del depto. cabecera = Villa General San Martin (NO existe pueblo 'Albardon'); Georef la lista con el nombre compuesto 'Villa General San Martin - Campo Afuera'
v8_p04,23,Rodeo de la Cruz,Mendoza,Guaymallén,6955,flag_bahra,A (aparcado),Rodeo de la Cruz,confirmar_candidato_georef,5002802011,true,Rodeo de la Cruz,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v8_p02,24,Jáchal,San Juan,Jáchal,6886,flag_variante,A (aparcado),San José de Jáchal,confirmar_candidato_georef,70056080,,San José de Jáchal,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v7_p08,22,Pueblo Ledesma,Jujuy,Ledesma,6871,flag_bahra,A (aparcado),Pueblo Ledesma,confirmar_candidato_georef,3803508002,true,Pueblo Ledesma,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v4_p19,48,Villa Diego,Santa Fe,Rosario,6852,flag_sin_match,C5-barrio_de,Villa Diego (barrio/localidad de Villa Gobernador Gálvez),barrio_de,,,,-33.0231,-60.6252,Wikipedia (Estación Villa Diego),https://es.wikipedia.org/wiki/Estaci%C3%B3n_Villa_Diego,verde (guard: coord en depto esperado),"[guard=verde; punto en Rosario] Villa Diego es hoy parte de Villa Gobernador Gálvez, depto Rosario; coordenada de la estación homónima."
v7_p02,23,Bella Vista,Tucumán,Famaillá,6816,flag_depto,B,,transferencia_vs_homonimo,,,,,,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,media,dist_km=46 -> transferencia de limite plausible (adyacente). candidatos: Bella Vista/Leales [90056010]
v7_p11,24,Vespucio,Salta,Gral. J. de San Martín,6809,flag_variante_bahra,E-bahra-fuzzy,Campamento Vespucio,confirmar_o_rechazar_candidato,,,,,,georef/asentamientos,https://apis.datos.gob.ar/georef/api,BAJA (fuzzy en capa BAHRA: puede no ser el mismo lugar),antes era sin_match. candidatos: Campamento Vespucio/General José de San Martín [66056020]
v3_p07,86,Empalme San Vicente,Buenos Aires,San Vicente,6459,flag_sin_match,C-generador,San Vicente,confirmar_candidato_georef,06778020,,San Vicente,-35.0240394387399,-58.4205914420453,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: 'San Vicente' [prefijo: se quita 'Empalme']
v3_p09,87,Garín,Buenos Aires,Escobar,6341,flag_bahra,A (aparcado),Garín,confirmar_candidato_georef,0625201003,true,Garín,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v4_p14,56,Pueblo Nuevo,Santa Fe,Rosario,6321,flag_sin_match,C5-barrio_de,Pueblo Nuevo (barrio de Villa Gobernador Gálvez),barrio_de,,,,-33.0236,-60.6353,Wikipedia (Villa Gobernador Gálvez),https://es.wikipedia.org/wiki/Villa_Gobernador_G%C3%A1lvez,verde (guard: coord en depto esperado),"[guard=verde; punto en Rosario] Barrio industrial surgido junto al Frigorífico Swift; hoy parte de Villa Gobernador Gálvez, depto Rosario. Coordenada = "
v3_p01,89,Adolfo Alsina,Buenos Aires,Adolfo Alsina,6183,flag_sin_match,C1-cabecera,Carhué,cabecera_del_depto,06007010,,Carhué,-37.179441526348,-62.760041120204,web+georef,https://es.wikipedia.org/wiki/Partido_de_Adolfo_Alsina,alta,el censo 1960 listo la cabecera con el nombre del depto. cabecera
v4_p17,57,Santa Teresa,Santa Fe,Iriondo,6103,flag_depto,B,,transferencia_vs_homonimo,,,,,,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,media,dist_km=96 -> zona gris. candidatos: Santa Teresa/Constitución [82028190]
v3_p11,91,Ingeniero White,Buenos Aires,Bahía Blanca,6089,flag_bahra,A (aparcado),Ingeniero White,confirmar_candidato_georef,0605601003,true,Ingeniero White,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v4_p05,60,Corral de Bustos,Córdoba,Marcos Juárez,5986,flag_bahra,A (aparcado),Corral de Bustos,confirmar_candidato_georef,14063090,true,Corral de Bustos,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v3_p10,93,González Chaves,Buenos Aires,González Chaves,5774,flag_variante,A (aparcado),Adolfo Gonzales Chaves,confirmar_candidato_georef,06014010,,Adolfo Gonzales Chaves,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v9_1_2_p04,16,Puerto Madryn,Chubut,Chubut,5586,flag_sin_match,C5-pendiente,,,,,,,,,,,investigacion web/imagen PENDIENTE (sin pista)
v6_p03,14,Gral. José de San Martín,Chaco,Lib. Gral. San Martín,5390,flag_variante,A (aparcado),General José de San Martín,confirmar_candidato_georef,22084020,,General José de San Martín,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v4_p18,72,Teodolina,Santa Fe,General López,5317,flag_variante,A (aparcado),Teodelina,confirmar_candidato_georef,82042280,,Teodelina,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v3_p18,100,Rivadavia,Buenos Aires,Rivadavia,5315,flag_sin_match,C1-cabecera,América,cabecera_del_depto,06679040,,América,-35.4891109711641,-62.9757109723008,web+georef,https://es.wikipedia.org/wiki/Partido_de_Rivadavia,alta,el censo 1960 listo la cabecera con el nombre del depto. cabecera
v5_p08,29,Villa Federal,Entre Ríos,Concordia,5256,flag_sin_match,C-generador,Federal,confirmar_candidato_georef,30035030,,Federal,-30.9562272249038,-58.7796219319481,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: 'Federal' [prefijo: se quita 'Villa']
v4_p12,75,Moldes,Córdoba,Río Cuarto,5230,flag_variante,A (aparcado),Coronel Moldes,confirmar_candidato_georef,14098100,,Coronel Moldes,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v3_p07,102,Empalme Lobos,Buenos Aires,Lobos,5170,flag_sin_match,C-generador,Lobos,confirmar_candidato_georef,06483040,,Lobos,-35.1855001355473,-59.0925986919386,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: 'Lobos' [prefijo: se quita 'Empalme']
v3_p09,103,General Lamadrid,Buenos Aires,General Lamadrid,5161,flag_variante,A (aparcado),General La Madrid,confirmar_candidato_georef,06322010,,General La Madrid,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v7_p05,30,Ingenio La Esperanza,Jujuy,San Pedro,5076,flag_sin_match,C-generador,La Esperanza,confirmar_candidato_georef,38063070,,La Esperanza,-24.2246609288053,-64.8380090421522,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: 'La Esperanza' [prefijo: se quita 'Ingenio']
v3_p18,104,Presidente Derqui,Buenos Aires,Pilar,5068,flag_bahra,A (aparcado),Presidente Derqui,confirmar_candidato_georef,0663804009,true,Presidente Derqui,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v7_p06,31,Lib. Gral. San Martín,Jujuy,Ledesma,5051,flag_sin_match,C-generador,Libertador General San Martín,confirmar_candidato_georef,38035080,,Libertador General San Martín,-23.8147964129635,-64.7931158335435,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),"candidato probado: 'Libertador General San Martín' [abreviatura: Lib.->Libertador, Gral.->General]"
v3_p06,108,Darragueira,Buenos Aires,Puán,4981,flag_variante,A (aparcado),Darregueira,confirmar_candidato_georef,06651030,,Darregueira,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v8_p05,27,Villa Malargüe,Mendoza,Malargüe,4523,flag_sin_match,C-generador,Malargüe,confirmar_candidato_georef,50077040,,Malargüe,-35.4761492032467,-69.5802312483587,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: 'Malargüe' [prefijo: se quita 'Villa']
v7_p11,33,Yerba Buena,Tucumán,Tafí,4519,flag_depto,B,,transferencia_vs_homonimo,,,,,,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,media,dist_km=12 -> transferencia de limite plausible (adyacente). candidatos: Yerba Buena/Lules [90063090]
v4_p08,92,Humberto 1º,Santa Fe,Castellanos,4453,flag_sin_match,C5-rename,Humberto Primo,rename,,,,-30.8683,-61.3481,wikipedia,https://en.wikipedia.org/wiki/Humberto_Primo,verde (guard: coord en depto esperado),"[guard=verde; punto en Castellanos] Humberto 1º = Humberto Primo, comuna del depto Castellanos, Santa Fe. Coincide depto."
v8_p03,28,Mayor Drummond,Mendoza,Luján,4422,flag_bahra,A (aparcado),Mayor Drummond,confirmar_candidato_georef,5006309005,true,Mayor Drummond,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v8_p03,29,Luján,Mendoza,Luján,4418,flag_variante,A (aparcado),Luján de Cuyo,confirmar_candidato_georef,50063090,,Luján de Cuyo,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v8_p01,30,Bermejito,San Juan,Santa Lucía,4403,flag_sin_match,C5-manual_coord,Bermejito,manual_coord,,,,-31.5122,-68.5031,osm,"https://nominatim.openstreetmap.org/search?q=Bermejito,+Santa+Lucia,+San+Juan,+Argentina",verde (guard: coord en depto esperado),[guard=verde; punto en Santa Lucía] Barrio/aldea Bermejito en depto Santa Lucía (San Juan). NO es el homónimo Bermejo/Caucete de la pista.
v3_p11,113,José M. Blanco,Buenos Aires,Pellegrini,4251,flag_sin_match,C5-manual_coord,Tres Lomas (ex Colonia/estación José M. Blanco),manual_coord,,,,-36.4582,-62.8756,OSM Nominatim; treslomas.gob.ar,https://www.treslomas.gob.ar/?q=historia,verde (guard: coord en depto esperado),[guard=verde; punto en Tres Lomas] No existe localidad moderna 'José M. Blanco'. José María Blanco fue el terrateniente que fundó la Colonia Blanco y cedió
v3_p05,114,Conhello,La Pampa,Conhello,4248,flag_variante,A (aparcado),Conhelo,confirmar_candidato_georef,42035010,,Conhelo,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v3_p01,116,Ameghino,Buenos Aires,General Pinto,4154,flag_variante,A (aparcado),Florentino Ameghino,confirmar_candidato_georef,06277020,,Florentino Ameghino,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v6_p01,23,Castelli,Chaco,General Güemes,4131,flag_variante,A (aparcado),Juan José Castelli,confirmar_candidato_georef,22063060,,Juan José Castelli,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v8_p01,32,Chacras de Coria,Mendoza,Luján,4109,flag_bahra,A (aparcado),Chacras de Coria,confirmar_candidato_georef,5006309002,true,Chacras de Coria,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v4_p14,104,Puerto San Martín,Santa Fe,San Lorenzo,4065,flag_variante,A (aparcado),Puerto General San Martín,confirmar_candidato_georef,82119080,,Puerto General San Martín,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v3_p05,117,Cte. Nicanor Otamendi,Buenos Aires,General Alvarado,4046,flag_sin_match,C-generador,Comandante Nicanor Otamendi,confirmar_candidato_georef,06280010,,Comandante Nicanor Otamendi,-38.1104895688634,-57.8412127291463,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: 'Comandante Nicanor Otamendi' [abreviatura: Cte.->Comandante]
v3_p11,118,Ingeniero Maschwitz,Buenos Aires,Escobar,4029,flag_bahra,A (aparcado),Ingeniero Maschwitz,confirmar_candidato_georef,0625201004,true,Ingeniero Maschwitz,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v7_p06,39,Lastenia,Tucumán,Cruz Alta,3851,flag_bahra,A (aparcado),Lastenia,confirmar_candidato_georef,9001402003,true,Lastenia,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v8_p05,35,Villa Tupungato,Mendoza,Tupungato,3716,flag_sin_match,C-generador,Tupungato,confirmar_candidato_georef,50126060,,Tupungato,-33.3638714972518,-69.1436948968176,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: 'Tupungato' [prefijo: se quita 'Villa']
v8_p03,36,Las Casuarinas,San Juan,Veinticinco de Mayo,3691,flag_bahra,A (aparcado),Las Casuarinas,confirmar_candidato_georef,70126A06,,Las Casuarinas,,,georef/asentamientos,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v8_p01,37,Colonia Alvear Oeste,Mendoza,General Alvear,3665,flag_sin_match,C5-manual_coord,Colonia Alvear Oeste,manual_coord,,,,-35.0,-67.6667,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=&id=31783,verde (guard: coord en depto esperado),"[guard=verde; punto en General Alvear] Localidad/estación FC en el depto General Alvear, Mendoza"
v9_1_2_p04,24,San Julián,Santa Cruz,Magallanes,3649,flag_variante,A (aparcado),Puerto San Julián,confirmar_candidato_georef,78042010,,Puerto San Julián,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v3_p18,126,Puerto Belgrano,Buenos Aires,Coronel de Marina Leonardo Rosales,3607,flag_sin_match,C5-manual_coord,Base Naval Puerto Belgrano (Punta Alta),manual_coord,,,,-38.8869,-62.0978,Wikipedia,https://en.wikipedia.org/wiki/Port_Belgrano_Naval_Base,verde (guard: coord en depto esperado),"[guard=verde; punto en Coronel de Marina Leonardo Rosales] Base naval junto a Punta Alta, partido Coronel de Marina L. Rosales"
v4_p03,124,Cañada Verde,Córdoba,General Roca,3558,flag_sin_match,C5-rename,Villa Huidobro,rename,,,,-34.8403,-64.5867,Wikipedia,https://es.wikipedia.org/wiki/Villa_Huidobro,verde (guard: coord en depto esperado),"[guard=verde; punto en General Roca] Poblacion llamada Cañada Verde erigida en villa como Villa Huidobro en 1904; cabecera depto General Roca, Cordoba"
v9_1_2_p05,26,Yacimiento Río Turbio,Santa Cruz,Güer Aike,3506,flag_variante,A (aparcado),Yacimientos Río Turbio,confirmar_candidato_georef,78021070,,Yacimientos Río Turbio,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v4_p04,127,Colonia Ella,Santa Fe,General Obligado,3498,flag_sin_match,C5-rename,Malabrigo,rename,,,,-29.3486,-59.9694,Wikipedia (Malabrigo),https://es.wikipedia.org/wiki/Malabrigo_(Argentina),verde (guard: coord en depto esperado),[guard=verde; punto en General Obligado] Colonia Ella fue renombrada Malabrigo por ley 5.700 en 1964; depto General Obligado.
v7_p08,43,Pocitos,Salta,Gral. J. de San Martín,3438,flag_sin_match,C5-rename,Profesor Salvador Mazza,rename,,,,-22.05,-63.7,Wikipedia (Salvador Mazza),https://es.wikipedia.org/wiki/Salvador_Mazza_(Salta),verde (guard: coord en depto esperado),[guard=verde; punto en General José de San Martín] Pocitos renombrada Prof. Salvador Mazza en 1951; depto Gral José de San Martín. La pista Salar de Pocitos es un homónimo
