page,n_orden,localidad_1960,provincia,depto_1960,poblacion,estado_flag_previo,criterio_deteccion,depto_moderno_esperado,candidato_georef_id,candidato_georef_nombre,candidato_georef_depto,dist_km,cand_lat,cand_lon,verificado_geo_previo,propuesta_previa,fuente_previa,fuente_url_previa,nota_previa
v7_p09,114,San Antonio,Catamarca,Fray Mamerto Esquiú,1312,flag_depto,depto_transferencia_o_homonimo,Fray Mamerto Esquiú,10070150,San Antonio,La Paz,129,-28.9331053161662,-65.0949655869377,rojo,San Antonio,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=129. dist_km=129 -> zona gris. candidatos: San Antonio/La Paz [10070150]; San Antonio/Paclín [10077100]
v5_p02,114,Dos de Mayo,Misiones,Lib. Gral. San Martín,1165,flag_depto,depto_transferencia_o_homonimo,Libertador General San Martín,54014030,Dos de Mayo,Cainguás,31,-27.0205393332885,-54.6877327006159,rojo,Dos de Mayo,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=31. dist_km=31 -> transferencia de limite plausible (adyacente). candidatos: Dos de Mayo/Cainguás [54014030]
v5_p03,117,Gobernador Racedo,Entre Ríos,Paraná,1147,flag_depto,depto_transferencia_o_homonimo,Paraná,30021110,Gobernador Racedo,Diamante,75,-31.9840164487261,-60.4083912285494,rojo,Gobernador Racedo,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=75. dist_km=75 -> zona gris. candidatos: Gobernador Racedo/Diamante [30021110]
v8_p02,109,Divisoria,San Juan,Veinticinco de Mayo,1090,flag_depto,depto_transferencia_o_homonimo,25 de Mayo,70035025,Divisoria,Caucete,60,-31.7037717576509,-68.2851573396025,rojo,Divisoria,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=60. dist_km=60 -> zona gris. candidatos: Divisoria/Caucete [70035025]
v4_p07,419,Golondrina,Santa Fe,General Obligado,966,flag_depto,depto_transferencia_o_homonimo,General Obligado,82133060,Golondrina,Vera,93,-28.5565401390625,-60.0227099122084,rojo,Golondrina,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=93. dist_km=93 -> zona gris. candidatos: Golondrina/Vera [82133060]
v5_p01,136,Aranguren,Entre Ríos,Victoria,932,flag_sin_match,web_rename,Victoria,,,,,,,rojo,Villa Aranguren,wikipedia,https://es.wikipedia.org/wiki/Villa_Aranguren,"[guard=rojo; punto en Nogoyá] Aranguren = Villa Aranguren. Wikipedia la ubica en depto Nogoya (limitrofe con Victoria, depto_1960); coincide con pista"
v3_p22,349,Villars,Buenos Aires,Marcos Paz,915,flag_depto,depto_transferencia_o_homonimo,Marcos Paz,06329040,Villars,General Las Heras,17,-34.8260113108452,-58.9390543050322,rojo,Villars,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=17. dist_km=17 -> transferencia de limite plausible (adyacente). candidatos: Villars/General Las Heras [06329040]
v7_p07,155,Manantial,Tucumán,Tafí,911,flag_sin_match,web_manual_coord,Tafí del Valle | Tafí Viejo | Yerba Buena,,,,,,,rojo,El Manantial,Wikipedia,https://es.wikipedia.org/wiki/El_Manantial_(Tucum%C3%A1n),"[guard=rojo; punto en Lules] El Manantial, hoy en depto Lules (surgido del antiguo depto Tafi), conurbado y lindante con Yerba Buena (depto moderno l"
v4_p10,491,Los Amores,Santa Fe,General Obligado,736,flag_depto,depto_transferencia_o_homonimo,General Obligado,82133100,Los Amores,Vera,93,-28.101974638015,-59.9798967685469,rojo,Los Amores,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=93. dist_km=93 -> zona gris. candidatos: Los Amores/Vera [82133100]
v3_p12,418,Juan J. Almeyra,Buenos Aires,Navarro,696,flag_sin_match,web_rename,Navarro,,,,,,,rojo,José Juan Almeyra,Wikipedia / citypopulation,https://en.wikipedia.org/wiki/Jos%C3%A9_Juan_Almeyra,[guard=rojo; punto en Suipacha] Grafía moderna José Juan Almeyra (J.J. Almeyra); partido de Navarro.
v4_p04,505,Colonia Santa María,Córdoba,Unión,694,flag_depto,depto_transferencia_o_homonimo,Unión,14140130,Colonia Santa Marí­a,San Justo,184,-31.6070894174563,-62.428130574385,rojo,Colonia Santa Marí­a,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=184. dist_km=184 -> homonimo probable (lejano). candidatos: Colonia Santa Marí­a/San Justo [14140130]
v7_p07,199,Manuel García Fernández,Tucumán,Famaillá,681,flag_depto,depto_transferencia_o_homonimo,Famaillá | Lules | Yerba Buena,90056040,Manuel García Fernández,Leales,46,-26.9557033913379,-65.272073063004,rojo,Manuel García Fernández,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=46. dist_km=46 -> transferencia de limite plausible (adyacente). candidatos: Manuel García Fernández/Leales [90056040]
v4_p11,513,Margarita,Santa Fe,Castellanos,680,flag_depto,depto_transferencia_o_homonimo,Castellanos,82133110,Margarita,Vera,278,-29.6924916166747,-60.2522187814538,rojo,Margarita,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=278. dist_km=278 -> homonimo probable (lejano). candidatos: Margarita/Vera [82133110]
v4_p16,519,San José,Córdoba,Tulumba,673,flag_depto,depto_transferencia_o_homonimo,Tulumba,14133180,San Jose,San Javier,241,-31.9564439884346,-65.3118349336983,rojo,San Jose,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=241. dist_km=241 -> homonimo probable (lejano). candidatos: San Jose/San Javier [14133180]
v4_p01,524,Ana Zumarán,Córdoba,General San Martín,657,flag_depto,depto_transferencia_o_homonimo,General San Martín,14182030,Ana Zumarán,Unión,59,-32.3905234084175,-63.0573516361528,rojo,Ana Zumarán,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=59. dist_km=59 -> transferencia de limite plausible (adyacente). candidatos: Ana Zumarán/Unión [14182030]
v3_p17,455,Pavón,Buenos Aires,Exaltación de la Cruz,627,flag_depto,depto_transferencia_o_homonimo,Exaltación de la Cruz,06336020,Pavón,General Lavalle,330,-36.7126437415557,-56.7393834853609,rojo,Pavón,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=330. dist_km=330 -> homonimo probable (lejano). candidatos: Pavón/General Lavalle [06336020]
v5_p07,194,Tabay,Corrientes,Concepción,588,flag_ambiguo,ambiguo,Concepción,18028030,Tabay,Concepción,,-28.3059555967353,-58.2849376179277,revisar_ambiguo,Tabay,georef,https://apis.datos.gob.ar/georef/api,candidatos: Tabay/Concepción [18028030]; Tabay/Concepción [18028031]
v4_p07,572,Garabato,Santa Fe,General Obligado,525,flag_depto,depto_transferencia_o_homonimo,General Obligado,82133050,Garabato,Vera,93,-28.9543265637812,-60.1353434208832,rojo,Garabato,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=93. dist_km=93 -> zona gris. candidatos: Garabato/Vera [82133050]
v4_p18,578,Tartagal,Santa Fe,General Obligado,514,flag_depto,depto_transferencia_o_homonimo,General Obligado,82133150,Tartagal,Vera,93,-28.6708606690057,-59.8482831012239,rojo,Tartagal,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=93. dist_km=93 -> zona gris. candidatos: Tartagal/Vera [82133150]
v4_p08,601,Intiyaco,Santa Fe,General Obligado,479,flag_depto,depto_transferencia_o_homonimo,General Obligado,82133070,Intiyaco,Vera,93,-28.6748075495426,-60.0708307534981,rojo,Intiyaco,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=93. dist_km=93 -> zona gris. candidatos: Intiyaco/Vera [82133070]
v7_p09,266,San José,Catamarca,Tinogasta,477,flag_depto,depto_transferencia_o_homonimo,Tinogasta,10063040,San José,Fray Mamerto Esquiú,233,-28.4201081680484,-65.708383858994,rojo,San José,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=233. dist_km=233 -> homonimo probable (lejano). candidatos: San José/Fray Mamerto Esquiú [10063040]; San José/Santa María [1009114
v3_p08,558,Enrique Lavalle,Buenos Aires,Hipólito Yrigoyen,457,flag_sin_match,web_manual_coord,Hipólito Yrigoyen,,,,,,,rojo,Enrique Lavalle,Wikipedia,https://es.wikipedia.org/wiki/Enrique_Lavalle,"[guard=rojo; punto en Daireaux] Paraje con Estacion Enrique Lavalle (FC Midland); hoy en partido Daireaux, sobre el limite con el partido Hipolito Yrigo"
v4_p12,621,Monte Cristo,Córdoba,Río Primero,439,flag_sin_match,web_manual_coord,Río Primero,,,,,,,rojo,Monte Cristo,wikipedia,https://es.wikipedia.org/wiki/Monte_Cristo,"[guard=rojo; punto en Colón] Localidad de depto Río Primero (Córdoba), a 25 km de la capital, sobre RN19."
v4_p14,622,Punta del Agua,Córdoba,Río Primero,437,flag_depto,depto_transferencia_o_homonimo,Río Primero,14161140,Punta del Agua,Tercero Arriba,143,-32.5758007655905,-63.8101614402788,rojo,Punta del Agua,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=143. dist_km=143 -> zona gris. candidatos: Punta del Agua/Tercero Arriba [14161140]
v4_p10,628,Las Tapias,Córdoba,Río Cuarto,424,flag_depto,depto_transferencia_o_homonimo,Río Cuarto,14133100,Las Tapias,San Javier,152,-31.9523945531724,-65.09827466239,rojo,Las Tapias,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=152. dist_km=152 -> homonimo probable (lejano). candidatos: Las Tapias/San Javier [14133100]
v4_p14,631,Punta de Agua,Córdoba,Río Cuarto,421,flag_depto,depto_transferencia_o_homonimo,Río Cuarto,14105235,Punta de Agua,Río Primero,274,-31.0509220295121,-63.7010702908377,rojo,Punta de Agua,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=274. dist_km=274 -> homonimo probable (lejano). candidatos: Punta de Agua/Río Primero [14105235]
v6_p06,194,Santo Domingo,Santiago del Estero,Ojo de Agua,410,flag_depto,depto_transferencia_o_homonimo,Ojo de Agua,86133060,Santo Domingo,Pellegrini,343,-26.2154783161616,-63.7795634199819,rojo,Santo Domingo,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=343. dist_km=343 -> homonimo probable (lejano). candidatos: Santo Domingo/Pellegrini [86133060]
v5_p06,251,San Antonio,Corrientes,Paso de los Libres,350,flag_depto,depto_transferencia_o_homonimo,Paso de los Libres,18084030,San Antonio,Ituzaingó,194,-27.5081806789089,-56.7451431635408,rojo,San Antonio,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=194. dist_km=194 -> homonimo probable (lejano). candidatos: San Antonio/Ituzaingó [18084030]
v4_p18,658,Tinoco,Córdoba,Río Primero,344,flag_depto,depto_transferencia_o_homonimo,Río Primero,14021270,Tinoco,Colón,69,-31.1244691036095,-63.8918311201837,rojo,Tinoco,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=69. dist_km=69 -> zona gris. candidatos: Tinoco/Colón [14021270]
v3_p07,652,Energía,Buenos Aires,San Cayetano,343,flag_depto,depto_transferencia_o_homonimo,San Cayetano,06581030,Energí­a,Necochea,39,-38.5579154668085,-59.3410770445179,rojo,Energí­a,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=39. dist_km=39 -> transferencia de limite plausible (adyacente). candidatos: Energí­a/Necochea [06581030]
v3_p23,709,Vuelta de Obligado,Buenos Aires,San Pedro,283,flag_sin_match,web_rename,San Pedro,,,,,,,rojo,Obligado,Wikipedia,https://es.wikipedia.org/wiki/Obligado_(Buenos_Aires),"[guard=rojo; punto en Ramallo] Localidad de Obligado (Vuelta de Obligado) a orillas del Paraná, partido de San Pedro."
v5_p05,291,Miñones,Entre Ríos,Federación,204,flag_sin_match,web_manual_coord,Federación,,,,,,,rojo,Estación Miñones,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Mi%C3%B1ones,"[guard=rojo; punto en Federal] Paraje/estación del distrito Francisco Ramírez; en 1960 depto Federación, hoy depto Federal (contiguo)"
v3_p20,812,San José,Buenos Aires,Necochea,200,flag_depto,depto_transferencia_o_homonimo,Necochea,06203070,San José,Coronel Suárez,252,-37.508031703707,-61.9177940926866,rojo,San José,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=252. dist_km=252 -> homonimo probable (lejano). candidatos: San José/Coronel Suárez [06203070]
v6_p06,267,San Pedro,Santiago del Estero,Matará,175,flag_depto,depto_transferencia_o_homonimo,Juan Felipe Ibarra,86049090,San Pedro,Capital,187,-27.9463558793645,-64.1638901235678,rojo,San Pedro,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=187. dist_km=187 -> homonimo probable (lejano). candidatos: San Pedro/Capital [86049090]; San Pedro/Choya [86063070]; San Pedro/Gu
v3_p02,871,Arroyo Dulce,Buenos Aires,Pergamino,147,flag_depto,depto_transferencia_o_homonimo,Pergamino,06714010,Arroyo Dulce,Salto,53,-34.1024332833136,-60.4061551794069,rojo,Arroyo Dulce,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=53. dist_km=53 -> transferencia de limite plausible (adyacente). candidatos: Arroyo Dulce/Salto [06714010]
v3_p17,873,Pasteur,Buenos Aires,General Pinto,147,flag_depto,depto_transferencia_o_homonimo,General Pinto | Florentino Ameghino,06469080,Pasteur,Lincoln,55,-35.1412901967067,-62.2439738648286,rojo,Pasteur,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=55. dist_km=55 -> transferencia de limite plausible (adyacente). candidatos: Pasteur/Lincoln [06469080]
v7_p10,413,Santa Victoria,Salta,Rivadavia,126,flag_depto,depto_transferencia_o_homonimo,Rivadavia,66161070,Santa Victoria,Santa Victoria,246,-22.250720289512,-64.9655763649701,rojo,Santa Victoria,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=246. dist_km=246 -> homonimo probable (lejano). candidatos: Santa Victoria/Santa Victoria [66161070]
v3_p03,909,Calderón,Buenos Aires,Bahía Blanca,105,flag_depto,depto_transferencia_o_homonimo,Bahía Blanca,06182070,Calderón,Coronel de Marina Leonardo Rosales,41,-38.722079306181,-62.0567918547382,rojo,Calderón,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,dist_km=41. dist_km=41 -> transferencia de limite plausible (adyacente). candidatos: Calderón/Coronel de Marina Leonardo Rosales [06182070]
