page,n_orden,localidad_canon,provincia_georef,departamento_canon,depto_moderno_esperado,estado,georef_capa,georef_id,georef_nombre,georef_depto,lat,lon,dist_km,candidatos
v3_p01,757,Altamira,Buenos Aires,Mercedes,Mercedes,flag_bahra,asentamientos,06532A00,Altamira,Mercedes,-34.6698829334103,-59.3675264022242,,Altamira/Mercedes [06532A00]
v3_p01,675,Altamirano,Buenos Aires,Brandsen,Brandsen,auto_ok,localidades-censales,06119010,Altamirano,Brandsen,-35.3615828022139,-58.1504868159157,,
v3_p01,818,Alta Vista,Buenos Aires,Saavedra,Saavedra,flag_bahra,asentamientos,06700A02,Alta Vista,Saavedra,-37.64860827151,-62.7002283128282,,Alta Vista/Saavedra [06700A02]
v3_p01,879,Altona,Buenos Aires,Tapalqué,Tapalqué,flag_bahra,asentamientos,06798A00,Altona,Tapalqué,-36.4746603214967,-60.1223310527292,,Altona/Tapalqué [06798A00]
v3_p01,318,Alvarez de Toledo,Buenos Aires,Saladillo,Saladillo,auto_ok,localidades-censales,06707010,Álvarez de Toledo,Saladillo,-35.6373586967143,-59.6301691617551,,
v3_p01,516,Alvarez Jonte,Buenos Aires,Magdalena,Magdalena | Punta Indio,auto_ok,localidades-censales,06655010,Álvarez Jonte,Punta Indio,-35.3227800092544,-57.4490768504218,,
v3_p01,897,Amalia,Buenos Aires,9 de Julio,9 de Julio,flag_variante_bahra,asentamientos,06588A15,La Amalia,9 de Julio,-35.4845567232439,-61.0224530194461,,La Amalia/9 de Julio [06588A15]
v3_p01,116,Ameghino,Buenos Aires,General Pinto,General Pinto | Florentino Ameghino,flag_variante,,06277020,Florentino Ameghino,Florentino Ameghino,-34.8454591706333,-62.4671090818902,,Florentino Ameghino/Florentino Ameghino [06277020]
v3_p01,814,Anasagasti,Buenos Aires,Navarro,Navarro,flag_bahra,asentamientos,06574A00,Anasagasti,Navarro,-35.0080062362697,-59.3904243134437,,Anasagasti/Navarro [06574A00]
v3_p01,622,Andant,Buenos Aires,Caseros,Daireaux,auto_ok,localidades-censales,06231010,Andant,Daireaux,-36.5603570671048,-62.1362798197113,,
v3_p01,764,Anderson,Buenos Aires,25 de Mayo,25 de Mayo,flag_bahra,asentamientos,06854A00,Anderson,25 de Mayo,-35.279817034263,-60.261324578481,,Anderson/25 de Mayo [06854A00]
v3_p01,221,Anguil,La Pampa,Capital,Capital,auto_ok,localidades-censales,42021010,Anguil,Capital,-36.5268644862348,-64.0116588281903,,
v3_p01,443,Antonio Carboni,Buenos Aires,Lobos,Lobos,auto_ok,localidades-censales,06483010,Antonio Carboni,Lobos,-35.2009190830879,-59.3461818009966,,
v3_p01,754,Anzoategui,La Pampa,Caleu-Caleu,Caleu Caleu,auto_ok,localidades-censales,42014010,Anzoátegui,Caleu Caleu,-38.9630526765691,-63.8608882456791,,
v3_p01,394,Aparicio,Buenos Aires,Coronel Dorrego,Coronel Dorrego | Monte Hermoso,auto_ok,localidades-censales,06189010,Aparicio,Coronel Dorrego,-38.6224732524339,-60.8834808947984,,
v3_p01,750,Arano,Buenos Aires,Adolfo Alsina,Adolfo Alsina,flag_bahra,asentamientos,06007A00,Arano,Adolfo Alsina,-37.0476827510242,-63.2670589969032,,Arano/Adolfo Alsina [06007A00]
v3_p01,269,Arata,La Pampa,Trenel,Trenel,auto_ok,localidades-censales,42147010,Arata,Trenel,-35.6390158670272,-64.3563831729334,,
v3_p01,574,Araujo,Buenos Aires,25 de Mayo,25 de Mayo,flag_bahra,asentamientos,06854A01,Araujo,25 de Mayo,-35.305156634524,-60.3276459376765,,Araujo/25 de Mayo [06854A01]
v3_p02,385,Arboledas,Buenos Aires,Caseros,Daireaux,auto_ok,localidades-censales,06231020,Arboledas,Daireaux,-36.8822997214104,-61.4896571349008,,
v3_p02,230,Arenaza,Buenos Aires,Lincoln,Lincoln,auto_ok,localidades-censales,06469010,Arenaza,Lincoln,-34.9851543205711,-61.7742778784521,,
v3_p02,726,Argerich,Buenos Aires,Villarino,Villarino,auto_ok,localidades-censales,06875010,Argerich,Villarino,-38.771639397797,-62.6034862501489,,
v3_p02,609,Ariel,Buenos Aires,Azul,Azul,auto_ok,localidades-censales,06049010,Ariel,Azul,-36.5316623802492,-59.9223269682285,,
v3_p02,57,Arrecifes,Buenos Aires,Bartolomé Mitre,Arrecifes | Capitán Sarmiento,auto_ok,localidades-censales,06077010,Arrecifes,Arrecifes,-34.0674580737828,-60.1086943504546,,
v3_p02,162,Arribeños,Buenos Aires,General Arenales,General Arenales,auto_ok,localidades-censales,06294010,Arribeños,General Arenales,-34.2083674707326,-61.3553624012071,,
v3_p02,338,Arroyo Corto,Buenos Aires,Saavedra,Saavedra,auto_ok,localidades-censales,06700010,Arroyo Corto,Saavedra,-37.5148390227664,-62.3123670345414,,
v3_p02,634,Arroyo de la Cruz,Buenos Aires,Exaltación de la Cruz,Exaltación de la Cruz,auto_ok,localidades-censales,06266010,Arroyo de la Cruz,Exaltación de la Cruz,-34.3330015099151,-59.1147032706688,,
v3_p02,586,Arroyo del Medio,Buenos Aires,Pergamino,Pergamino,flag_bahra,asentamientos,06623A00,Arroyo del Medio,Pergamino,-33.586240168229,-60.7745254435805,,Arroyo del Medio/Pergamino [06623A00]
v3_p02,699,Arroyo de los Huesos,Buenos Aires,Azul,Azul,flag_bahra,asentamientos,06049A00,Arroyo de los Huesos,Azul,-37.0213639698331,-59.5631036699805,,Arroyo de los Huesos/Azul [06049A00]
v3_p02,871,Arroyo Dulce,Buenos Aires,Pergamino,Pergamino,flag_depto,,06714010,Arroyo Dulce,Salto,-34.1024332833136,-60.4061551794069,53,Arroyo Dulce/Salto [06714010]
v3_p02,236,Arroyo Dulce,Buenos Aires,Salto,Salto,auto_ok,localidades-censales,06714010,Arroyo Dulce,Salto,-34.1024332833136,-60.4061551794069,,
v3_p02,447,Arroyo Venado,Buenos Aires,Guaminí,Guaminí,auto_ok,localidades-censales,06399010,Arroyo Venado,Guaminí,-37.0848963014223,-62.5384200380807,,
v3_p02,623,Asamblea,Buenos Aires,Bragado,Bragado,auto_ok,localidades-censales,06112010,Asamblea,Bragado,-35.2268722732427,-60.4185470430294,,
v3_p02,168,Ascensión,Buenos Aires,General Arenales,General Arenales,auto_ok,localidades-censales,06294020,Ascensión,General Arenales,-34.2308165779778,-61.1034210115308,,
v3_p02,703,Asturias,Buenos Aires,Pehuajó,Pehuajó,flag_bahra,asentamientos,06609A05,Asturias,Pehuajó,-36.1723451313634,-61.8753897120717,,Asturias/Pehuajó [06609A05]
v3_p02,539,Atalaya,Buenos Aires,Magdalena,Magdalena | Punta Indio,auto_ok,localidades-censales,06505010,Atalaya,Magdalena,-35.0248701462886,-57.5325581296761,,
v3_p02,427,Ataliva Roca,La Pampa,Utracán,Utracán,auto_ok,localidades-censales,42154010,Ataliva Roca,Utracán,-37.0318022920022,-64.2852643446283,,
v3_p02,909,Atilio Pesagno,Buenos Aires,Chascomús,Chascomús | Lezama,flag_variante_bahra,asentamientos,06466A01,Atilio Pessagno,Lezama,-35.8036321826338,-57.7899841113392,,Atilio Pessagno/Lezama [06466A01]
v3_p02,838,Atreucó,La Pampa,Atreucó,Atreucó,flag_bahra,asentamientos,42007A00,Atreucó,Atreucó,-37.1291220067299,-63.8144849127153,,Atreucó/Atreucó [42007A00]
v3_p02,868,Atucha,Buenos Aires,Zárate,Zárate,flag_bahra,asentamientos,06882A00,Atucha,Zárate,-33.9756292087778,-59.2003448286026,,Atucha/Zárate [06882A00]
v3_p02,5,Avellaneda,Buenos Aires,Avellaneda,Avellaneda,auto_ok,localidades-censales,06035010,Avellaneda,Avellaneda,-34.6660332617204,-58.3497677273389,,
v3_p02,651,Avestruz,Buenos Aires,Adolfo Alsina,Adolfo Alsina,flag_bahra,asentamientos,06007A02,Avestruz,Adolfo Alsina,-37.6598302011386,-63.355271610296,,Avestruz/Adolfo Alsina [06007A02]
v3_p02,61,Ayacucho,Buenos Aires,Ayacucho,Ayacucho,auto_ok,localidades-censales,06042010,Ayacucho,Ayacucho,-37.1527598158637,-58.4883878541555,,
v3_p02,552,Azcuénaga,Buenos Aires,San Andrés de Giles,San Andrés de Giles,auto_ok,localidades-censales,06728010,Azcuénaga,San Andrés de Giles,-34.3657923040767,-59.3756451998692,,
v3_p02,473,Azopardo,Buenos Aires,Puán,Puán,auto_ok,localidades-censales,06651010,Azopardo,Puán,-37.7015199457139,-62.9005022933119,,
v3_p02,397,Azucena,Buenos Aires,Tandil,Tandil,auto_ok,localidades-censales,06791060,Azucena,Tandil,-37.4878117862567,-59.2912711474013,,
v3_p02,31,Azul,Buenos Aires,Azul,Azul,auto_ok,localidades-censales,06049020,Azul,Azul,-36.7774578361562,-59.8634454883445,,
v3_p02,706,Bacacay,Buenos Aires,9 de Julio,9 de Julio,flag_bahra,asentamientos,06588A00,Bacacay,9 de Julio,-35.6512772936555,-61.0272543873973,,Bacacay/9 de Julio [06588A00]
v3_p02,15,Bahía Blanca,Buenos Aires,Bahía Blanca,Bahía Blanca,auto_ok,localidades-censales,06056010,Bahía Blanca,Bahía Blanca,-38.7175489907773,-62.2654155252819,,
v3_p02,694,Bahía San Blas,Buenos Aires,Patagones,Patagones,auto_ok,localidades-censales,06602010,Bahí­a San Blas,Patagones,-40.5538720511237,-62.2346860564006,,
v3_p02,187,Baigorrita,Buenos Aires,General Viamonte,General Viamonte,auto_ok,localidades-censales,06385010,Baigorrita,General Viamonte,-34.747784125842,-60.9883717712491,,
v3_p02,497,Bajo Hondo,Buenos Aires,Coronel de Marina Leonardo Rosales,Coronel de Marina Leonardo Rosales | Monte Hermoso,auto_ok,localidades-censales,06182010,Bajo Hondo,Coronel de Marina Leonardo Rosales,-38.7627932127508,-61.9205918985195,,
v3_p02,877,Balsa,Buenos Aires,Lincoln,Lincoln,flag_bahra,asentamientos,06469A00,Balsa,Lincoln,-34.8116347774941,-61.6595945561869,,Balsa/Lincoln [06469A00]
v3_p02,554,Balneario Claromecó,Buenos Aires,Tres Arroyos,Tres Arroyos,flag_sin_match,,,,,,,,
v3_p02,828,Balneario Mar de Ajó Norte,Buenos Aires,General Lavalle,General Lavalle | La Costa,flag_sin_match,,,,,,,,
v3_p02,41,Balcarce,Buenos Aires,Balcarce,Balcarce,auto_ok,localidades-censales,06063010,Balcarce,Balcarce,-37.8463818448826,-58.2555392250194,,
v3_p02,296,Banderaló,Buenos Aires,General Villegas,General Villegas,flag_bahra,localidades,06392010,Banderaló,General Villegas,-35.0148684045152,-63.3759618191184,,Banderaló/General Villegas [06392010]
v3_p02,72,Baradero,Buenos Aires,Baradero,Baradero,auto_ok,localidades-censales,06070010,Baradero,Baradero,-33.8120545894866,-59.5046802348512,,
v3_p02,550,Barker,Buenos Aires,Juárez,Benito Juárez,auto_ok,localidades-censales,06084010,Barker,Benito Juárez,-37.6396956007695,-59.3911978075624,,
v3_p02,245,Bartolomé Bavio,Buenos Aires,Magdalena,Magdalena | Punta Indio,auto_ok,localidades-censales,06505020,Bartolomé Bavio,Magdalena,-35.079770213927,-57.7471055306171,,
v3_p03,761,Barrow,Buenos Aires,Tres Arroyos,Tres Arroyos,flag_sin_match,,,,,,,,
v3_p03,569,Bathurst,Buenos Aires,Coronel Suárez,Coronel Suárez,flag_bahra,asentamientos,06203A01,Bathurst,Coronel Suárez,-37.5760445107288,-61.8193643137468,,Bathurst/Coronel Suárez [06203A01]
v3_p03,857,Baudrix,Buenos Aires,Alberti,Alberti,flag_bahra,asentamientos,06021A00,Baudrix,Alberti,-35.2399237350338,-60.3024150518394,,Baudrix/Alberti [06021A00]
v3_p03,238,Bayauca,Buenos Aires,Lincoln,Lincoln,auto_ok,localidades-censales,06469020,Bayauca,Lincoln,-34.8710511337121,-61.2895451446375,,
v3_p03,55,Belén de Escobar,Buenos Aires,Escobar,Escobar,flag_bahra,localidades,0625201001,Belén de Escobar,Escobar,-34.3454707314612,-58.7928104368433,,Belén de Escobar/Escobar [0625201001]
v3_p03,443,Bellocq,Buenos Aires,Carlos Casares,Carlos Casares,auto_ok,localidades-censales,06147010,Bellocq,Carlos Casares,-35.9166020863319,-61.5341080736114,,
v3_p03,780,Benítez,Buenos Aires,Chivilcoy,Chivilcoy,auto_ok,localidades-censales,06224080,Benítez,Chivilcoy,-34.9669790631044,-60.1273005512641,,
v3_p03,846,Berrahondo,Buenos Aires,Tornquist,Tornquist,flag_variante_bahra,asentamientos,06819A00,Berraondo,Tornquist,-38.4152392086822,-62.8189962852817,,Berraondo/Tornquist [06819A00]
v3_p03,366,Berdier,Buenos Aires,Salto,Salto,auto_ok,localidades-censales,06714020,Berdier,Salto,-34.3977665512714,-60.2596256162029,,
v3_p03,27,Berisso,Buenos Aires,Berisso,Berisso,auto_ok,localidades-censales,06098010,Berisso,Berisso,-34.8807254387813,-57.8688677457687,,
v3_p03,538,Bermúdez,Buenos Aires,Lincoln,Lincoln,auto_ok,localidades-censales,06469100,Bermúdez,Lincoln,-34.6958240368065,-61.3289872216879,,
v3_p03,242,Bernardo Larroudé,La Pampa,Chapaleufú,Chapaleufú,auto_ok,localidades-censales,42056010,Bernardo Larroude,Chapaleufú,-35.0259882387012,-63.5827320858488,,
v3_p03,174,Bernasconi,La Pampa,Hucal,Hucal,auto_ok,localidades-censales,42077020,Bernasconi,Hucal,-37.9022778251595,-63.7429775377978,,
v3_p03,263,Berutti,Buenos Aires,Trenque Lauquen,Trenque Lauquen,auto_ok,localidades-censales,06826010,Berutti,Trenque Lauquen,-35.8525692100468,-62.5123231186888,,
v3_p03,347,Blaquier,Buenos Aires,General Pinto,General Pinto | Florentino Ameghino,auto_ok,localidades-censales,06277010,Blaquier,Florentino Ameghino,-34.636164298947,-62.4776596645133,,
v3_p03,549,Blanca Grande,Buenos Aires,Olavarría,Olavarría,flag_variante_bahra,asentamientos,06595A15,Laguna Blanca Grande,Olavarría,-36.4761941243008,-60.8969088030338,,Laguna Blanca Grande/Olavarría [06595A15]
v3_p03,842,Blandengues,Buenos Aires,Junín,Junín,flag_bahra,asentamientos,06413A00,Blandengues,Junín,-34.5419000481254,-61.2529720498407,,Blandengues/Junín [06413A00]
v3_p03,893,Blas Durañona,Buenos Aires,25 de Mayo,25 de Mayo,flag_bahra,asentamientos,06854A03,Blas Durañona,25 de Mayo,-35.4801708802145,-60.1351993155068,,Blas Durañona/25 de Mayo [06854A03]
v3_p03,635,Bocayuva,Buenos Aires,Pellegrini,Pellegrini | Salliqueló | Tres Lomas,auto_ok,localidades-censales,06616010,Bocayuva,Pellegrini,-36.2056381315745,-63.0753032895216,,
v3_p03,855,Boeuf,La Pampa,Conhello,Conhelo,flag_bahra,asentamientos,42035A00,Boeuf,Conhelo,-35.9614565190777,-64.4418440791695,,Boeuf/Conhelo [42035A00]
v3_p03,49,Bolívar,Buenos Aires,Bolívar,Bolívar,flag_variante,,06105060,San Carlos de Bolívar,Bolívar,-36.2298730869971,-61.1138994036572,,San Carlos de Bolívar/Bolívar [06105060]
v3_p03,827,Bonifacio,Buenos Aires,Guaminí,Guaminí,flag_sin_match,,,,,,,,
v3_p03,254,Bordenave,Buenos Aires,Puán,Puán,auto_ok,localidades-censales,06651020,Bordenave,Puán,-37.802796391209,-63.0384654571547,,
v3_p03,795,Bordeu,Buenos Aires,Bahía Blanca,Bahía Blanca,flag_variante_bahra,localidades,0605601004,Villa Bordeau,Bahía Blanca,-38.693558630756,-62.3350174250385,,Villa Bordeau/Bahía Blanca [0605601004]
v3_p03,521,Bosch,Buenos Aires,Balcarce,Balcarce,flag_bahra,asentamientos,06063A00,Bosch,Balcarce,-37.6468617350962,-58.2395587338111,,Bosch/Balcarce [06063A00]
v3_p03,40,Bragado,Buenos Aires,Bragado,Bragado,auto_ok,localidades-censales,06112020,Bragado,Bragado,-35.1155552588278,-60.4897339093707,,
v3_p03,172,Cabildo,Buenos Aires,Bahía Blanca,Bahía Blanca,auto_ok,localidades-censales,06056020,Cabildo,Bahía Blanca,-38.4851176778623,-61.8937811442982,,
v3_p03,145,Cacharí,Buenos Aires,Azul,Azul,auto_ok,localidades-censales,06049030,Cacharí,Azul,-36.3767030049524,-59.5046056501002,,
v3_p03,648,Cachirulo,La Pampa,Toay,Toay,auto_ok,localidades-censales,42140005,Cachirulo,Toay,-36.7476695099668,-64.3678561303517,,
v3_p03,409,Cadret,Buenos Aires,Carlos Casares,Carlos Casares,auto_ok,localidades-censales,06147020,Cadret,Carlos Casares,-35.7710874699556,-61.3356838592444,,
v3_p03,909,Calderón,Buenos Aires,Bahía Blanca,Bahía Blanca,flag_depto,,06182070,Calderón,Coronel de Marina Leonardo Rosales,-38.722079306181,-62.0567918547382,41,Calderón/Coronel de Marina Leonardo Rosales [06182070]
v3_p03,689,Calderón,Buenos Aires,Coronel de Marina Leonardo Rosales,Coronel de Marina Leonardo Rosales | Monte Hermoso,auto_ok,localidades-censales,06182070,Calderón,Coronel de Marina Leonardo Rosales,-38.722079306181,-62.0567918547382,,
v3_p03,199,Caleufú,La Pampa,Rancul,Rancul,auto_ok,localidades-censales,42126010,Caleufú,Rancul,-35.5944989864308,-64.558562903335,,
v3_p03,536,Calfucurá,Buenos Aires,Mar Chiquita,Mar Chiquita,flag_bahra,asentamientos,06518A00,Calfucurá,Mar Chiquita,-37.4856416021458,-57.4361101224263,,Calfucurá/Mar Chiquita [06518A00]
v3_p03,625,Calvo,Buenos Aires,Coronel Dorrego,Coronel Dorrego | Monte Hermoso,flag_bahra,asentamientos,06189A00,Calvo,Coronel Dorrego,-38.7643528525285,-61.4173323420948,,Calvo/Coronel Dorrego [06189A00]
v3_p03,845,Cambaceres,Buenos Aires,9 de Julio,9 de Julio,flag_bahra,asentamientos,06588A01,Cambaceres,9 de Julio,-35.5541778907709,-61.1250534825703,,Cambaceres/9 de Julio [06588A01]
v3_p03,339,Camet,Buenos Aires,General Pueyrredón,General Pueyrredón,flag_bahra,localidades,0635711001,Camet,General Pueyrredón,-37.9401411938582,-57.5499424869415,,Camet/General Pueyrredón [0635711001]
v3_p03,38,Campana,Buenos Aires,Campana,Campana,auto_ok,localidades-censales,06126020,Campana,Campana,-34.1632276907392,-58.9591641997717,,
v3_p03,546,Campo Salles,Buenos Aires,San Nicolás,San Nicolás,flag_variante_bahra,localidades,0676305001,Campos Salles,San Nicolás,-33.401672448024,-60.2374682244366,,Campos Salles/San Nicolás [0676305001]
v3_p03,479,Cangallo,Buenos Aires,Ayacucho,Ayacucho,flag_bahra,asentamientos,06042A00,Cangallo,Ayacucho,-37.2159524101424,-58.6825043373854,,Cangallo/Ayacucho [06042A00]
v3_p03,697,Canónigo Gorriti,Buenos Aires,Adolfo Alsina,Adolfo Alsina,flag_bahra,asentamientos,06007A04,Canónigo Gorriti,Adolfo Alsina,-37.5477298351751,-63.2446425317421,,Canónigo Gorriti/Adolfo Alsina [06007A04]
v3_p04,304,Cañada Seca,Buenos Aires,General Villegas,General Villegas,auto_ok,localidades-censales,06392030,Cañada Seca,General Villegas,-34.4167125907158,-62.9607627025692,,
v3_p04,70,Cañuelas,Buenos Aires,Cañuelas,Cañuelas,auto_ok,localidades-censales,06134040,Cañuelas,Cañuelas,-35.0537825523544,-58.7620353075768,,
v3_p04,121,Capilla del Señor,Buenos Aires,Exaltación de la Cruz,Exaltación de la Cruz,auto_ok,localidades-censales,06266050,Capilla del Señor,Exaltación de la Cruz,-34.2872438941071,-59.1020207384735,,
v3_p04,721,Capitán Castro,Buenos Aires,Pehuajó,Pehuajó,auto_ok,localidades-censales,06609010,Capitán Castro,Pehuajó,-35.9123079894038,-62.2249643908645,,
v3_p04,83,Capitán Sarmiento,Buenos Aires,Bartolomé Mitre,Arrecifes | Capitán Sarmiento,auto_ok,localidades-censales,06140010,Capitán Sarmiento,Capitán Sarmiento,-34.1711412650938,-59.7936095270191,,
v3_p04,282,Carabelas,Buenos Aires,Rojas,Rojas,flag_variante,,06686020,Las Carabelas,Rojas,-34.0378755376697,-60.8671031431106,,Las Carabelas/Rojas [06686020]
v3_p04,492,Cardenal Cagliero,Buenos Aires,Patagones,Patagones,auto_ok,localidades-censales,06602020,Cardenal Cagliero,Patagones,-40.6515803457429,-62.7548938337685,,
v3_p04,335,Carlos Beguerie,Buenos Aires,Roque Pérez,Roque Pérez,auto_ok,localidades-censales,06693010,Carlos Beguerie,Roque Pérez,-35.4855718840867,-59.0997837058714,,
v3_p04,67,Carlos Casares,Buenos Aires,Carlos Casares,Carlos Casares,auto_ok,localidades-censales,06147030,Carlos Casares,Carlos Casares,-35.6224974038479,-61.3654517691007,,
v3_p04,330,Carlos Keen,Buenos Aires,Luján,Luján,auto_ok,localidades-censales,06497010,Carlos Keen,Luján,-34.4873879896829,-59.219081540557,,
v3_p04,272,Carlos N. Naón,Buenos Aires,9 de Julio,9 de Julio,flag_sin_match,,,,,,,,
v3_p04,173,Carlos Pellegrini,Buenos Aires,Pellegrini,Pellegrini | Salliqueló | Tres Lomas,flag_sin_match,,,,,,,,
v3_p04,403,Carlos Salas,Buenos Aires,Lincoln,Lincoln,auto_ok,localidades-censales,06469030,Carlos Salas,Lincoln,-35.3913662871435,-61.9949102331933,,
v3_p04,129,Carlos Tejedor,Buenos Aires,Carlos Tejedor,Carlos Tejedor,auto_ok,localidades-censales,06154010,Carlos Tejedor,Carlos Tejedor,-35.3915357848245,-62.4198031983956,,
v3_p04,94,Carmen de Areco,Buenos Aires,Carmen de Areco,Carmen de Areco,auto_ok,localidades-censales,06161010,Carmen de Areco,Carmen de Areco,-34.3766064269391,-59.8226958860968,,
v3_p04,78,Carmen de Patagones,Buenos Aires,Patagones,Patagones,auto_ok,localidades-censales,06602030,Carmen de Patagones,Patagones,-40.7937589318925,-62.9813902264886,,
v3_p04,386,Carro Quemado,La Pampa,Loventué,Loventué,auto_ok,localidades-censales,42098010,Carro Quemado,Loventué,-36.4749290295312,-65.344596790041,,
v3_p04,746,Casalins,Buenos Aires,Pila,Pila,auto_ok,localidades-censales,06630020,Casalins,Pila,-36.314358671522,-58.5519892020608,,
v3_p04,179,Casbas,Buenos Aires,Guaminí,Guaminí,auto_ok,localidades-censales,06399020,Casbas,Guaminí,-36.757649027575,-62.5043426648986,,
v3_p04,449,Cascada,Buenos Aires,Coronel Suárez,Coronel Suárez,auto_ok,localidades-censales,06203010,Cascada,Coronel Suárez,-37.2923902591232,-62.2972094097209,,
v3_p04,778,Casey,Buenos Aires,Guaminí,Guaminí,flag_bahra,asentamientos,06399A02,Casey,Guaminí,-36.6856316827107,-62.3517614116796,,Casey/Guaminí [06399A02]
v3_p04,146,Castelli,Buenos Aires,Castelli,Castelli,auto_ok,localidades-censales,06168010,Castelli,Castelli,-36.0909119355864,-57.8075587532052,,
v3_p04,306,Castilla,Buenos Aires,Chacabuco,Chacabuco,auto_ok,localidades-censales,06210050,Castilla,Chacabuco,-34.6133062542013,-59.9061262332783,,
v3_p04,195,Catriló,La Pampa,Catriló,Catriló,auto_ok,localidades-censales,42028010,Catriló,Catriló,-36.4066975622777,-63.4232484858219,,
v3_p04,329,Cazón,Buenos Aires,Saladillo,Saladillo,auto_ok,localidades-censales,06707020,Cazon,Saladillo,-35.5750405901603,-59.6628995876888,,
v3_p04,591,Ceballos,La Pampa,Chapaleufú,Chapaleufú,auto_ok,localidades-censales,42056020,Ceballos,Chapaleufú,-35.2908176457173,-63.7768247252113,,
v3_p04,819,Centenario,Buenos Aires,Carlos Casares,Carlos Casares,flag_bahra,asentamientos,06147A00,Centenario,Carlos Casares,-35.8362079843959,-61.4332754340625,,Centenario/Carlos Casares [06147A00]
v3_p04,853,Centro Guerrero,Buenos Aires,Castelli,Castelli,auto_ok,localidades-censales,06168020,Centro Guerrero,Castelli,-36.0543706674152,-57.8170575578428,,
