origen,page,n_orden,localidad,campo,valor_crudo,evidencia,recorte,estado,resuelto_por
2.0-duda,v7_p07,378,Palta de Aparzo,localidad,Palta de Aparzo,"l/t ambiguo; leído ""Palta""; topónimo real de Humahuaca es ""Palca de Aparzo"" (diferir a Paso 3)",,resuelto,dudas_resueltas.csv
2.0-duda,v7_p03,65,Chumbicha,varones,1092,leído 1.092; re-lectura imagen (FRENAR) = 1.091 → 1091+1097=2188=total OK; corregir en Paso 2.1 (decisiones.csv),,resuelto,decisiones.csv
2.0-duda,v7_p08,38,Perico,varones,2018,leído 2.018; re-lectura imagen (FRENAR) = 2.038 → 2038+2087=4125=total OK; corregir en Paso 2.1 (decisiones.csv),,resuelto,decisiones.csv
2.0-duda,v8_p05,46,Zonda,departamento,Venticinco de Mayo,"impreso VERBATIM ""Venticinco de Mayo"" (falta la i); mismo depto San Juan ""Veinticinco de Mayo"" → unificar en 1B",,resuelto,dudas_resueltas.csv
2.1-suma,v3_p03,909,Calderón,total/varones/mujeres,105/66/33,v+m=99 delta=6,,resuelto,decisiones.csv:2.3
2.1-suma,v3_p08,204,Francisco Madero,total/varones/mujeres,1871/957/916,v+m=1873 delta=-2,,resuelto,decisiones.csv:2.3
2.1-suma,v3_p11,307,Irala,total/varones/mujeres,1112/631/451,v+m=1082 delta=30,,resuelto,decisiones.csv:2.3
2.1-incompleto,v3_p12,763,La Pastora,numerico,236/141/,celda numerica vacia (confirmar en imagen),,resuelto,decisiones.csv:2.3
2.1-suma,v3_p14,342,Luan Toro,total/varones/mujeres,918/520/418,v+m=938 delta=-20,,resuelto,decisiones.csv:2.3
2.1-suma,v3_p14,462,Mamaguita,total/varones/mujeres,508/342/266,v+m=608 delta=-100,,resuelto,decisiones.csv:2.3
2.1-suma,v3_p16,671,Ortiz de Rozas,total/varones/mujeres,323/182/142,v+m=324 delta=-1,,resuelto,decisiones.csv:2.3
2.1-suma,v3_p22,262,Villa Gessell,total/varones/mujeres,1374/762/512,v+m=1274 delta=100,,resuelto,decisiones.csv:2.3
2.1-suma,v4_p06,558,El Fuertecito,total/varones/mujeres,578/303/271,v+m=574 delta=4,,resuelto,decisiones.csv:2.3
2.1-suma,v4_p07,313,Grutly,total/varones/mujeres,1349/712/537,v+m=1249 delta=100,,resuelto,decisiones.csv:2.3
2.1-suma,v4_p11,388,Lucio V. López,total/varones/mujeres,1057/592/455,v+m=1047 delta=10,,resuelto,decisiones.csv:2.3
2.1-suma,v4_p17,41,Sunchales,total/varones/mujeres,7890/3946/3934,v+m=7880 delta=10,,resuelto,decisiones.csv:2.3
2.1-suma,v5_p02,234,Colonia Hocker,total/varones/mujeres,410/222/156,v+m=378 delta=32,,resuelto,decisiones.csv:2.3
2.1-suma,v5_p06,259,Saenz Valiente,total/varones/mujeres,333/160/153,v+m=313 delta=20,,resuelto,decisiones.csv:2.3
2.1-suma,v6_p06,140,Simbolar,total/varones/mujeres,525/337/288,v+m=625 delta=-100,,resuelto,decisiones.csv:2.3
2.1-suma,v6_p06,202,Sumamao,total/varones/mujeres,305/157/228,v+m=385 delta=-80,,resuelto,decisiones.csv:2.3
2.1-suma,v7_p03,65,Chumbicha,total/varones/mujeres,2188/1092/1097,v+m=2189 delta=-1,,resuelto,decisiones.csv:2.3
2.1-suma,v7_p08,38,Perico,total/varones/mujeres,4125/2018/2087,v+m=4105 delta=20,,resuelto,decisiones.csv:2.3
2.2-sin_match,v3_p01,459,Aldea Romana,localidad,Aldea Romana,wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p01,825,Alegre,localidad,Alegre,wiki=sin_match: Alegre https://es.wikipedia.org/wiki/Alegre,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p01,808,Alférez de San Martín,localidad,Alférez de San Martín,wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p01,818,Alta Vista,localidad,Alta Vista,wiki=sin_match: Alta Vista https://es.wikipedia.org/wiki/Alta_Vista,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p01,116,Ameghino,localidad,Ameghino,wiki=sin_match: Ameghino (cráter) https://es.wikipedia.org/wiki/Ameghino_(cr%C3%A1ter),,resuelto,regla:diferido-paso3
2.2-aproximado,v3_p02,699,Arroyo de los Huesos,localidad,Arroyo de los Huesos,wiki=aproximado: Arroyo de los Humos https://es.wikipedia.org/wiki/Arroyo_de_los_Humos,,resuelto,revision_aproximados.csv:verbatim_paso3
2.2-aproximado,v3_p02,909,Atilio Pesagno,localidad,Atilio Pesagno,wiki=aproximado: Atilio Pessagno (juez) https://es.wikipedia.org/wiki/Atilio_Pessagno_(juez),,resuelto,decisiones.csv
2.2-sin_match,v3_p02,838,Atreucó,localidad,Atreucó,wiki=sin_match: Atreucó https://es.wikipedia.org/wiki/Atreuc%C3%B3,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p02,868,Atucha,localidad,Atucha,wiki=sin_match: Atucha https://es.wikipedia.org/wiki/Atucha,,resuelto,regla:diferido-paso3
2.2-aproximado,v3_p02,651,Avestrus,localidad,Avestrus,wiki=aproximado: Avestruz (Buenos Aires) https://es.wikipedia.org/wiki/Avestruz_(Buenos_Aires),,resuelto,decisiones.csv
2.2-sin_match,v3_p02,552,Azcuénaga,localidad,Azcuénaga,wiki=sin_match: Azcuénaga (Buenos Aires) https://es.wikipedia.org/wiki/Azcu%C3%A9naga_(Buenos_Aires),,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p02,554,Balneario Claromecó,localidad,Balneario Claromecó,wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p02,828,Balneario Mar de Ajó Norte,localidad,Balneario Mar de Ajó Norte,wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p02,245,Bartolomé Bavio,localidad,Bartolomé Bavio,wiki=sin_match: Bartolomé Bavio https://es.wikipedia.org/wiki/Bartolom%C3%A9_Bavio,,resuelto,regla:diferido-paso3
2.2-aproximado,v3_p03,846,Berrahondo,localidad,Berrahondo,wiki=aproximado: Berrondo https://es.wikipedia.org/wiki/Berrondo,,resuelto,revision_aproximados.csv:verbatim_paso3
2.2-sin_match,v3_p03,263,Berutti,localidad,Berutti,wiki=sin_match: Berutti https://es.wikipedia.org/wiki/Berutti,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p03,855,Boeuf,localidad,Boeuf,wiki=sin_match: Alexis Bœuf https://es.wikipedia.org/wiki/Alexis_B%C5%93uf,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p03,49,Bolívar,localidad,Bolívar,wiki=sin_match: Bolívar https://es.wikipedia.org/wiki/Bol%C3%ADvar,,resuelto,regla:diferido-paso3
2.2-aproximado,v3_p03,546,Campo Sallee,localidad,Campo Sallee,wiki=aproximado: Campos Salles https://es.wikipedia.org/wiki/Campos_Salles,,resuelto,decisiones.csv
2.2-aproximado,v3_p04,282,Carabelas,localidad,Carabelas,wiki=aproximado: Carabela https://es.wikipedia.org/wiki/Carabela,,resuelto,revision_aproximados.csv:verbatim_paso3
2.2-sin_match,v3_p04,272,Carlos N. Naón,localidad,Carlos N. Naón,wiki=sin_match: Carlos Antonio López https://es.wikipedia.org/wiki/Carlos_Antonio_L%C3%B3pez,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p04,329,Cazón,localidad,Cazón,wiki=sin_match: Cazón https://es.wikipedia.org/wiki/Caz%C3%B3n,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p04,751,Cereales,localidad,Cereales,wiki=sin_match: Cereales (La Pampa) https://es.wikipedia.org/wiki/Cereales_(La_Pampa),,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p04,683,Cerro de los Leones,localidad,Cerro de los Leones,wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-aproximado,v3_p04,684,Cerro Sotuyo,localidad,Cerro Sotuyo,wiki=aproximado: Cerro Domuyo https://es.wikipedia.org/wiki/Cerro_Domuyo,,resuelto,revision_aproximados.csv:verbatim_paso3
2.2-aproximado,v3_p04,565,Claudio Molina,localidad,Claudio Molina,wiki=aproximado: Claudia Molina https://es.wikipedia.org/wiki/Claudia_Molina,,resuelto,revision_aproximados.csv:verbatim_paso3
2.2-sin_match,v3_p04,504,Colonia Hogar Ricardo Gutiérrez,localidad,Colonia Hogar Ricardo Gutiérrez,wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p04,905,Colonia La Merced,localidad,Colonia La Merced,wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p05,887,Colonia Philippson,localidad,Colonia Philippson,wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p05,704,Colonia San José,localidad,Colonia San José,wiki=sin_match: Colonia San José https://es.wikipedia.org/wiki/Colonia_San_Jos%C3%A9,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p05,258,Colonia San Miguel Arcángel,localidad,Colonia San Miguel Arcángel,wiki=sin_match: Colonia San Miguel Arcángel https://es.wikipedia.org/wiki/Colonia_San_Miguel_Arc%C3%A1ngel,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p05,712,Colonia Velaz,localidad,Colonia Velaz,wiki=sin_match: Colonia Veracruz https://es.wikipedia.org/wiki/Colonia_Veracruz,,resuelto,regla:diferido-paso3
2.2-aproximado,v3_p05,117,Cte. Nicanor Otamendi,localidad,Cte. Nicanor Otamendi,wiki=aproximado: Cmte Nicanor Otamendi https://es.wikipedia.org/wiki/Cmte_Nicanor_Otamendi,,resuelto,revision_aproximados.csv:verbatim_paso3
2.2-sin_match,v3_p05,840,Condarco,localidad,Condarco,wiki=sin_match: Condado de Bornos https://es.wikipedia.org/wiki/Condado_de_Bornos,,resuelto,regla:diferido-paso3
2.2-aproximado,v3_p05,856,Corazzi,localidad,Corazzi,wiki=aproximado: Corazón https://es.wikipedia.org/wiki/Coraz%C3%B3n,,resuelto,revision_aproximados.csv:verbatim_paso3
2.2-sin_match,v3_p05,783,Corbett,localidad,Corbett,wiki=sin_match: Jim Corbett https://es.wikipedia.org/wiki/Jim_Corbett,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p05,803,Coronel Falcón,localidad,Coronel Falcón,wiki=sin_match: Coronel Alfonso Monje (SP 82-1) https://es.wikipedia.org/wiki/Coronel_Alfonso_Monje_(SP_82-1),,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p05,312,Coronel Granada,localidad,Coronel Granada,wiki=sin_match: Coronel Granada https://es.wikipedia.org/wiki/Coronel_Granada,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p05,615,Coronel Isleño,localidad,Coronel Isleño,wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p05,288,Coronel Mom,localidad,Coronel Mom,wiki=sin_match: Coronel Mom https://es.wikipedia.org/wiki/Coronel_Mom,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p05,765,Coronel Rodolfo Bunge,localidad,Coronel Rodolfo Bunge,wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p05,323,Cortines,localidad,Cortines,wiki=sin_match: Cortines https://es.wikipedia.org/wiki/Cortines,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p05,839,Cotita,localidad,Cotita,wiki=sin_match: Costa Rica https://es.wikipedia.org/wiki/Costa_Rica,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p05,679,Cuatro de Noviembre,localidad,Cuatro de Noviembre,wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p05,646,Cuculú,localidad,Cuculú,wiki=sin_match: Cuculus canorus https://es.wikipedia.org/wiki/Cuculus_canorus,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p05,469,Cucha-Cucha,localidad,Cucha-Cucha,wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p06,353,Curumalán,localidad,Curumalán,wiki=sin_match: Curumaní https://es.wikipedia.org/wiki/Curuman%C3%AD,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p06,776,Chamaicó,localidad,Chamaicó,wiki=sin_match: Chamanismo https://es.wikipedia.org/wiki/Chamanismo,,resuelto,regla:diferido-paso3
2.2-aproximado,v3_p06,729,Chapaleofú,localidad,Chapaleofú,wiki=aproximado: Chapaleufu https://es.wikipedia.org/wiki/Chapaleufu,,resuelto,decisiones.csv
2.2-sin_match,v3_p06,849,Choique,localidad,Choique,wiki=sin_match: Choique https://es.wikipedia.org/wiki/Choique,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p06,465,Damián Maisonave,localidad,Damián Maisonave,wiki=sin_match: Damián Maisonave https://es.wikipedia.org/wiki/Dami%C3%A1n_Maisonave,,resuelto,regla:diferido-paso3
2.2-aproximado,v3_p06,108,Darragueira,localidad,Darragueira,wiki=aproximado: Darregueira https://es.wikipedia.org/wiki/Darregueira,,resuelto,decisiones.csv
2.2-sin_match,v3_p06,402,Defferrari,localidad,Defferrari,wiki=sin_match: César de Ferrari https://es.wikipedia.org/wiki/C%C3%A9sar_de_Ferrari,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p06,564,Denhny,localidad,Denhny,wiki=sin_match: Kat Dennings https://es.wikipedia.org/wiki/Kat_Dennings,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p06,439,Doce de Octubre,localidad,Doce de Octubre,wiki=sin_match: Doce de Octubre https://es.wikipedia.org/wiki/Doce_de_Octubre,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p06,858,Dr. Domingo Harósteguy,localidad,Dr. Domingo Harósteguy,wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p06,767,D'Orbigny,localidad,D'Orbigny,wiki=sin_match: D'Orbigny https://es.wikipedia.org/wiki/D%27Orbigny,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p07,762,Duhau,localidad,Duhau,wiki=sin_match: Luis Duhau https://es.wikipedia.org/wiki/Luis_Duhau,,resuelto,regla:diferido-paso3
2.2-aproximado,v3_p07,769,Durañona,localidad,Durañona,wiki=aproximado: Duratón (Segovia) https://es.wikipedia.org/wiki/Durat%C3%B3n_(Segovia),,resuelto,revision_aproximados.csv:verbatim_paso3
2.2-sin_match,v3_p07,431,Durcudoy,localidad,Durcudoy,wiki=sin_match: Köksal Durusoy https://es.wikipedia.org/wiki/K%C3%B6ksal_Durusoy,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p07,866,Dussaud,localidad,Dussaud,wiki=sin_match: René Dussaud https://es.wikipedia.org/wiki/Ren%C3%A9_Dussaud,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p07,639,El Jabalí,localidad,El Jabalí,wiki=sin_match: El Jabalí https://es.wikipedia.org/wiki/El_Jabal%C3%AD,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p07,533,Elordi,localidad,Elordi,wiki=sin_match: Jacob Elordi https://es.wikipedia.org/wiki/Jacob_Elordi,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p07,86,Empalme San Vicente,localidad,Empalme San Vicente,wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p07,900,Encina,localidad,Encina,wiki=sin_match: Encina https://es.wikipedia.org/wiki/Encina,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p07,606,Enrique Fynn,localidad,Enrique Fynn,wiki=sin_match: Enrique Fynn https://es.wikipedia.org/wiki/Enrique_Fynn,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p08,661,Erize,localidad,Erize,wiki=sin_match: Erize https://es.wikipedia.org/wiki/Erize,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p08,328,Espigas,localidad,Espigas,wiki=sin_match: Espigas (Buenos Aires) https://es.wikipedia.org/wiki/Espigas_(Buenos_Aires),,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p08,663,Esther,localidad,Esther,wiki=sin_match: Esther https://es.wikipedia.org/wiki/Esther,,resuelto,regla:diferido-paso3
2.2-aproximado,v3_p08,722,Estomba,localidad,Estomba,wiki=aproximado: Estômbar https://es.wikipedia.org/wiki/Est%C3%B4mbar,,resuelto,revision_aproximados.csv:typo_transcripcion
2.2-sin_match,v3_p08,902,Fatraló,localidad,Fatraló,wiki=sin_match: Faraón https://es.wikipedia.org/wiki/Fara%C3%B3n,,resuelto,regla:diferido-paso3
2.2-aproximado,v3_p08,295,Ferré,localidad,Ferré,wiki=aproximado: Ferréz https://es.wikipedia.org/wiki/Ferr%C3%A9z,,resuelto,revision_aproximados.csv:verbatim_paso3
2.2-sin_match,v3_p08,589,Francisco Murature,localidad,Francisco Murature,wiki=sin_match: Francisco Murature https://es.wikipedia.org/wiki/Francisco_Murature,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p08,696,Fuerte Argentino,localidad,Fuerte Argentino,wiki=sin_match: Fuerte Argentino https://es.wikipedia.org/wiki/Fuerte_Argentino,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p09,830,García del Río,localidad,García del Río,wiki=sin_match: García del Río (Buenos Aires) https://es.wikipedia.org/wiki/Garc%C3%ADa_del_R%C3%ADo_(Buenos_Aires),,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p09,73,Gral. Alvarado (Miramar),localidad,Gral. Alvarado (Miramar),wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-aproximado,v3_p09,458,General Arias,localidad,General Arias,wiki=aproximado: General Artigas (Paraguay) https://es.wikipedia.org/wiki/General_Artigas_(Paraguay),,resuelto,revision_aproximados.csv:verbatim_paso3
2.2-sin_match,v3_p09,84,General Belgrano,localidad,General Belgrano,wiki=sin_match: General Belgrano https://es.wikipedia.org/wiki/General_Belgrano,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p09,80,Gral. Juan Madariaga,localidad,Gral. Juan Madariaga,wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p09,336,General Manuel J. Campos,localidad,General Manuel J. Campos,wiki=sin_match: General Manuel J. Campos https://es.wikipedia.org/wiki/General_Manuel_J._Campos,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p09,186,General O'Brien,localidad,General O'Brien,wiki=sin_match: General O'Brien https://es.wikipedia.org/wiki/General_O%27Brien,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p09,633,General Rondeau,localidad,General Rondeau,wiki=sin_match: General Rondeau (1828) https://es.wikipedia.org/wiki/General_Rondeau_(1828),,resuelto,regla:diferido-paso3
2.2-sin_sugerencia,v3_p09,7,General San Martín,localidad,General San Martín,wiki=sin_sugerencia:,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p09,7,General San Martín,localidad,General San Martín,wiki=sin_match: General San Martín https://es.wikipedia.org/wiki/General_San_Mart%C3%ADn,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p09,13,General Sarmiento,localidad,General Sarmiento,wiki=sin_match: General Sarmiento https://es.wikipedia.org/wiki/General_Sarmiento,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p09,81,General Viamonte,localidad,General Viamonte,wiki=sin_match: General Viamonte https://es.wikipedia.org/wiki/General_Viamonte,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p09,681,Girodías,localidad,Girodías,wiki=sin_match: Girodias https://es.wikipedia.org/wiki/Girodias,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p09,530,Girondo,localidad,Girondo,wiki=sin_match: Girondo (Buenos Aires) https://es.wikipedia.org/wiki/Girondo_(Buenos_Aires),,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p10,752,Gobernador Ayala,localidad,Gobernador Ayala,wiki=sin_match: Gobernador de Yaracuy https://es.wikipedia.org/wiki/Gobernador_de_Yaracuy,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p10,885,Gómez de la Vega,localidad,Gómez de la Vega,wiki=sin_match: Gomez de la Vega https://es.wikipedia.org/wiki/Gomez_de_la_Vega,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p10,93,González Chaves,localidad,González Chaves,wiki=sin_match: Abel González Chávez https://es.wikipedia.org/wiki/Abel_Gonz%C3%A1lez_Ch%C3%A1vez,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p10,886,González Risos,localidad,González Risos,wiki=sin_match: Consuelo González Ramos https://es.wikipedia.org/wiki/Consuelo_Gonz%C3%A1lez_Ramos,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p10,876,Gregorio Villafañe,localidad,Gregorio Villafañe,wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p10,326,Grumbein,localidad,Grumbein,wiki=sin_match: Grumesnil https://es.wikipedia.org/wiki/Grumesnil,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p10,400,Guanaco,localidad,Guanaco,wiki=sin_match: Guanaco https://es.wikipedia.org/wiki/Guanaco,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p10,724,Guido Spano,localidad,Guido Spano,wiki=sin_match: Guido Spano https://es.wikipedia.org/wiki/Guido_Spano,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p10,678,Gunther,localidad,Gunther,wiki=sin_match: Gunther https://es.wikipedia.org/wiki/Gunther,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p10,156,Hinojo,localidad,Hinojo,wiki=sin_match: Hinojo https://es.wikipedia.org/wiki/Hinojo,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p10,461,Hortensia,localidad,Hortensia,wiki=sin_match: Hortensia https://es.wikipedia.org/wiki/Hortensia,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p10,850,Huelén,localidad,Huelén,wiki=sin_match: Huelén https://es.wikipedia.org/wiki/Huel%C3%A9n,,resuelto,regla:diferido-paso3
2.2-aproximado,v3_p10,595,Huetel,localidad,Huetel,wiki=aproximado: Huete https://es.wikipedia.org/wiki/Huete,,resuelto,revision_aproximados.csv:verbatim_paso3
2.2-aproximado,v3_p10,851,Húsares,localidad,Húsares,wiki=aproximado: Húsar https://es.wikipedia.org/wiki/H%C3%BAsar,,resuelto,revision_aproximados.csv:verbatim_paso3
2.2-sin_match,v3_p11,811,Igarzábal,localidad,Igarzábal,wiki=sin_match: Rocío Igarzábal https://es.wikipedia.org/wiki/Roc%C3%ADo_Igarz%C3%A1bal,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p11,401,Ingeniero Balbín,localidad,Ingeniero Balbín,wiki=sin_match: Ingeniero Balbín https://es.wikipedia.org/wiki/Ingeniero_Balb%C3%ADn,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p11,650,Ingeniero Silveyra,localidad,Ingeniero Silveyra,wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p11,582,Ingeniero Williams,localidad,Ingeniero Williams,wiki=sin_match:,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p11,690,Iraizoz,localidad,Iraizoz,wiki=sin_match: Iráizoz https://es.wikipedia.org/wiki/Ir%C3%A1izoz,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p11,412,Iraola,localidad,Iraola,wiki=sin_match: Iraola (desambiguación) https://es.wikipedia.org/wiki/Iraola_(desambiguaci%C3%B3n),,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p11,454,Irene,localidad,Irene,wiki=sin_match: Irene https://es.wikipedia.org/wiki/Irene,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p11,472,Islas,localidad,Islas,wiki=sin_match: Islas https://es.wikipedia.org/wiki/Islas,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p11,725,Ivanowsky,localidad,Ivanowsky,wiki=sin_match: Mirko Ivanovski https://es.wikipedia.org/wiki/Mirko_Ivanovski,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p11,147,Jáuregui,localidad,Jáuregui,wiki=sin_match: Jáuregui https://es.wikipedia.org/wiki/J%C3%A1uregui,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p11,193,José A. Guisasola,localidad,José A. Guisasola,wiki=sin_match: José A. Guisasola https://es.wikipedia.org/wiki/Jos%C3%A9_A._Guisasola,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p11,415,José B. Casas,localidad,José B. Casas,wiki=sin_match: José B. Casas https://es.wikipedia.org/wiki/Jos%C3%A9_B._Casas,,resuelto,regla:diferido-paso3
2.2-aproximado,v3_p11,614,José Ferrari,localidad,José Ferrari,wiki=aproximado: José Ferrarini https://es.wikipedia.org/wiki/Jos%C3%A9_Ferrarini,,resuelto,revision_aproximados.csv:verbatim_paso3
2.2-sin_match,v3_p11,113,José M. Blanco,localidad,José M. Blanco,wiki=sin_match: José Bianco https://es.wikipedia.org/wiki/Jos%C3%A9_Bianco,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p11,642,José M. Micheo,localidad,José M. Micheo,wiki=sin_match: José Michelena https://es.wikipedia.org/wiki/Jos%C3%A9_Michelena,,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p11,617,José Santos Arévalo,localidad,José Santos Arévalo,wiki=sin_match: José Santos Arévalo (Buenos Aires) https://es.wikipedia.org/wiki/Jos%C3%A9_Santos_Ar%C3%A9valo_(Buenos_Aires),,resuelto,regla:diferido-paso3
2.2-sin_match,v3_p11,158,Juan B. Alberdi,localidad,Juan B. Alberdi,wiki=sin_match: Juan B. Alberdi https://es.wikipedia.org/wiki/Juan_B._Alberdi,,resuelto,regla:diferido-paso3
