page,n_orden,localidad,provincia,departamento,tipo_match,motivo
v3_p05,469,Cucha-Cucha,Buenos Aires,Chacabuco,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p05,646,Cuculú,Buenos Aires,San Andrés de Giles,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p06,776,Chamaicó,La Pampa,Rancul,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p06,849,Choique,Buenos Aires,Tornquist,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p06,353,Curumalán,Buenos Aires,Coronel Suárez,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p06,767,D'Orbigny,Buenos Aires,Coronel Suárez,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p06,465,Damián Maisonave,La Pampa,Realicó,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p06,402,Defferrari,Buenos Aires,San Cayetano,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p06,564,Denhny,Buenos Aires,9 de Julio,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p06,439,Doce de Octubre,Buenos Aires,9 de Julio,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p06,858,Dr. Domingo Harósteguy,Buenos Aires,Las Flores,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p07,762,Duhau,Buenos Aires,Trenque Lauquen,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p07,431,Durcudoy,Buenos Aires,Puán,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p07,866,Dussaud,Buenos Aires,General Pinto,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p07,639,El Jabalí,Buenos Aires,9 de Julio,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p07,533,Elordi,Buenos Aires,General Villegas,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p07,86,Empalme San Vicente,Buenos Aires,San Vicente,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p07,900,Encina,Buenos Aires,Carlos Tejedor,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p07,606,Enrique Fynn,Buenos Aires,General Las Heras,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p08,661,Erize,Buenos Aires,Puán,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p08,328,Espigas,Buenos Aires,Olavarría,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p08,663,Esther,Buenos Aires,Saladillo,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p08,902,Fatraló,Buenos Aires,Guaminí,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p08,589,Francisco Murature,Buenos Aires,Adolfo Alsina,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p08,696,Fuerte Argentino,Buenos Aires,Tornquist,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p09,830,García del Río,Buenos Aires,Tornquist,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p09,84,General Belgrano,Buenos Aires,General Belgrano,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p09,336,General Manuel J. Campos,La Pampa,Guatraché,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p09,186,General O'Brien,Buenos Aires,Bragado,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p09,633,General Rondeau,Buenos Aires,Puán,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p09,7,General San Martín,Buenos Aires,General San Martín,sin_sugerencia,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p09,7,General San Martín,La Pampa,Hucal,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p09,13,General Sarmiento,Buenos Aires,General Sarmiento,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p09,81,General Viamonte,Buenos Aires,General Viamonte,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p09,681,Girodías,Buenos Aires,Trenque Lauquen,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p09,530,Girondo,Buenos Aires,Pehuajó,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p09,73,Gral. Alvarado (Miramar),Buenos Aires,General Alvarado,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p09,80,Gral. Juan Madariaga,Buenos Aires,Gral. Juan Madariaga,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p10,752,Gobernador Ayala,La Pampa,Puelén,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p10,93,González Chaves,Buenos Aires,González Chaves,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p10,886,González Risos,Buenos Aires,Navarro,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p10,876,Gregorio Villafañe,Buenos Aires,Chacabuco,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p10,326,Grumbein,Buenos Aires,Bahía Blanca,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p10,400,Guanaco,Buenos Aires,Pehuajó,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p10,724,Guido Spano,Buenos Aires,Rojas,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p10,678,Gunther,Buenos Aires,General Pinto,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p10,885,Gómez de la Vega,Buenos Aires,Brandsen,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p10,156,Hinojo,Buenos Aires,Olavarría,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p10,461,Hortensia,Buenos Aires,Carlos Casares,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p10,850,Huelén,La Pampa,Quemú-Quemú,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p11,811,Igarzábal,Buenos Aires,Patagones,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p11,401,Ingeniero Balbín,Buenos Aires,General Pinto,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p11,650,Ingeniero Silveyra,Buenos Aires,Chacabuco,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p11,582,Ingeniero Williams,Buenos Aires,Navarro,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p11,690,Iraizoz,Buenos Aires,General Alvarado,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p11,412,Iraola,Buenos Aires,Tandil,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p11,454,Irene,Buenos Aires,Coronel Dorrego,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p11,472,Islas,Buenos Aires,25 de Mayo,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p11,725,Ivanowsky,La Pampa,Catriló,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p11,193,José A. Guisasola,Buenos Aires,Coronel Dorrego,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p11,415,José B. Casas,Buenos Aires,Patagones,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p11,113,José M. Blanco,Buenos Aires,Pellegrini,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p11,642,José M. Micheo,Buenos Aires,General Alvear,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p11,617,José Santos Arévalo,Buenos Aires,Lobos,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p11,158,Juan B. Alberdi,Buenos Aires,Leandro N. Alem,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p11,500,Juan Blaquier,Buenos Aires,Saladillo,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p11,147,Jáuregui,Buenos Aires,Luján,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p12,418,Juan J. Almeyra,Buenos Aires,Navarro,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p12,136,Juan N. Fernández,Buenos Aires,Necochea,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p12,588,Julio Arditi,Buenos Aires,Magdalena,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p12,907,Kenny,Buenos Aires,Carmen de Areco,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p12,815,Krabbe,Buenos Aires,Coronel Pringles,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p12,781,La Japonesa,La Pampa,Cura-Co,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p12,728,La Nevada,Buenos Aires,Guaminí,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p12,373,La Nueva Plata,Buenos Aires,Pehuajó,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p12,426,Lago Epecuén,Buenos Aires,Adolfo Alsina,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p13,608,La Paz Chica,Buenos Aires,Roque Pérez,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p13,593,La Porteña,Buenos Aires,Trenque Lauquen,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p13,797,La Primavera,Buenos Aires,Coronel Suárez,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p13,707,La Zanja,Buenos Aires,Trenque Lauquen,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p13,743,Las Hermanas,Buenos Aires,Laprida,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p13,847,Las Juanitas,Buenos Aires,Pehuajó,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p13,720,Las Palmas,Buenos Aires,Zárate,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p13,854,Las Parvas,Buenos Aires,Junín,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p14,598,Lia Calel,Buenos Aires,Tres Arroyos,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p14,662,Los Laureles,Buenos Aires,General Villegas,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p14,785,Maguirre,Buenos Aires,Pergamino,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p14,462,Mamaguita,Buenos Aires,25 de Mayo,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p14,545,Manuel J. García,Buenos Aires,Mercedes,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p14,220,Manuel Ocampo,Buenos Aires,Pergamino,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p15,551,M. Colman,Buenos Aires,Rauch,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p15,573,Mari Lauquen,Buenos Aires,Trenque Lauquen,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p15,772,Martín Fierro,Buenos Aires,Azul,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p15,658,Miramonte,Buenos Aires,Azul,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p15,837,Moores,Buenos Aires,General Villegas,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p16,793,Napostá,Buenos Aires,Bahía Blanca,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p16,240,O'Higgins,Buenos Aires,Chacabuco,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p16,664,Ombucta,Buenos Aires,Villarino,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p16,671,Ortiz de Rozas,Buenos Aires,25 de Mayo,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p17,873,Pasteur,Buenos Aires,General Pinto,sin_sugerencia,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p17,873,Pasteur,Buenos Aires,Lincoln,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p17,668,Pedro P. Lasalle,Buenos Aires,González Chaves,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p17,906,Pehuelches,Buenos Aires,Pellegrini,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p17,738,Pozos Kanki,Buenos Aires,General Pinto,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p17,841,Pradere,Buenos Aires,General Villegas,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p18,809,Presidente Quintana,Buenos Aires,Alberti,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p18,631,Pueblitos,Buenos Aires,25 de Mayo,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p18,502,Puelches,La Pampa,Cura-Có,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p18,126,Puerto Belgrano,Buenos Aires,Cnel. de Mar. L.N.Rosales,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p18,45,Puerto de la Plata,Buenos Aires,,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p18,553,Punta Indio,Buenos Aires,Magdalena,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p18,660,Quiñihual,Buenos Aires,Coronel Suárez,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p18,731,Ramón J. Neild,Buenos Aires,9 de Julio,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p18,540,Remecó,La Pampa,Guatraché,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p18,816,Rivadeo,Buenos Aires,Puán,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p19,522,Roberto J. Payró,Buenos Aires,Magdalena,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p19,896,Rolito,Buenos Aires,Guaminí,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p19,237,San Agustín,Buenos Aires,Balcarce,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p20,525,San Mauricio,Buenos Aires,Rivadavia,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p20,378,San Patricio,Buenos Aires,Chacabuco,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p20,43,San Pedro,Buenos Aires,San Pedro,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p20,501,Santa Teresita,Buenos Aires,General Lavalle,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p20,621,Santiago Larré,Buenos Aires,Roque Pérez,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p21,9,3 de Febrero,Buenos Aires,3 de Febrero,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p21,513,Spurr,Buenos Aires,Bahía Blanca,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p21,693,Stegman,Buenos Aires,Coronel Pringles,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p21,890,Tacuarí,Buenos Aires,Salto,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p21,733,Tambo Nuevo,Buenos Aires,Pergamino,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p21,665,Tatay,Buenos Aires,Carmen de Areco,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p21,18,Tigre,Buenos Aires,Tigre,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p21,575,Tomás M. Anchorena,La Pampa,Atreucó,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p21,480,Tte. Gral. Emilio Mitre,La Pampa,Conhello,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p21,705,Tuyutí,Buenos Aires,San Andrés de Giles,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p22,354,Urquiza,Buenos Aires,Pergamino,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p22,488,Vieytes,Buenos Aires,Magdalena,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p22,215,Villa Numancia,Buenos Aires,San Vicente,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p22,794,Víboras,Buenos Aires,Puán,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v3_p23,583,Zapiola,Buenos Aires,Lobos,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p01,757,Arroyo Alvarez,Córdoba,Río Segundo,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p02,666,Asunta,Córdoba,Juárez Celman,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p03,643,Candelaria Norte,Córdoba,Río Seco,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p03,413,Canteras el Sauce,Córdoba,Colón,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p03,480,Cap. de la Sgrda. Familia,Córdoba,Río Primero,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p03,584,Capilla del Carmen,Córdoba,Río Segundo,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p03,722,Capilla del Romero,Córdoba,San Javier,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p03,772,Casaffousth,Córdoba,Punilla,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p03,124,Cañada Verde,Córdoba,General Roca,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p03,701,Cañada de Alvarez,Córdoba,Calamuchita,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p04,498,Cello,Santa Fe,Castellanos,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p04,299,Centeno,Santa Fe,San Jerónimo,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p04,745,Ciénaga de Allende,Córdoba,San Alberto,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p04,400,Clucellas,Santa Fe,Castellanos,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p04,723,Colonia Coyunda,Córdoba,San Justo,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p04,127,Colonia Ella,Santa Fe,General Obligado,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p04,541,Colonia O'Higgins,Córdoba,Marcos Juárez,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p04,644,Colonia el Carmen,Córdoba,Río Cuarto,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p04,425,Colonia la Tordilla,Córdoba,San Justo,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p04,191,Concepción del Tío,Córdoba,San Justo,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p05,285,Chateaubriand,Santa Fe,General López,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p05,738,Chañaritos,Córdoba,Río Cuarto,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p05,557,Chuña,Córdoba,Ischilín,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p05,408,Coronel Domínguez,Santa Fe,Rosario,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p05,774,Cotagaita,Córdoba,San Justo,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p05,718,Cruz Chica,Córdoba,Punilla,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p05,603,Curapaligüe,Córdoba,Pte. Roque Sáenz Peña,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p06,732,De la Serna,Córdoba,General Roca,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p06,667,Desvío Km. 691,Córdoba,Río Primero,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p06,759,Desvío las Mojarras,Córdoba,General San Martín,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p06,682,El Cano,Córdoba,Calamuchita,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p06,705,El Chacho,Córdoba,Minas,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p06,62,El Trébol,Santa Fe,San Martín,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p06,146,Empalme V. Constitución,Santa Fe,Constitución,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p06,703,Esther,Santa Fe,San Justo,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p07,676,Fragueyro,Córdoba,Río Cuarto,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p07,697,Fray Cayetano Rodríguez,Córdoba,Pte. Roque Sáenz Peña,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p07,192,Froilán Palacios,Santa Fe,Iriondo,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
v4_p07,232,Gaboto,Santa Fe,San Jerónimo,sin_match,sin articulo Wikipedia -> canonizacion en Paso 3 (Georef)
