provincia,departamento_crudo,departamento_canonico,clave_norm,status,motivo
Buenos Aires,General Viamonte,General Viamonte,GENERALVIAMONTE,unico,
Buenos Aires,Cnel. de Mar. L.N.Rosales,Coronel de Marina Leonardo Rosales,CNELDEMARLNROSALES,resuelto-humano,
Buenos Aires,Tres Arroyos,Tres Arroyos,TRESARROYOS,unico,
Buenos Aires,General Lavalle,General Lavalle,GENERALLAVALLE,unico,
Buenos Aires,Balcarce,Balcarce,BALCARCE,unico,
Buenos Aires,General Villegas,General Villegas,GENERALVILLEGAS,unico,
Buenos Aires,Juárez,Juárez,JUAREZ,unico,
Buenos Aires,Coronel Suárez,Coronel Suárez,CORONELSUAREZ,unico,
Buenos Aires,Escobar,Escobar,ESCOBAR,unico,
Buenos Aires,Carlos Casares,Carlos Casares,CARLOSCASARES,unico,
Buenos Aires,Chivilcoy,Chivilcoy,CHIVILCOY,unico,
Buenos Aires,Tornquist,Tornquist,TORNQUIST,unico,
Buenos Aires,Berisso,Berisso,BERISSO,unico,
Buenos Aires,Trenque Lauquen,Trenque Lauquen,TRENQUELAUQUEN,unico,
Buenos Aires,Olavarría,Olavarría,OLAVARRIA,unico,
Buenos Aires,Pellegrini,Pellegrini,PELLEGRINI,unico,
Buenos Aires,Bolívar,Bolívar,BOLIVAR,unico,
Buenos Aires,Mar Chiquita,Mar Chiquita,MARCHIQUITA,unico,
Buenos Aires,General Pueyrredón,General Pueyrredón,GENERALPUEYRREDON,unico,
Buenos Aires,Campana,Campana,CAMPANA,unico,
Buenos Aires,San Nicolás,San Nicolás,SANNICOLAS,unico,
Buenos Aires,Cañuelas,Cañuelas,CANUELAS,unico,
Buenos Aires,Rojas,Rojas,ROJAS,unico,
Buenos Aires,Roque Pérez,Roque Pérez,ROQUEPEREZ,unico,
Buenos Aires,Luján,Luján,LUJAN,unico,
Buenos Aires,Carlos Tejedor,Carlos Tejedor,CARLOSTEJEDOR,unico,
Buenos Aires,Carmen de Areco,Carmen de Areco,CARMENDEARECO,unico,
Buenos Aires,Pila,Pila,PILA,unico,
Buenos Aires,Castelli,Castelli,CASTELLI,unico,
Buenos Aires,Chacabuco,Chacabuco,CHACABUCO,unico,
Buenos Aires,Rivadavia,Rivadavia,RIVADAVIA,unico,
Buenos Aires,Necochea,Necochea,NECOCHEA,unico,
Buenos Aires,Colón,Colón,COLON,unico,
Buenos Aires,Marcos Paz,Marcos Paz,MARCOSPAZ,unico,
Buenos Aires,San Pedro,San Pedro,SANPEDRO,unico,
Buenos Aires,General Alvarado,General Alvarado,GENERALALVARADO,unico,
Buenos Aires,Las Flores,Las Flores,LASFLORES,unico,
Buenos Aires,Coronel Pringles,Coronel Pringles,CORONELPRINGLES,unico,
Buenos Aires,San Cayetano,San Cayetano,SANCAYETANO,unico,
Buenos Aires,Rauch,Rauch,RAUCH,unico,
Buenos Aires,González Chaves,González Chaves,GONZALEZCHAVES,unico,
Buenos Aires,Pilar,Pilar,PILAR,unico,
Buenos Aires,Dolores,Dolores,DOLORES,unico,
Buenos Aires,San Vicente,San Vicente,SANVICENTE,unico,
Buenos Aires,San Antonio de Areco,San Antonio de Areco,SANANTONIODEARECO,unico,
Buenos Aires,Leandro N. Alem,Leandro N. Alem,LEANDRONALEM,unico,
Buenos Aires,Lobería,Lobería,LOBERIA,unico,
Buenos Aires,Ramallo,Ramallo,RAMALLO,unico,
Buenos Aires,General Alvear,General Alvear,GENERALALVEAR,unico,
Buenos Aires,General Las Heras,General Las Heras,GENERALLASHERAS,unico,
Buenos Aires,Hipólito Yrigoyen,Hipólito Yrigoyen,HIPOLITOYRIGOYEN,unico,
Buenos Aires,Ensenada,Ensenada,ENSENADA,unico,
Buenos Aires,Esteban Echeverría,Esteban Echeverría,ESTEBANECHEVERRIA,unico,
Buenos Aires,Florencio Varela,Florencio Varela,FLORENCIOVARELA,unico,
Buenos Aires,General Belgrano,General Belgrano,GENERALBELGRANO,unico,
Buenos Aires,Tordillo,Tordillo,TORDILLO,unico,
Buenos Aires,General Guido,General Guido,GENERALGUIDO,unico,
Buenos Aires,Gral. Juan Madariaga,General Juan Madariaga,GRALJUANMADARIAGA,resuelto-humano,
Buenos Aires,General Lamadrid,General Lamadrid,GENERALLAMADRID,unico,
Buenos Aires,General Rodríguez,General Rodríguez,GENERALRODRIGUEZ,unico,
Buenos Aires,General San Martín,General San Martín,GENERALSANMARTIN,unico,
Buenos Aires,General Sarmiento,General Sarmiento,GENERALSARMIENTO,unico,
Buenos Aires,,,,flag-vacio,departamento vacio (footnote 2?)
Buenos Aires,General J. Madariaga,General Juan Madariaga,GENERALJMADARIAGA,resuelto-humano,
Buenos Aires,La Matanza,La Matanza,LAMATANZA,unico,
Buenos Aires,Lanús,Lanús,LANUS,unico,
Buenos Aires,La Plata,La Plata,LAPLATA,unico,
Buenos Aires,Laprida,Laprida,LAPRIDA,unico,
Buenos Aires,Maipú,Maipú,MAIPU,unico,
Buenos Aires,Lomas de Zamora,Lomas de Zamora,LOMASDEZAMORA,unico,
Buenos Aires,Merlo,Merlo,MERLO,unico,
Buenos Aires,Moreno,Moreno,MORENO,unico,
Buenos Aires,Morón,Morón,MORON,unico,
Buenos Aires,General Madariaga,General Juan Madariaga,GENERALMADARIAGA,resuelto-humano,
Buenos Aires,Quilmes,Quilmes,QUILMES,unico,
Buenos Aires,Suipacha,Suipacha,SUIPACHA,unico,
Buenos Aires,San Fernando,San Fernando,SANFERNANDO,unico,
Buenos Aires,San Isidro,San Isidro,SANISIDRO,unico,
Buenos Aires,Tigre,Tigre,TIGRE,unico,
Buenos Aires,3 de Febrero,3 de Febrero,3DEFEBRERO,unico,
Buenos Aires,Vicente López,Vicente López,VICENTELOPEZ,unico,
Catamarca,Capayán,Capayán,CAPAYAN,unico,
Catamarca,Santa Rosa,Santa Rosa,SANTAROSA,unico,
Catamarca,Ancasti,Ancasti,ANCASTI,unico,
Catamarca,Andalgalá,Andalgalá,ANDALGALA,unico,
Catamarca,Antofagasta de la Sierra,Antofagasta de la Sierra,ANTOFAGASTADELASIERRA,unico,
Catamarca,Paclín,Paclín,PACLIN,unico,
Catamarca,Belén,Belén,BELEN,unico,
Catamarca,Capital,Capital,CAPITAL,unico,
Catamarca,Tinogasta,Tinogasta,TINOGASTA,unico,
Catamarca,Pomán,Pomán,POMAN,unico,
Catamarca,Valle Viejo,Valle Viejo,VALLEVIEJO,unico,
Catamarca,Santa María,Santa María,SANTAMARIA,unico,
Catamarca,Ambato,Ambato,AMBATO,unico,
Catamarca,La Paz,La Paz,LAPAZ,unico,
Catamarca,Fray Mamerto Esquiú,Fray Mamerto Esquiú,FRAYMAMERTOESQUIU,unico,
Catamarca,El Alto,El Alto,ELALTO,unico,
Chaco,Independencia,Independencia,INDEPENDENCIA,unico,
Chaco,San Fernando,San Fernando,SANFERNANDO,unico,
Chaco,Primero de Mayo,Primero de Mayo,PRIMERODEMAYO,unico,
Chaco,Sargento Cabral,Sargento Cabral,SARGENTOCABRAL,unico,
Chaco,General Güemes,General Güemes,GENERALGUEMES,unico,
Chaco,Mayor Luis J. Fontana,Mayor Luis J. Fontana,MAYORLUISJFONTANA,unico,
Chaco,Lib. Gral. San Martín,Lib. Gral. San Martín,LIBGRALSANMARTIN,unico,
Chaco,Almirante Brown,Almirante Brown,ALMIRANTEBROWN,unico,
Chaco,General Belgrano,General Belgrano,GENERALBELGRANO,unico,
Chaco,Tapenagá,Tapenagá,TAPENAGA,unico,
Chaco,Chacabuco,Chacabuco,CHACABUCO,unico,
Chaco,Fray J. Sta. María de Oro,Fray J. Sta. María de Oro,FRAYJSTAMARIADEORO,unico,
Chaco,Presidencia de la Plaza,Presidencia de la Plaza,PRESIDENCIADELAPLAZA,unico,
Chaco,Libertad,Libertad,LIBERTAD,unico,
Chaco,Doce de Octubre,Doce de Octubre,DOCEDEOCTUBRE,unico,
Chaco,Bermejo,Bermejo,BERMEJO,unico,
Chaco,Cap. Gral. O'Higgins,Cap. Gral. O'Higgins,CAPGRALOHIGGINS,unico,
Chaco,General Donovan,General Donovan,GENERALDONOVAN,unico,
Chaco,Nueve de Julio,Nueve de Julio,NUEVEDEJULIO,unico,
Chaco,Veinticinco de Mayo,Veinticinco de Mayo,VEINTICINCODEMAYO,unico,
Chaco,Maipú,Maipú,MAIPU,unico,
Chaco,Comandante Fernández,Comandante Fernández,COMANDANTEFERNANDEZ,unico,
Chaco,Quitilipi,Quitilipi,QUITILIPI,unico,
Chaco,San Lorenzo,San Lorenzo,SANLORENZO,unico,
Chubut,Río Senguerr,Río Senguer,RIOSENGUERR,resuelto-humano,
Chubut,Escalante,Escalante,ESCALANTE,unico,
Chubut,Sarmiento,Sarmiento,SARMIENTO,unico,
Chubut,Florentino Ameghino,Florentino Ameghino,FLORENTINOAMEGHINO,unico,
Chubut,Languiñeo,Languiñeo,LANGUINEO,unico,
Chubut,Futaleufú,Futaleufú,FUTALEUFU,unico,
Chubut,Cushamen,Cushamen,CUSHAMEN,unico,
Chubut,Gaiman,Gaiman,GAIMAN,unico,
Chubut,Río Senguer,Río Senguer,RIOSENGUER,unico,
Chubut,Telsen,Telsen,TELSEN,unico,
Chubut,Gastre,Gastre,GASTRE,unico,
Chubut,Tehuelches,Tehuelches,TEHUELCHES,unico,
Chubut,Mártires,Mártires,MARTIRES,unico,
Chubut,Paso de Indios,Paso de Indios,PASODEINDIOS,unico,
Chubut,Biedma,Biedma,BIEDMA,unico,
Chubut,Chubut,Chubut,CHUBUT,unico,
Chubut,Rawson,Rawson,RAWSON,unico,
Corrientes,Monte Caseros,Monte Caseros,MONTECASEROS,unico,
Corrientes,General Alvear,General Alvear,GENERALALVEAR,unico,
Corrientes,Ituzaingó,Ituzaingó,ITUZAINGO,unico,
Corrientes,Curuzú Cuatiá,Curuzú Cuatiá,CURUZUCUATIA,unico,
Corrientes,Bella Vista,Bella Vista,BELLAVISTA,unico,
Corrientes,Berón de Astrada,Berón de Astrada,BERONDEASTRADA,unico,
Corrientes,Paso de los Libres,Paso de los Libres,PASODELOSLIBRES,unico,
Corrientes,Sauce,Sauce,SAUCE,unico,
Corrientes,Santo Tomé,Santo Tomé,SANTOTOME,unico,
Corrientes,General Paz,General Paz,GENERALPAZ,unico,
Corrientes,San Martín,San Martín,SANMARTIN,unico,
Corrientes,Goya,Goya,GOYA,unico,
Corrientes,San Roque,San Roque,SANROQUE,unico,
Corrientes,Concepción,Concepción,CONCEPCION,unico,
Corrientes,Capital,Capital,CAPITAL,unico,
Corrientes,Empedrado,Empedrado,EMPEDRADO,unico,
Corrientes,San Cosme,San Cosme,SANCOSME,unico,
Corrientes,Esquina,Esquina,ESQUINA,unico,
Corrientes,Lavalle,Lavalle,LAVALLE,unico,
Corrientes,San Luis del Palmar,San Luis del Palmar,SANLUISDELPALMAR,unico,
Corrientes,Itatí,Itatí,ITATI,unico,
Corrientes,San Miguel,San Miguel,SANMIGUEL,unico,
Corrientes,Mburucuyá,Mburucuyá,MBURUCUYA,unico,
Corrientes,Mercedes,Mercedes,MERCEDES,unico,
Corrientes,Saladas,Saladas,SALADAS,unico,
Córdoba,Río Cuarto,Río Cuarto,RIOCUARTO,unico,
Córdoba,Colón,Colón,COLON,unico,
Córdoba,Minas,Minas,MINAS,unico,
Córdoba,Juárez Celman,Juárez Celman,JUAREZCELMAN,unico,
Córdoba,Marcos Juárez,Marcos Juárez,MARCOSJUAREZ,unico,
Córdoba,San Justo,San Justo,SANJUSTO,unico,
Córdoba,Tercero Arriba,Tercero Arriba,TERCEROARRIBA,unico,
Córdoba,Santa María,Santa María,SANTAMARIA,unico,
Córdoba,San Alberto,San Alberto,SANALBERTO,unico,
Córdoba,Unión,Unión,UNION,unico,
Córdoba,Calamuchita,Calamuchita,CALAMUCHITA,unico,
Córdoba,General San Martín,General San Martín,GENERALSANMARTIN,unico,
Córdoba,Río Segundo,Río Segundo,RIOSEGUNDO,unico,
Córdoba,Ischilín,Ischilín,ISCHILIN,unico,
Córdoba,Punilla,Punilla,PUNILLA,unico,
Córdoba,General Roca,General Roca,GENERALROCA,unico,
Córdoba,Sobremonte,Sobremonte,SOBREMONTE,unico,
Córdoba,Totoral,Totoral,TOTORAL,unico,
Córdoba,Cruz del Eje,Cruz del Eje,CRUZDELEJE,unico,
Córdoba,Río Seco,Río Seco,RIOSECO,unico,
Córdoba,Río Primero,Río Primero,RIOPRIMERO,unico,
Córdoba,San Javier,San Javier,SANJAVIER,unico,
Córdoba,Capital,Capital,CAPITAL,unico,
Córdoba,Pte. Roque Sáenz Peña,Pte. Roque Sáenz Peña,PTEROQUESAENZPENA,unico,
Córdoba,Pocho,Pocho,POCHO,unico,
Córdoba,Tulumba,Tulumba,TULUMBA,unico,
Entre Ríos,La Paz,La Paz,LAPAZ,unico,
Entre Ríos,Gualeguay,Gualeguay,GUALEGUAY,unico,
Entre Ríos,Diamante,Diamante,DIAMANTE,unico,
Entre Ríos,Paraná,Paraná,PARANA,unico,
Entre Ríos,Gualeguaychú,Gualeguaychú,GUALEGUAYCHU,unico,
Entre Ríos,Tala,Tala,TALA,unico,
Entre Ríos,Victoria,Victoria,VICTORIA,unico,
Entre Ríos,Colón,Colón,COLON,unico,
Entre Ríos,Uruguay,Uruguay,URUGUAY,unico,
Entre Ríos,Nogoyá,Nogoyá,NOGOYA,unico,
Entre Ríos,Concordia,Concordia,CONCORDIA,unico,
Entre Ríos,Federación,Federación,FEDERACION,unico,
Entre Ríos,Villaguay,Villaguay,VILLAGUAY,unico,
Entre Ríos,Feliciano,Feliciano,FELICIANO,unico,
Formosa,Patiño,Patiño,PATINO,unico,
Formosa,Pilagás,Pilagás,PILAGAS,unico,
Formosa,Pilcomayo,Pilcomayo,PILCOMAYO,unico,
Formosa,Pirané,Pirané,PIRANE,unico,
Formosa,Ramón Lista,Ramón Lista,RAMONLISTA,unico,
Formosa,Formosa,Formosa,FORMOSA,unico,
Formosa,Laishí,Laishí,LAISHI,unico,
Formosa,Matacos,Matacos,MATACOS,unico,
Formosa,Bermejo,Bermejo,BERMEJO,unico,
Jujuy,Cochinoca,Cochinoca,COCHINOCA,unico,
Jujuy,Ledesma,Ledesma,LEDESMA,unico,
Jujuy,Yaví,Yaví,YAVI,unico,
Jujuy,Rinconada,Rinconada,RINCONADA,unico,
Jujuy,Valle Grande,Valle Grande,VALLEGRANDE,unico,
Jujuy,Susques,Susques,SUSQUES,unico,
Jujuy,Santa Catalina,Santa Catalina,SANTACATALINA,unico,
Jujuy,Humahuaca,Humahuaca,HUMAHUACA,unico,
Jujuy,El Carmen,El Carmen,ELCARMEN,unico,
Jujuy,Tumbaya,Tumbaya,TUMBAYA,unico,
Jujuy,Santa Bárbara,Santa Bárbara,SANTABARBARA,unico,
Jujuy,San Pedro,San Pedro,SANPEDRO,unico,
Jujuy,Tilcara,Tilcara,TILCARA,unico,
Jujuy,Capital,Capital,CAPITAL,unico,
Jujuy,San Antonio,San Antonio,SANANTONIO,unico,
La Pampa,Hucal,Hucal,HUCAL,unico,
La Pampa,Realicó,Realicó,REALICO,unico,
La Pampa,Maracó,Maracó,MARACO,unico,
La Pampa,Chical-Có,Chical-Có,CHICALCO,unico,
La Pampa,Guatraché,Guatraché,GUATRACHE,unico,
La Pampa,Capital,Capital,CAPITAL,unico,
La Pampa,Caleu-Caleu,Caleu-Caleu,CALEUCALEU,unico,
La Pampa,Trenel,Trenel,TRENEL,unico,
La Pampa,Utracán,Utracán,UTRACAN,unico,
La Pampa,Atreucó,Atreucó,ATREUCO,unico,
La Pampa,Chapaleufú,Chapaleufú,CHAPALEUFU,unico,
La Pampa,Conhello,Conhello,CONHELLO,unico,
La Pampa,Toay,Toay,TOAY,unico,
La Pampa,Rancul,Rancul,RANCUL,unico,
La Pampa,Leventué,Loventué,LEVENTUE,resuelto-humano,
La Pampa,Catriló,Catriló,CATRILO,unico,
La Pampa,Quemú-Quemú,Quemú-Quemú,QUEMUQUEMU,unico,
La Pampa,Puelén,Puelén,PUELEN,unico,
La Pampa,Lihuel-Calel,Lihuel-Calel,LIHUELCALEL,unico,
La Pampa,Chalileo,Chalileo,CHALILEO,unico,
La Pampa,Cura-Co,Cura-Có,CURACO,resuelto-humano,cluster CURACO: Cura-Co(1)/Cura-Có(1)
La Pampa,Cura-Có,Cura-Có,CURACO,resuelto-humano,cluster CURACO: Cura-Co(1)/Cura-Có(1)
La Pampa,Caseros,Caseros,CASEROS,unico,
La Pampa,Limay-Mahuída,Limay-Mahuída,LIMAYMAHUIDA,unico,
La Pampa,Loventué,Loventué,LOVENTUE,unico,
La Rioja,General San Martín,General San Martín,GENERALSANMARTIN,unico,
La Rioja,Arauco,Arauco,ARAUCO,unico,
La Rioja,San Blas de los Sauces,San Blas de los Sauces,SANBLASDELOSSAUCES,unico,
La Rioja,General Ocampo,General Ocampo,GENERALOCAMPO,unico,
La Rioja,Castro Barros,Castro Barros,CASTROBARROS,unico,
La Rioja,Chilecito,Chilecito,CHILECITO,unico,
La Rioja,General Lavalle,General Lavalle,GENERALLAVALLE,unico,
La Rioja,General Gordillo,Gobernador Gordillo,GENERALGORDILLO,resuelto-humano,
La Rioja,Famatina,Famatina,FAMATINA,unico,
La Rioja,General Belgrano,General Belgrano,GENERALBELGRANO,unico,
La Rioja,Capital,Capital,CAPITAL,unico,
La Rioja,Gobernador Gordillo,Gobernador Gordillo,GOBERNADORGORDILLO,unico,
La Rioja,General Roca,General Roca,GENERALROCA,unico,
La Rioja,Rivadavia,Rivadavia,RIVADAVIA,unico,
La Rioja,General Sarmiento,General Sarmiento,GENERALSARMIENTO,unico,
La Rioja,Independencia,Independencia,INDEPENDENCIA,unico,
La Rioja,Vélez Sarsfield,Vélez Sarsfield,VELEZSARSFIELD,unico,
La Rioja,Sanagasta,Sanagasta,SANAGASTA,unico,
La Rioja,General Lamadrid,General Lamadrid,GENERALLAMADRID,unico,
Mendoza,Malargüe,Malargüe,MALARGUE,unico,
Mendoza,Las Heras,Las Heras,LASHERAS,unico,
Mendoza,Rivadavia,Rivadavia,RIVADAVIA,unico,
Mendoza,General Alvear,General Alvear,GENERALALVEAR,unico,
Mendoza,San Rafael,San Rafael,SANRAFAEL,unico,
Mendoza,Luján,Luján,LUJAN,unico,
Mendoza,Maipú,Maipú,MAIPU,unico,
Mendoza,Lavalle,Lavalle,LAVALLE,unico,
Mendoza,San Carlos,San Carlos,SANCARLOS,unico,
Mendoza,Godoy Cruz,Godoy Cruz,GODOYCRUZ,unico,
Mendoza,Guaymallén,Guaymallén,GUAYMALLEN,unico,
Mendoza,Junín,Junín,JUNIN,unico,
Mendoza,Santa Rosa,Santa Rosa,SANTAROSA,unico,
Mendoza,Capital,Capital,CAPITAL,unico,
Mendoza,San Martín,San Martín,SANMARTIN,unico,
Mendoza,Tunuyán,Tunuyán,TUNUYAN,unico,
Mendoza,La Paz,La Paz,LAPAZ,unico,
Mendoza,Tupungato,Tupungato,TUPUNGATO,unico,
Misiones,25 de Mayo,25 de Mayo,25DEMAYO,unico,
Misiones,Leandro N. Alem,Leandro N. Alem,LEANDRONALEM,unico,
Misiones,Apóstoles,Apóstoles,APOSTOLES,unico,
Misiones,Cainguás,Cainguás,CAINGUAS,unico,
Misiones,General Belgrano,General Belgrano,GENERALBELGRANO,unico,
Misiones,Candelaria,Candelaria,CANDELARIA,unico,
Misiones,Oberá,Oberá,OBERA,unico,
Misiones,Lib. Gral. San Martín,Lib. Gral. San Martín,LIBGRALSANMARTIN,unico,
Misiones,Montecarlo,Montecarlo,MONTECARLO,unico,
Misiones,Iguazú,Iguazú,IGUAZU,unico,
Misiones,Eldorado,Eldorado,ELDORADO,unico,
Misiones,Concepción,Concepción,CONCEPCION,unico,
Misiones,San Ignacio,San Ignacio,SANIGNACIO,unico,
Misiones,Guaraní,Guaraní,GUARANI,unico,
Misiones,Capital,Capital,CAPITAL,unico,
Misiones,San Javier,San Javier,SANJAVIER,unico,
Misiones,San Pedro,San Pedro,SANPEDRO,unico,
Neuquén,Aluminé,Aluminé,ALUMINE,unico,
Neuquén,Minas,Minas,MINAS,unico,
Neuquén,Añelo,Añelo,ANELO,unico,
Neuquén,Picunches,Picunches,PICUNCHES,unico,
Neuquén,Pehuenches,Pehuenches,PEHUENCHES,unico,
Neuquén,Confluencia,Confluencia,CONFLUENCIA,unico,
Neuquén,Chos-Malal,Chos-Malal,CHOSMALAL,unico,
Neuquén,Norquín,Norquín,NORQUIN,unico,
Neuquén,Huiliches,Huiliches,HUILICHES,unico,
Neuquén,Catán-Lil,Catán-Lil,CATANLIL,unico,
Neuquén,Loncopué,Loncopué,LONCOPUE,unico,
Neuquén,Zapala,Zapala,ZAPALA,unico,
Neuquén,Picún-Leufú,Picún-Leufú,PICUNLEUFU,unico,
Neuquén,Collón-Curá,Collón-Curá,COLLONCURA,unico,
Neuquén,Lácar,Lácar,LACAR,unico,
Neuquén,Los Lagos,Los Lagos,LOSLAGOS,unico,
Río Negro,Valcheta,Valcheta,VALCHETA,unico,
Río Negro,25 de Mayo,25 de Mayo,25DEMAYO,unico,
Río Negro,General Roca,General Roca,GENERALROCA,unico,
Río Negro,Bariloche,Bariloche,BARILOCHE,unico,
Río Negro,Avellaneda,Avellaneda,AVELLANEDA,unico,
Río Negro,Pilcaniyeu,Pilcaniyeu,PILCANIYEU,unico,
Río Negro,9 de Julio,9 de Julio,9DEJULIO,unico,
Río Negro,Pichi-Mahuida,Pichi-Mahuida,PICHIMAHUIDA,flag-variante,cluster PICHIMAHUIDA: Pichi-Mahuida(2)/Pichi-Mahuída(2)
Río Negro,Pichi-Mahuída,Pichi-Mahuida,PICHIMAHUIDA,flag-variante,cluster PICHIMAHUIDA: Pichi-Mahuida(2)/Pichi-Mahuída(2)
Río Negro,Adolfo Alsina,Adolfo Alsina,ADOLFOALSINA,unico,
Río Negro,El Cuy,El Cuy,ELCUY,unico,
Río Negro,General Conesa,General Conesa,GENERALCONESA,unico,
Río Negro,San Antonio,San Antonio,SANANTONIO,unico,
Río Negro,Norquincó,Norquincó,NORQUINCO,unico,
Salta,Gral. J. de San Martín,Gral. J. de San Martín,GRALJDESANMARTIN,unico,
Salta,Orán,Orán,ORAN,unico,
Salta,Guachipas,Guachipas,GUACHIPAS,unico,
Salta,Rosario de la Frontera,Rosario de la Frontera,ROSARIODELAFRONTERA,unico,
Salta,Rivadavia,Rivadavia,RIVADAVIA,unico,
Salta,La Viña,La Viña,LAVINA,unico,
Salta,San Carlos,San Carlos,SANCARLOS,unico,
Salta,Anta,Anta,ANTA,unico,
Salta,Metán,Metán,METAN,unico,
Salta,General Martín Miguel de Güemes,General Martín Miguel de Güemes,GENERALMARTINMIGUELDEGUEMES,unico,
Salta,Cachi,Cachi,CACHI,unico,
Salta,Cafayate,Cafayate,CAFAYATE,unico,
Salta,Rosario de Lerma,Rosario de Lerma,ROSARIODELERMA,unico,
Salta,Cerrillos,Cerrillos,CERRILLOS,unico,
Salta,La Poma,La Poma,LAPOMA,unico,
Salta,Chicoana,Chicoana,CHICOANA,unico,
Salta,Capital,Capital,CAPITAL,unico,
Salta,Iruya,Iruya,IRUYA,unico,
Salta,La Caldera,La Caldera,LACALDERA,unico,
Salta,Candelaria,Candelaria,CANDELARIA,unico,
Salta,Caldera,La Caldera,CALDERA,resuelto-humano,
Salta,Molinos,Molinos,MOLINOS,unico,
Salta,Santa Victoria,Santa Victoria,SANTAVICTORIA,unico,
Salta,Los Andes,Los Andes,LOSANDES,unico,
San Juan,Albardón,Albardón,ALBARDON,unico,
San Juan,Veinticinco de Mayo,Veinticinco de Mayo,VEINTICINCODEMAYO,unico,
San Juan,Santa Lucía,Santa Lucía,SANTALUCIA,unico,
San Juan,Iglesia,Iglesia,IGLESIA,unico,
San Juan,Valle Fértil,Valle Fértil,VALLEFERTIL,unico,
San Juan,Calingasta,Calingasta,CALINGASTA,unico,
San Juan,Caucete,Caucete,CAUCETE,unico,
San Juan,Sarmiento,Sarmiento,SARMIENTO,unico,
San Juan,Pocito,Pocito,POCITO,unico,
San Juan,Chimbas,Chimbas,CHIMBAS,unico,
San Juan,Jáchal,Jáchal,JACHAL,unico,
San Juan,Iglesias,Iglesia,IGLESIAS,resuelto-humano,
San Juan,Rivadavia,Rivadavia,RIVADAVIA,unico,
San Juan,Rawson,Rawson,RAWSON,unico,
San Juan,Nueve de Julio,Nueve de Julio,NUEVEDEJULIO,unico,
San Juan,San Martín,San Martín,SANMARTIN,unico,
San Juan,Capital,Capital,CAPITAL,unico,
San Juan,Ullún,Ullún,ULLUN,unico,
San Juan,Angaco,Angaco,ANGACO,unico,
San Juan,Venticinco de Mayo,Veinticinco de Mayo,VENTICINCODEMAYO,resuelto-humano,
San Luis,La Capital,La Capital,LACAPITAL,unico,
San Luis,Gobernador Dupuy,Gobernador Dupuy,GOBERNADORDUPUY,unico,
San Luis,Ayacucho,Ayacucho,AYACUCHO,unico,
San Luis,Chacabuco,Chacabuco,CHACABUCO,unico,
San Luis,Belgrano,Belgrano,BELGRANO,unico,
San Luis,Coronel Pringles,Coronel Pringles,CORONELPRINGLES,unico,
