page,n_orden,localidad,provincia,depto_1960,poblacion,estado_flag_previo,criterio_deteccion,dist_km,candidato_georef,verificado_geo_previo,tipo_resolucion,propuesta,georef_id,lat,lon,fuente,fuente_url,verificado_geo,depto_del_punto,veredicto,motivo_veredicto,confianza,tipo_doc,ley_o_anio,fuente_url_cambio,decidido_por,estado_final,nota
v7_p08,105,Río Colorado,Tucumán,Famaillá,1433,flag_depto,depto_transferencia_o_homonimo,46,Río Colorado,rojo,transferencia_confirmada,Río Colorado,90056060,-27.148606,-65.35695,Georef + Wikipedia,https://es.wikipedia.org/wiki/R%C3%ADo_Colorado_(Tucum%C3%A1n),rojo,Leales,aceptar,transferencia DOCUMENTADA: Ley provincial 4518 (1976),alta,documentada,Ley provincial 4518 (1976),https://es.wikipedia.org/wiki/Anexo:Departamentos_de_la_provincia_de_Tucum%C3%A1n,auto,,"Unico Rio Colorado de Tucuman en Georef, hoy depto Leales. Wikipedia: en el cruce RN157/RP323, RP323 la une al noroeste con Famailla; ramal ferroviario Famailla-Rio Colorado (1926). Limitrofe con Famailla, mismo pueblo; en 1960 (pob 1433) figuraba en Famailla. Transferencia Famailla -> Leales. || [3.3b-2] La misma ley 4518 de 1976 que reorganizo los departamentos de Tucuman fijo los limites actuales de Leales y Famailla; Rio Colorado, limitrofe con Famailla y listado alli en 1960, quedo en Leales tras esa reorganizacion. La actual division departamental rige desde 1976 (ley 4518)."
v4_p15,321,San Bartolomé,Córdoba,San Justo,1324,flag_depto,depto_transferencia_o_homonimo,297,San Bartolome,rojo,rename,Colonia San Bartolomé,14140110,-31.52791,-62.72370,Georef + Wikipedia,https://es.wikipedia.org/wiki/Colonia_San_Bartolom%C3%A9,verde,San Justo,aceptar,guard=verde (coord en conjunto permitido),alta,,,,auto,,"Wikipedia: Colonia San Bartolome es localidad del departamento San Justo (Cordoba), fundada 1892. Es el pueblo 1960 (San Justo). El candidato Georef San Bartolome/Rio Cuarto (297 km) es homonimo lejano. Georef id 14140110."
v7_p09,114,San Antonio,Catamarca,Fray Mamerto Esquiú,1312,flag_depto,depto_transferencia_o_homonimo,129,San Antonio,rojo,rename,San Antonio (Fray Mamerto Esquiú),1006304005,-28.42576,-65.70838,Georef,https://apis.datos.gob.ar/georef/api/localidades?nombre=San%20Antonio&provincia=Catamarca,verde,Fray Mamerto Esquiú,aceptar,guard=verde (coord en conjunto permitido),alta,,,,auto,,"Georef tiene un San Antonio en el propio depto Fray Mamerto Esquiu (id 1006304005), que coincide exacto con depto_1960 y depto_moderno_esperado. El candidato 10070150 (La Paz, 129 km) es un homonimo; el registro correcto es el mismo nombre en el mismo depto."
v5_p02,114,Dos de Mayo,Misiones,Lib. Gral. San Martín,1165,flag_depto,depto_transferencia_o_homonimo,31,Dos de Mayo,rojo,transferencia_confirmada,Dos de Mayo,54014030,-27.019937,-54.684531,Wikipedia + Georef,https://es.wikipedia.org/wiki/Dos_de_Mayo_(Misiones),rojo,Cainguás,aceptar,"Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",alta,limite_no_documentada,,,humano (Jose),transferencia_limite_declarado,"Única Dos de Mayo de Misiones (fundada 1940), hoy en depto Cainguás, limítrofe de Libertador General San Martín (dist 31 km). Cainguás sufrió varias reducciones/reajustes de límites con San Martín; mismo pueblo, transferencia de límite, no homónimo. || [3.3b-2] Busque en Wikipedia (Dos de Mayo, depto Cainguas, depto Libertador Gral San Martin), El Territorio 'Division politica de Misiones' y FamilySearch. Misiones fijo sus 17 departamentos por Decreto-Ley 1668 del 26-12-1956 (previo al censo) y los limites Cainguas / Libertador Gral San Martin / 25 de Mayo se reajustaron en los anios 1960s (el municipio de Dos de Mayo se creo en 1964 ya dentro de Cainguas). No hallé un acto legal unico y citable que traslade especificamente el area de Dos de Mayo de Libertador Gral San Martin (censo 1960) a Cainguas despues de 1960; es un reajuste de limite entre departamentos ya existentes. || [humano] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
v5_p03,117,Gobernador Racedo,Entre Ríos,Paraná,1147,flag_depto,depto_transferencia_o_homonimo,75,Gobernador Racedo,rojo,transferencia_confirmada,Gobernador Racedo (General Racedo),30021110,-31.9791491,-60.4056663,Georef + Wikipedia/eltiempo/mapcarta,https://apis.datos.gob.ar/georef/api/localidades?id=30021110,rojo,Diamante,aceptar,transferencia DOCUMENTADA: Ley provincial 6378 (1979),alta,documentada,Ley provincial 6378 (1979),https://es.wikipedia.org/wiki/Historia_de_la_organizaci%C3%B3n_territorial_de_Entre_R%C3%ADos,auto,,"Mismo pueblo (comuna Gral./Gob. Racedo, en torno a la estacion FC creada 1888). Fuentes lo ubican en depto Parana (eltiempo, mapcarta, Wikipedia), pero el centroide Georef 'General Racedo (El Carmen)' cae en depto Diamante; pueblo fronterizo. Coord solida ~-31.979,-60.406; discrepancia de etiqueta de depto. || [3.3b-2] La Historia de la organizacion territorial de Entre Rios (Wikipedia) detalla que la Ley 6378 del 21/06/1979 rectifico el limite Diamante-Parana y dejo General Racedo en Diamante (mientras Oro Verde, Tezanos Pinto, Crespo, etc. quedaron en Parana). Documenta el cambio de etiqueta de departamento Parana -> Diamante."
v8_p02,109,Divisoria,San Juan,Veinticinco de Mayo,1090,flag_depto,depto_transferencia_o_homonimo,60,Divisoria,rojo,manual_coord,Divisoria (localidad del depto 25 de Mayo),,-31.72032,-68.30388,OpenStreetMap/Nominatim + web,https://nominatim.openstreetmap.org/search?q=Divisoria+San+Juan+Argentina&format=json,verde,25 de Mayo,aceptar,guard=verde (coord en conjunto permitido),media,,,,auto,,"OSM ubica 'Divisoria' como village en el depto 25 de Mayo (-31.7203, -68.3039), con su apeadero ferroviario homonimo. El depto 25 de Mayo se separo de Caucete en 1881 y la 'calle Divisoria' es justamente el limite; el candidato Georef (Divisoria/Caucete) es el mismo poblado del borde. Coincide con 1960 (25 de Mayo)."
v4_p07,419,Golondrina,Santa Fe,General Obligado,966,flag_depto,depto_transferencia_o_homonimo,93,Golondrina,rojo,transferencia_confirmada,Golondrina,82133060,-28.55654,-60.02271,Georef + Wikipedia,https://es.wikipedia.org/wiki/Golondrina_(Santa_Fe),rojo,Vera,aceptar,"Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",media,limite_no_documentada,,https://es.wikipedia.org/wiki/Anexo:Departamentos_de_la_provincia_de_Santa_Fe,humano (Jose),transferencia_limite_declarado,"Unica Golondrina de Santa Fe (fundada 1892, comuna 1914, zona Cuna Boscosa/La Forestal), hoy depto Vera. No hay homonimo en General Obligado en Georef y la poblacion (966 en 1960 -> 443 hoy) traza un solo pueblo; en 1960 figuraba en General Obligado. Transferencia General Obligado -> Vera. || [3.3b-2] El departamento Vera fue creado el 31/12/1890 como desprendimiento de La Capital y General Obligado tambien data de 1890 (desde San Javier); ambos ya existian en 1960. No existe una ley unica que reasigne Golondrina: se trata de un reajuste de limite en la zona forestal (La Forestal) entre dos departamentos preexistentes. Busque el anexo de departamentos de Santa Fe, sitios provinciales y Wikipedia sin hallar norma citable. || [humano] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
v5_p01,136,Aranguren,Entre Ríos,Victoria,932,flag_sin_match,web_rename,,,rojo,transferencia_confirmada,Aranguren,30077010,-32.24578,-60.15835,Georef + Wikipedia,https://es.wikipedia.org/wiki/Villa_Aranguren,rojo,Nogoyá,aceptar,"Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",alta,limite_no_documentada,,,humano (Jose),transferencia_limite_declarado,"Unico Aranguren en Entre Rios (Georef id 30077010). Wikipedia (Villa Aranguren): hoy depto Nogoya, limitrofe con Victoria (depto_1960); nombre oficial 'Aranguren' por decreto 3935/87. Mismo pueblo, transferencia de depto. || [3.3b-2] El sitio municipal aranguren.gob.ar/historia reproduce un plano antiguo que rotula 'Pueblo Aranguren, Departamento Victoria, Distrito Chilcas', confirmando que la localidad estuvo en el depto Victoria (coincide con el censo 1960); hoy pertenece al depto Nogoya, distrito Algarrobitos. El decreto 3935/1987 y la ley 7944/1987 solo crean el municipio y fijan el nombre 'Aranguren', no documentan el cambio de departamento. No encontre norma unica citable que reasigne el distrito de Victoria a Nogoya; es reajuste de limite entre departamentos entrerrianos preexistentes. || [humano] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
v3_p22,349,Villars,Buenos Aires,Marcos Paz,915,flag_depto,depto_transferencia_o_homonimo,17,Villars,rojo,transferencia_confirmada,Villars,06329040,-34.82601,-58.93905,Wikipedia + OpenStreetMap,https://es.wikipedia.org/wiki/Villars_(Buenos_Aires),rojo,General Las Heras,aceptar,"Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",media,limite_no_documentada,,,humano (Jose),transferencia_limite_declarado,"Wikipedia y OSM confirman un unico Villars, hoy en el partido de General Las Heras, a 18 km de Marcos Paz (adyacentes). Coord candidato coincide con la estacion Villars en OSM (-34.826,-58.939). En 1960 el censo lo asigno a Marcos Paz; mismo pueblo, hoy General Las Heras (transferencia de limite adyacente, dist 17 km). || [3.3b-2] Busque en Wikipedia (Villars, Estacion Villars, partidos de General Las Heras y Marcos Paz) y en normas.gba.gob.ar sin hallar una ley o decreto que transfiera Villars de Marcos Paz a General Las Heras. Ambos partidos ya existian en 1960 (Gral Las Heras con limites por decreto de 1875) y no figuran en anexos de creacion; es un reajuste de limite entre partidos preexistentes, sin acto legal unico citable. || [humano] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
v7_p07,155,Manantial,Tucumán,Tafí,911,flag_sin_match,web_manual_coord,,,rojo,transferencia_confirmada,El Manantial,90063020,-26.848053,-65.281861,Georef + Wikipedia/todo-argentina,https://es.wikipedia.org/wiki/El_Manantial_(Tucum%C3%A1n),rojo,Lules,aceptar,transferencia DOCUMENTADA: Ley provincial 4518 (1976),alta,documentada,Ley provincial 4518 (1976),https://es.wikipedia.org/wiki/Anexo:Departamentos_de_la_provincia_de_Tucum%C3%A1n,auto,,"Único El Manantial de Tucumán (conurbano del Gran San Miguel de Tucumán), hoy depto Lules (creado en 1976 al subdividirse los antiguos departamentos). En 1960 figuraba en el antiguo y extenso depto Tafí antes de su reorganización; mismo lugar, transferencia. || [3.3b-2] El departamento Lules fue creado por la ley provincial 4518 de 1976, cuando Tucuman reorganizo su division departamental (16 departamentos mas Capital) con limites fijados ese ano. El Manantial, listado en el antiguo y extenso departamento Tafi en 1960, quedo dentro del nuevo Lules tras esa reorganizacion; la actual division data de 1976 (ley 4518)."
v4_p10,491,Los Amores,Santa Fe,General Obligado,736,flag_depto,depto_transferencia_o_homonimo,93,Los Amores,rojo,transferencia_confirmada,Los Amores,82133100,-28.1019746,-59.9798968,Wikipedia (Los Amores) + Georef,https://es.wikipedia.org/wiki/Los_Amores,rojo,Vera,aceptar,"Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",alta,limite_no_documentada,,,humano (Jose),transferencia_limite_declarado,"Wikipedia: Los Amores esta hoy en depto Vera (el nombre viene del arroyo homonimo del depto General Obligado vecino). Unico Los Amores de Santa Fe; coord coincide con el candidato Georef. Mismo pueblo, censo 1960 lo listo en General Obligado (limite vecino), hoy Vera. || [3.3b-2] Wikipedia y Camara de Senadores de Santa Fe: Los Amores es del depto Vera (comuna creada el 01-07-1914, estacion del ramal Santa Fe-Resistencia). Vera y General Obligado son departamentos limitrofes y ambos existian en 1960. El nombre proviene de un arroyo del depto General Obligado, pero eso es etimologia, no jurisdiccion. Tras busqueda no hallé ley/decreto unico que traslade Los Amores de General Obligado (censo 1960) a Vera; es reajuste de limite entre departamentos preexistentes del norte santafesino. || [humano] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
v3_p12,418,Juan J. Almeyra,Buenos Aires,Navarro,696,flag_sin_match,web_rename,,,rojo,rename,José Juan Almeyra,06574010,-34.92159,-59.54223,Georef + Wikipedia,https://es.wikipedia.org/wiki/Jos%C3%A9_Juan_Almeyra,verde,Navarro,aceptar,guard=verde (coord en conjunto permitido),alta,,,,auto,,Wikipedia: José Juan Almeyra (grafia moderna de Juan J. Almeyra) es localidad del partido de Navarro (coincide con 1960). Georef 06574010 en depto Navarro; mismo lugar renombrado.
v4_p04,505,Colonia Santa María,Córdoba,Unión,694,flag_depto,depto_transferencia_o_homonimo,184,Colonia Santa Marí­a,rojo,rename,Aldea Santa María,14182010,-33.699219,-62.914658,Georef + Wikipedia,https://es.wikipedia.org/wiki/Aldea_Santa_Mar%C3%ADa_(C%C3%B3rdoba),verde,Unión,aceptar,guard=verde (coord en conjunto permitido),media,,,,auto,,"En depto Union solo existe 'Aldea Santa Maria' (id 14182010), colonia de alemanes del Volga fundada 1887, 16 km al sur de Canals. Es la actual denominacion de la 'Colonia Santa Maria' de 1960 en Union (mismo depto, misma colonia Santa Maria). El candidato Colonia Santa Maria/San Justo (63 hab 2010) es homonimo lejano, no coincide con la pob 1960 (694)."
v7_p07,199,Manuel García Fernández,Tucumán,Famaillá,681,flag_depto,depto_transferencia_o_homonimo,46,Manuel García Fernández,rojo,transferencia_confirmada,Manuel García Fernández,90056040,-26.95570,-65.27207,Georef + Wikipedia,https://es.wikipedia.org/wiki/Manuel_Garc%C3%ADa_Fern%C3%A1ndez,rojo,Leales,aceptar,"Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",media,limite_no_documentada,,,humano (Jose),transferencia_limite_declarado,"Nombre unico en Tucuman (pueblo del Ingenio Bella Vista, llamado asi por su fundador); homonimo imposible. Wikipedia lo ubica hoy en depto Leales; en 1960 censado en Famailla. Mismo lugar, cambio/reasignacion de depto. Georef id 90056040. || [3.3b-2] Wikipedia y los sitios municipales confirman que hoy esta en el depto Leales y en 1960 figuraba en Famailla, pero no hallé fuente que documente el traslado de ESTA localidad. La Ley 4518/1976 reorganizo la division departamental de Tucuman y pudo redibujar el limite Leales-Famailla, pero ninguna fuente la vincula especificamente a Manuel Garcia Fernandez, por lo que no cito la norma. Reajuste de limite entre deptos preexistentes. || [humano] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
v4_p11,513,Margarita,Santa Fe,Castellanos,680,flag_depto,depto_transferencia_o_homonimo,278,Margarita,rojo,rename,Colonia Margarita,82021110,-31.68599,-61.64772,Georef,https://apis.datos.gob.ar/georef/api/localidades?nombre=Margarita&provincia=Santa%20Fe,verde,Castellanos,aceptar,guard=verde (coord en conjunto permitido),alta,,,,auto,,"Georef: 'Colonia Margarita' (id 82021110) esta en el depto Castellanos, que coincide exacto con depto_1960. El candidato Margarita/Vera (82133110, 278 km) es un homonimo lejano. La Margarita censal de Castellanos es la actual Colonia Margarita."
v4_p16,519,San José,Córdoba,Tulumba,673,flag_depto,depto_transferencia_o_homonimo,241,San Jose,rojo,rename,San José de la Dormida,14175080,-30.356269,-63.950293,Georef + citypopulation,https://es.wikipedia.org/wiki/San_Jos%C3%A9_de_la_Dormida,verde,Tulumba,aceptar,guard=verde (coord en conjunto permitido),media,,,,auto,,"El 'San José' censal 1960 (Tulumba, 673 hab) corresponde a San José de la Dormida, villa cabecera del depto Tulumba (fundada 1857; 1894 hab en 1991), cuyo nombre completo se abrevió a 'San José'. El candidato Georef San José/San Javier es homónimo lejano (241 km, otro depto)."
v4_p01,524,Ana Zumarán,Córdoba,General San Martín,657,flag_depto,depto_transferencia_o_homonimo,59,Ana Zumarán,rojo,transferencia_confirmada,Ana Zumarán,14182030,-32.3905234,-63.0573516,Wikipedia (Ana Zumaran) + Georef,https://es.wikipedia.org/wiki/Ana_Zumar%C3%A1n,verde,General San Martín,aceptar,guard=verde (coord en conjunto permitido),alta,,,,auto,,"Wikipedia: 'Su ejido urbano esta distribuido en los departamentos Union y General San Martin'. Mismo pueblo que abarca ambos deptos; censo 1960 en General San Martin, candidato Georef en Union. Coord coincide (-32.39,-63.056)."
v3_p17,455,Pavón,Buenos Aires,Exaltación de la Cruz,627,flag_depto,depto_transferencia_o_homonimo,330,Pavón,rojo,rename,Pavón (partido Exaltación de la Cruz),0626606003,-34.39318,-59.03470,Wikipedia + Georef,https://es.wikipedia.org/wiki/Pav%C3%B3n_(Buenos_Aires),verde,Exaltación de la Cruz,aceptar,guard=verde (coord en conjunto permitido),alta,,,,auto,,Wikipedia: Pavón es localidad del partido de Exaltación de la Cruz (coincide con 1960). El candidato Pavón/General Lavalle (330 km) es un homonimo; el registro censal correcto es Georef 0626606003 en Exaltación de la Cruz.
v5_p07,194,Tabay,Corrientes,Concepción,588,flag_ambiguo,ambiguo,,Tabay,revisar_ambiguo,transferencia_confirmada,Tabay,18028030,-28.308136,-58.286866,Georef + Wikipedia,https://es.wikipedia.org/wiki/Tabay_(Corrientes),verde,Concepción,aceptar,guard=verde (coord en conjunto permitido),alta,,,,auto,,"Confirmado: Tabay, depto Concepcion (igual que en 1960, SIN cambio de depto). La ambiguedad se resuelve al unico registro real de Georef: id 18028030 'localidad simple', municipio Tabay; el id 18028031 no devuelve registro. Wikipedia confirma depto Concepcion y coord."
