"block","treatment","outcome","spec","stat","value","S_perm","sector"
"estimates","only_rail","mfg_valprod","mu_control","coef",-0.0288640312902973,100,"s0"
"estimates","only_rail","mfg_valprod","mu_control","se",0.152445623697007,100,"s0"
"estimates","only_rail","mfg_valprod","mu_control","p",0.849954927927876,100,"s0"
"estimates","only_rail","mfg_valprod","mu_control","F_ivf",43.0707744555308,100,"s0"
"estimates","only_rail","mfg_valprod","mu_control","N",310,100,"s0"
"estimates","only_rail","mfg_wagemass","unadjusted","coef",0.222215791470121,100,"s0"
"estimates","only_rail","mfg_wagemass","unadjusted","se",0.124866668484948,100,"s0"
"estimates","only_rail","mfg_wagemass","unadjusted","p",0.0761530517261837,100,"s0"
"estimates","only_rail","mfg_wagemass","unadjusted","F_ivf",121.570731067072,100,"s0"
"estimates","only_rail","mfg_wagemass","unadjusted","N",309,100,"s0"
"estimates","only_rail","mfg_wagemass","recentered","coef",-0.0184534750802334,100,"s0"
"estimates","only_rail","mfg_wagemass","recentered","se",0.175742686966625,100,"s0"
"estimates","only_rail","mfg_wagemass","recentered","p",0.916443986465581,100,"s0"
"estimates","only_rail","mfg_wagemass","recentered","F_ivf",32.4026647492094,100,"s0"
"estimates","only_rail","mfg_wagemass","recentered","N",309,100,"s0"
"estimates","only_rail","mfg_wagemass","mu_control","coef",0.0212840605510881,100,"s0"
"estimates","only_rail","mfg_wagemass","mu_control","se",0.1485625803733,100,"s0"
"estimates","only_rail","mfg_wagemass","mu_control","p",0.886176433209573,100,"s0"
"estimates","only_rail","mfg_wagemass","mu_control","F_ivf",51.081209711608,100,"s0"
"estimates","only_rail","mfg_wagemass","mu_control","N",309,100,"s0"
"estimates","only_rail","placebo_pretrend","unadjusted","coef",0.0510664947857447,100,"s0"
"estimates","only_rail","placebo_pretrend","unadjusted","se",0.0363764605370404,100,"s0"
"estimates","only_rail","placebo_pretrend","unadjusted","p",0.161735004673602,100,"s0"
"estimates","only_rail","placebo_pretrend","unadjusted","F_ivf",140.746845802231,100,"s0"
"estimates","only_rail","placebo_pretrend","unadjusted","N",237,100,"s0"
"estimates","only_rail","placebo_pretrend","recentered","coef",0.0616556434003361,100,"s0"
"estimates","only_rail","placebo_pretrend","recentered","se",0.0525257727727926,100,"s0"
"estimates","only_rail","placebo_pretrend","recentered","p",0.241698411430595,100,"s0"
"estimates","only_rail","placebo_pretrend","recentered","F_ivf",47.4622521103661,100,"s0"
"estimates","only_rail","placebo_pretrend","recentered","N",237,100,"s0"
"estimates","only_rail","placebo_pretrend","mu_control","coef",0.0606859994480888,100,"s0"
"estimates","only_rail","placebo_pretrend","mu_control","se",0.0503914882594407,100,"s0"
"estimates","only_rail","placebo_pretrend","mu_control","p",0.229736973102221,100,"s0"
"estimates","only_rail","placebo_pretrend","mu_control","F_ivf",70.457236253795,100,"s0"
"estimates","only_rail","placebo_pretrend","mu_control","N",237,100,"s0"
"first_stage","only_road","","z_obs","F_robust_wald",3.64433418964862,100,"s0"
"first_stage","only_road","","z_rec","F_robust_wald",1.04232265992466,100,"s0"
"estimates","only_road","population","unadjusted","coef",0.140730937343812,100,"s0"
"estimates","only_road","population","unadjusted","se",0.109814964927637,100,"s0"
"estimates","only_road","population","unadjusted","p",0.2009946432728,100,"s0"
"estimates","only_road","population","unadjusted","F_ivf",2.4554974700829,100,"s0"
"estimates","only_road","population","unadjusted","N",311,100,"s0"
"estimates","only_road","population","recentered","coef",-0.0926610127664262,100,"s0"
"estimates","only_road","population","recentered","se",0.288748014296733,100,"s0"
"estimates","only_road","population","recentered","p",0.748504205703216,100,"s0"
"estimates","only_road","population","recentered","F_ivf",0.64984466169925,100,"s0"
"estimates","only_road","population","recentered","N",311,100,"s0"
"estimates","only_road","population","mu_control","coef",-0.0673976030147163,100,"s0"
"estimates","only_road","population","mu_control","se",0.246559581814874,100,"s0"
"estimates","only_road","population","mu_control","p",0.784770583586348,100,"s0"
"estimates","only_road","population","mu_control","F_ivf",0.74572202194877,100,"s0"
"estimates","only_road","population","mu_control","N",311,100,"s0"
"estimates","only_road","mfg_valprod","unadjusted","coef",0.818747403306701,100,"s0"
"estimates","only_road","mfg_valprod","unadjusted","se",0.508623460286255,100,"s0"
"estimates","only_road","mfg_valprod","unadjusted","p",0.108508105508622,100,"s0"
"estimates","only_road","mfg_valprod","unadjusted","F_ivf",2.56457736582306,100,"s0"
"estimates","only_road","mfg_valprod","unadjusted","N",310,100,"s0"
"estimates","only_road","mfg_valprod","recentered","coef",-0.244127196918347,100,"s0"
"estimates","only_road","mfg_valprod","recentered","se",0.85911267082344,100,"s0"
"estimates","only_road","mfg_valprod","recentered","p",0.776482245141497,100,"s0"
"estimates","only_road","mfg_valprod","recentered","F_ivf",0.644887074384064,100,"s0"
"estimates","only_road","mfg_valprod","recentered","N",310,100,"s0"
"estimates","only_road","mfg_valprod","mu_control","coef",-0.126658299494083,100,"s0"
"estimates","only_road","mfg_valprod","mu_control","se",0.695346180148914,100,"s0"
"estimates","only_road","mfg_valprod","mu_control","p",0.855587321649482,100,"s0"
"estimates","only_road","mfg_valprod","mu_control","F_ivf",0.744363819655507,100,"s0"
"estimates","only_road","mfg_valprod","mu_control","N",310,100,"s0"
"estimates","only_road","mfg_wagemass","unadjusted","coef",0.891681818552106,100,"s0"
"estimates","only_road","mfg_wagemass","unadjusted","se",0.586188002944118,100,"s0"
"estimates","only_road","mfg_wagemass","unadjusted","p",0.12927816515112,100,"s0"
"estimates","only_road","mfg_wagemass","unadjusted","F_ivf",2.49573131678873,100,"s0"
"estimates","only_road","mfg_wagemass","unadjusted","N",309,100,"s0"
"estimates","only_road","mfg_wagemass","recentered","coef",-0.0882511590489503,100,"s0"
"estimates","only_road","mfg_wagemass","recentered","se",0.862622373082236,100,"s0"
"estimates","only_road","mfg_wagemass","recentered","p",0.918582631941882,100,"s0"
"estimates","only_road","mfg_wagemass","recentered","F_ivf",0.590561338207584,100,"s0"
"estimates","only_road","mfg_wagemass","recentered","N",309,100,"s0"
"estimates","only_road","mfg_wagemass","mu_control","coef",0.0986633340614918,100,"s0"
"estimates","only_road","mfg_wagemass","mu_control","se",0.676157414831754,100,"s0"
"estimates","only_road","mfg_wagemass","mu_control","p",0.884085012946274,100,"s0"
"estimates","only_road","mfg_wagemass","mu_control","F_ivf",0.762149541803628,100,"s0"
"estimates","only_road","mfg_wagemass","mu_control","N",309,100,"s0"
"estimates","only_road","placebo_pretrend","unadjusted","coef",0.405795563393865,100,"s0"
"estimates","only_road","placebo_pretrend","unadjusted","se",0.362062842549085,100,"s0"
"estimates","only_road","placebo_pretrend","unadjusted","p",0.2635625756709,100,"s0"
"estimates","only_road","placebo_pretrend","unadjusted","F_ivf",0.713199131342764,100,"s0"
"estimates","only_road","placebo_pretrend","unadjusted","N",237,100,"s0"
"estimates","only_road","placebo_pretrend","recentered","coef",0.594414165394599,100,"s0"
"estimates","only_road","placebo_pretrend","recentered","se",0.992873469721454,100,"s0"
"estimates","only_road","placebo_pretrend","recentered","p",0.549982776433827,100,"s0"
"estimates","only_road","placebo_pretrend","recentered","F_ivf",0.218450004148353,100,"s0"
"estimates","only_road","placebo_pretrend","recentered","N",237,100,"s0"
"estimates","only_road","placebo_pretrend","mu_control","coef",0.573860816767983,100,"s0"
"estimates","only_road","placebo_pretrend","mu_control","se",0.89291058569283,100,"s0"
"estimates","only_road","placebo_pretrend","mu_control","p",0.521079561357191,100,"s0"
"estimates","only_road","placebo_pretrend","mu_control","F_ivf",0.247281025986368,100,"s0"
"estimates","only_road","placebo_pretrend","mu_control","N",237,100,"s0"
