"panel","outcome","label","label_txt","rung","ols_est","ols_se","ols_p","iv_lp_est","iv_lp_se","iv_lp_p","iv_h_est","iv_h_se","iv_h_p","iv_b_est","iv_b_se","iv_b_p","iv_lp_F","iv_h_F","iv_b_F","n_obs"
"A","chg_log_massal_85_54","$\Delta \ln$ wage mass","wage mass","(3) + baseline log MA",0.134295307783855,0.0424081357264343,0.00170029287677247,0.320866922633917,0.156886113648651,0.0417051571404896,0.760677712259929,0.410751392713543,0.0650200093277197,0.423607371126575,0.138121164160471,0.00235983761251939,24.6825581173935,3.81243036420523,15.8721444481395,309
"A","chg_log_massal_85_54","$\Delta \ln$ wage mass","wage mass","(4) + baseline log pop (main)",0.13381955502322,0.0424371179478986,0.00177805798557384,0.319244306334512,0.156943838093599,0.0428208122642404,0.760693989005857,0.401494691705475,0.0591027879058094,0.427170463307202,0.13857774089854,0.00224381504298856,24.6063423246958,4.12884496869646,15.9691545601122,309
"B","chg_log_nexp_88_60","$\Delta \ln$ farms","farms","(1) No controls",0.0164545662194517,0.0136343149229593,0.228456952488103,0.133558484754235,0.087666675990258,0.12870974823937,0.0220638843274424,0.044100039225464,0.617226745528057,0.0943594200473254,0.0546800456701105,0.0854549177067023,24.9900120104459,18.3149399807562,23.984417891502,297
"B","chg_log_nexp_88_60","$\Delta \ln$ farms","farms","(2) + geography",0.0137569197090412,0.0126378914262099,0.27726128263597,0.111437925814177,0.0799421678328903,0.16439396954019,0.0681940920410933,0.0442372594410278,0.124276404965964,0.0930546237778843,0.0503720559516959,0.0657189225527677,27.1567237787751,23.1418122079159,26.8679840446575,297
"B","chg_log_nexp_88_60","$\Delta \ln$ farms","farms","(3) + baseline log MA",-0.00808351317064234,0.0141287146705414,0.567677738575115,0.121623091937274,0.106766835051742,0.255588557116941,0.0371324095498573,0.118112709316773,0.753459190060564,0.105931393849732,0.0868713594421957,0.223688131918216,24.0832799950338,2.41505929525128,14.587968225533,297
"B","chg_log_nexp_88_60","$\Delta \ln$ farms","farms","(4) + baseline log pop (main)",-0.0102411235406031,0.0139350312542651,0.462988716052275,0.116881804169019,0.111479492924256,0.29530877487517,0.0804748456108151,0.118612121143303,0.498020000367664,0.109557515073981,0.0879343069123139,0.213816522222492,24.3000790128588,2.74056520043348,15.0248009462799,297
"B","chg_log_areatot_ha_88_60","$\Delta \ln$ area farmed","area farmed","(1) No controls",0.0374599011076555,0.0180719848170959,0.0390575371175117,0.0934264655615054,0.0747570689881562,0.212387229008328,0.165090482041095,0.0791070496912724,0.0377532040699285,0.118621967481663,0.0542754698827217,0.029634455631794,24.9900120104459,18.3149399807562,23.984417891502,297
"B","chg_log_areatot_ha_88_60","$\Delta \ln$ area farmed","area farmed","(2) + geography",0.0320851008794758,0.0176864584782155,0.0706983980534209,0.115324172608656,0.0763761545935629,0.132148724742388,0.128422661545782,0.0643294479794818,0.0468362470046817,0.120892445755157,0.0541705277754398,0.0264013653414623,27.1567237787751,23.1418122079159,26.8679840446575,297
"B","chg_log_areatot_ha_88_60","$\Delta \ln$ area farmed","area farmed","(3) + baseline log MA",0.00129368343452825,0.0197600351064809,0.94784545777853,0.108773420162529,0.10079075833201,0.28140141825238,0.121047356473439,0.161180582661406,0.453263085566856,0.111052948478512,0.0854227112934204,0.194626710548162,24.0832799950338,2.41505929525128,14.587968225533,297
"B","chg_log_areatot_ha_88_60","$\Delta \ln$ area farmed","area farmed","(4) + baseline log pop (main)",-0.000676279424941734,0.0202095792520635,0.973328383981104,0.104385506149401,0.104915058997042,0.320597448374563,0.15709400911114,0.15998325621219,0.326956283273004,0.114989311815819,0.086275176536165,0.183647874278078,24.3000790128588,2.74056520043348,15.0248009462799,297
