"outcome","outcome_lab","spec","spec_lab","ols_est","ols_se","ols_p","iv_lp_est","iv_lp_se","iv_lp_p","iv_h_est","iv_h_se","iv_h_p","iv_b_est","iv_b_se","iv_b_p","iv_lp_F","iv_h_F","iv_b_F","n_obs","population_flagged"
"chg_log_massal_85_54","Mfg. wage mass","C3","quintiles of both (additive)",0.126931925816409,0.0426136901269611,0.00313721453614473,0.289641096592512,0.149742786066104,0.0540441708896122,0.583763345205334,0.26904126009791,0.0308261807606279,0.372787758889124,0.12735948420591,0.00369000713232198,21.8265011268502,7.41669690077964,17.288321859717,309,FALSE
"chg_log_nexp_88_60","Ag. farms","C0","both baselines linear (main)",-0.0102411235406031,0.0139350312542651,0.462988716052275,0.116881804169019,0.111479492924256,0.29530877487517,0.0804748456108151,0.118612121143303,0.498020000367664,0.109557515073981,0.0879343069123139,0.213816522222492,24.3000790128588,2.74056520043348,15.0248009462799,297,FALSE
"chg_log_nexp_88_60","Ag. farms","C1","quintiles of baseline log MA",-0.0170987296510959,0.0141990438719139,0.229508382331163,0.111742192585896,0.110787087996331,0.314014954292123,0.0640037137852468,0.105904365839295,0.546090885988065,0.101261145817321,0.0860605351316958,0.240329685665998,17.8441258385267,4.12101260488731,12.5866574158131,297,FALSE
"chg_log_nexp_88_60","Ag. farms","C2","quintiles of baseline log pop",-0.00850532449655184,0.0142014910494484,0.549714559783227,0.126099977537968,0.111257233994021,0.257998312679433,0.0643114694451602,0.11480350656846,0.575793274756761,0.113531219213587,0.0869075179479356,0.192492162072262,23.632154145933,2.55342167276939,14.5280663930771,297,FALSE
"chg_log_nexp_88_60","Ag. farms","C3","quintiles of both (additive)",-0.0149269292371235,0.0142391143039594,0.295399090048982,0.119885439474184,0.107776640318563,0.266938041745513,0.0502842279606869,0.103703821436253,0.628137057076237,0.10482223268687,0.0829168038948954,0.20721101940471,17.9386378127883,3.93080546980096,12.6148830871919,297,FALSE
"chg_log_areatot_ha_88_60","Ag. farmed area","C0","both baselines linear (main)",-0.000676279424941734,0.0202095792520635,0.973328383981104,0.104385506149401,0.104915058997042,0.320597448374563,0.15709400911114,0.15998325621219,0.326956283273004,0.114989311815819,0.086275176536165,0.183647874278078,24.3000790128588,2.74056520043348,15.0248009462799,297,FALSE
"chg_log_areatot_ha_88_60","Ag. farmed area","C1","quintiles of baseline log MA",0.00204667724242463,0.0201495528389497,0.91916623449558,0.111724969672554,0.104419784323805,0.285545916917225,0.189508111967364,0.158025977599983,0.231441508458834,0.128802362431662,0.0860850507768877,0.135706204199724,17.8441258385267,4.12101260488731,12.5866574158131,297,FALSE
"chg_log_areatot_ha_88_60","Ag. farmed area","C2","quintiles of baseline log pop",0.00555544436769987,0.0198347852924091,0.779615474286218,0.10639698947023,0.106233647406886,0.317419550509576,0.125753412447724,0.157160440355428,0.424287219233881,0.110334391584968,0.08689782002768,0.205229967281566,23.632154145933,2.55342167276939,14.5280663930771,297,FALSE
"chg_log_areatot_ha_88_60","Ag. farmed area","C3","quintiles of both (additive)",0.0086613712641193,0.0195966613279422,0.658842200469803,0.113632511679256,0.102414686067844,0.268148782797951,0.165856820696077,0.153392779536377,0.280510441773961,0.124934981118217,0.0838151259887227,0.137187698013221,17.9386378127883,3.93080546980096,12.6148830871919,297,FALSE
"chg_log_pop_91_60","Total population","C0","both baselines linear (main)",0.0282488681329364,0.0138968734287272,0.0429552307854986,0.0516394488182799,0.044327256698552,0.244957886745932,0.0802503332901783,0.0777546680238996,0.302855394443489,0.0588062653874148,0.034722066905231,0.0913704977110715,23.2752865738175,4.00465929640858,15.3179191645211,311,TRUE
"chg_log_pop_91_60","Total population","C1","quintiles of baseline log MA",0.0127355430912803,0.0140312009609235,0.364791911908848,0.0401093128129806,0.0427660834560833,0.349067276867324,0.0190299782954447,0.0657686498904681,0.772516853076784,0.0338143644045987,0.0332783298724743,0.310402397212124,18.2939474221981,7.38821147374346,14.9439664718153,311,TRUE
"chg_log_pop_91_60","Total population","C2","quintiles of baseline log pop",0.0271754284124883,0.0132873642477601,0.0417123700223897,0.0214065483590435,0.0406172096185398,0.598563829169751,0.0407139360939716,0.0807738460986614,0.61459973735432,0.0263495163427136,0.0341052868239617,0.440375426894548,24.03503812473,3.89242908874223,15.9255593914493,311,TRUE
"chg_log_pop_91_60","Total population","C3","quintiles of both (additive)",0.0174345110197395,0.0133235346197231,0.191705375261479,0.0157175674571082,0.037022193321445,0.671478236080149,0.0135822676936556,0.0692287689072607,0.844593422175211,0.0150888990970949,0.031874013832337,0.636283741524521,19.8595631964243,7.29921079452558,16.0752180658668,311,TRUE
