"block","treatment","outcome","spec","stat","value","S_perm","sector"
"estimates","total","mfg_wagemass","unadjusted","se",0.0928206546202694,100,"s1"
"estimates","total","mfg_wagemass","unadjusted","p",0.0573739208385455,100,"s1"
"estimates","total","mfg_wagemass","unadjusted","F_ivf",31.3074192362277,100,"s1"
"estimates","total","mfg_wagemass","unadjusted","N",309,100,"s1"
"estimates","total","mfg_wagemass","recentered","coef",-0.0258003929806202,100,"s1"
"estimates","total","mfg_wagemass","recentered","se",0.12748171666331,100,"s1"
"estimates","total","mfg_wagemass","recentered","p",0.839753357011274,100,"s1"
"estimates","total","mfg_wagemass","recentered","F_ivf",13.1009307055135,100,"s1"
"estimates","total","mfg_wagemass","recentered","N",309,100,"s1"
"estimates","total","mfg_wagemass","mu_control","coef",0.00953609237093735,100,"s1"
"estimates","total","mfg_wagemass","mu_control","se",0.105040929103837,100,"s1"
"estimates","total","mfg_wagemass","mu_control","p",0.927724786194395,100,"s1"
"estimates","total","mfg_wagemass","mu_control","F_ivf",16.4244102971808,100,"s1"
"estimates","total","mfg_wagemass","mu_control","N",309,100,"s1"
"estimates","total","placebo_pretrend","unadjusted","coef",0.0481959631710694,100,"s1"
"estimates","total","placebo_pretrend","unadjusted","se",0.0364561140146259,100,"s1"
"estimates","total","placebo_pretrend","unadjusted","p",0.187489819686665,100,"s1"
"estimates","total","placebo_pretrend","unadjusted","F_ivf",28.0825893688829,100,"s1"
"estimates","total","placebo_pretrend","unadjusted","N",237,100,"s1"
"estimates","total","placebo_pretrend","recentered","coef",0.042958268030583,100,"s1"
"estimates","total","placebo_pretrend","recentered","se",0.0536524708419192,100,"s1"
"estimates","total","placebo_pretrend","recentered","p",0.424156198637707,100,"s1"
"estimates","total","placebo_pretrend","recentered","F_ivf",11.8177003799038,100,"s1"
"estimates","total","placebo_pretrend","recentered","N",237,100,"s1"
"estimates","total","placebo_pretrend","mu_control","coef",0.0436155840600431,100,"s1"
"estimates","total","placebo_pretrend","mu_control","se",0.0510878362745236,100,"s1"
"estimates","total","placebo_pretrend","mu_control","p",0.394154622109327,100,"s1"
"estimates","total","placebo_pretrend","mu_control","F_ivf",14.2096464475214,100,"s1"
"estimates","total","placebo_pretrend","mu_control","N",237,100,"s1"
"first_stage","only_rail","","z_obs","F_robust_wald",17.3604187557782,100,"s1"
"first_stage","only_rail","","z_rec","F_robust_wald",9.34636130753715,100,"s1"
"estimates","only_rail","population","unadjusted","coef",0.0221619309066393,100,"s1"
"estimates","only_rail","population","unadjusted","se",0.0243043954938463,100,"s1"
"estimates","only_rail","population","unadjusted","p",0.362578085895364,100,"s1"
"estimates","only_rail","population","unadjusted","F_ivf",128.442944492516,100,"s1"
"estimates","only_rail","population","unadjusted","N",311,100,"s1"
"estimates","only_rail","population","recentered","coef",-0.0166693581282052,100,"s1"
"estimates","only_rail","population","recentered","se",0.0334674117575093,100,"s1"
"estimates","only_rail","population","recentered","p",0.61879327229011,100,"s1"
"estimates","only_rail","population","recentered","F_ivf",46.5190113675623,100,"s1"
"estimates","only_rail","population","recentered","N",311,100,"s1"
"estimates","only_rail","population","mu_control","coef",-0.012322253043194,100,"s1"
"estimates","only_rail","population","mu_control","se",0.0300741645443044,100,"s1"
"estimates","only_rail","population","mu_control","p",0.682297268237002,100,"s1"
"estimates","only_rail","population","mu_control","F_ivf",64.694963780984,100,"s1"
"estimates","only_rail","population","mu_control","N",311,100,"s1"
"estimates","only_rail","mfg_valprod","unadjusted","coef",0.129988692769319,100,"s1"
"estimates","only_rail","mfg_valprod","unadjusted","se",0.0806627437409108,100,"s1"
"estimates","only_rail","mfg_valprod","unadjusted","p",0.108120483746074,100,"s1"
"estimates","only_rail","mfg_valprod","unadjusted","F_ivf",128.116683448679,100,"s1"
"estimates","only_rail","mfg_valprod","unadjusted","N",310,100,"s1"
"estimates","only_rail","mfg_valprod","recentered","coef",-0.0362496744361578,100,"s1"
"estimates","only_rail","mfg_valprod","recentered","se",0.102897509076261,100,"s1"
"estimates","only_rail","mfg_valprod","recentered","p",0.72486878801063,100,"s1"
"estimates","only_rail","mfg_valprod","recentered","F_ivf",46.3773105848904,100,"s1"
"estimates","only_rail","mfg_valprod","recentered","N",310,100,"s1"
"estimates","only_rail","mfg_valprod","mu_control","coef",-0.0177313648538148,100,"s1"
"estimates","only_rail","mfg_valprod","mu_control","se",0.0873955961463602,100,"s1"
"estimates","only_rail","mfg_valprod","mu_control","p",0.839361932944418,100,"s1"
"estimates","only_rail","mfg_valprod","mu_control","F_ivf",64.4864941385925,100,"s1"
"estimates","only_rail","mfg_valprod","mu_control","N",310,100,"s1"
"estimates","only_rail","mfg_wagemass","unadjusted","coef",0.140735308212792,100,"s1"
"estimates","only_rail","mfg_wagemass","unadjusted","se",0.0798695906419374,100,"s1"
"estimates","only_rail","mfg_wagemass","unadjusted","p",0.0790803378913098,100,"s1"
"estimates","only_rail","mfg_wagemass","unadjusted","F_ivf",145.991799704066,100,"s1"
"estimates","only_rail","mfg_wagemass","unadjusted","N",309,100,"s1"
"estimates","only_rail","mfg_wagemass","recentered","coef",-0.0207300767596386,100,"s1"
"estimates","only_rail","mfg_wagemass","recentered","se",0.101949327577577,100,"s1"
"estimates","only_rail","mfg_wagemass","recentered","p",0.839009899423573,100,"s1"
"estimates","only_rail","mfg_wagemass","recentered","F_ivf",49.5466366285715,100,"s1"
"estimates","only_rail","mfg_wagemass","recentered","N",309,100,"s1"
"estimates","only_rail","mfg_wagemass","mu_control","coef",0.00764740106248046,100,"s1"
"estimates","only_rail","mfg_wagemass","mu_control","se",0.084427651096359,100,"s1"
"estimates","only_rail","mfg_wagemass","mu_control","p",0.927887699498983,100,"s1"
"estimates","only_rail","mfg_wagemass","mu_control","F_ivf",76.2903522245127,100,"s1"
"estimates","only_rail","mfg_wagemass","mu_control","N",309,100,"s1"
"estimates","only_rail","placebo_pretrend","unadjusted","coef",0.0343810819283847,100,"s1"
"estimates","only_rail","placebo_pretrend","unadjusted","se",0.0264010518384146,100,"s1"
"estimates","only_rail","placebo_pretrend","unadjusted","p",0.194146655297176,100,"s1"
"estimates","only_rail","placebo_pretrend","unadjusted","F_ivf",161.622579472183,100,"s1"
"estimates","only_rail","placebo_pretrend","unadjusted","N",237,100,"s1"
"estimates","only_rail","placebo_pretrend","recentered","coef",0.0285045659974085,100,"s1"
"estimates","only_rail","placebo_pretrend","recentered","se",0.0349586767636002,100,"s1"
"estimates","only_rail","placebo_pretrend","recentered","p",0.415710171135361,100,"s1"
"estimates","only_rail","placebo_pretrend","recentered","F_ivf",62.5615386164162,100,"s1"
"estimates","only_rail","placebo_pretrend","recentered","N",237,100,"s1"
"estimates","only_rail","placebo_pretrend","mu_control","coef",0.029196613388043,100,"s1"
"estimates","only_rail","placebo_pretrend","mu_control","se",0.033638957466021,100,"s1"
"estimates","only_rail","placebo_pretrend","mu_control","p",0.386347589166388,100,"s1"
"estimates","only_rail","placebo_pretrend","mu_control","F_ivf",93.479765332285,100,"s1"
"estimates","only_rail","placebo_pretrend","mu_control","N",237,100,"s1"
"first_stage","only_road","","z_obs","F_robust_wald",2.28916935865564,100,"s1"
"first_stage","only_road","","z_rec","F_robust_wald",0.17999821013229,100,"s1"
"estimates","only_road","population","unadjusted","coef",0.131421037780285,100,"s1"
"estimates","only_road","population","unadjusted","se",0.118208610214174,100,"s1"
"estimates","only_road","population","unadjusted","p",0.267123344814472,100,"s1"
"estimates","only_road","population","unadjusted","F_ivf",1.36893886246039,100,"s1"
"estimates","only_road","population","unadjusted","N",311,100,"s1"
"estimates","only_road","population","recentered","coef",-0.246616215967404,100,"s1"
"estimates","only_road","population","recentered","se",0.9280190461644,100,"s1"
"estimates","only_road","population","recentered","p",0.790617697669875,100,"s1"
"estimates","only_road","population","recentered","F_ivf",0.0980191628370271,100,"s1"
"estimates","only_road","population","recentered","N",311,100,"s1"
"estimates","only_road","population","mu_control","coef",-0.156168322400305,100,"s1"
"estimates","only_road","population","mu_control","se",0.589513756025898,100,"s1"
"estimates","only_road","population","mu_control","p",0.791260410912527,100,"s1"
"estimates","only_road","population","mu_control","F_ivf",0.149284348367649,100,"s1"
"estimates","only_road","population","mu_control","N",311,100,"s1"
"estimates","only_road","mfg_valprod","unadjusted","coef",0.752778498664581,100,"s1"
"estimates","only_road","mfg_valprod","unadjusted","se",0.53698843962142,100,"s1"
"estimates","only_road","mfg_valprod","unadjusted","p",0.161993130063365,100,"s1"
"estimates","only_road","mfg_valprod","unadjusted","F_ivf",1.43513526508564,100,"s1"
"estimates","only_road","mfg_valprod","unadjusted","N",310,100,"s1"
"estimates","only_road","mfg_valprod","recentered","coef",-0.546527811217651,100,"s1"
"estimates","only_road","mfg_valprod","recentered","se",2.27662070027071,100,"s1"
"estimates","only_road","mfg_valprod","recentered","p",0.81044692773659,100,"s1"
"estimates","only_road","mfg_valprod","recentered","F_ivf",0.0943140222496371,100,"s1"
"estimates","only_road","mfg_valprod","recentered","N",310,100,"s1"
"estimates","only_road","mfg_valprod","mu_control","coef",-0.226818189495795,100,"s1"
"estimates","only_road","mfg_valprod","mu_control","se",1.29735151095269,100,"s1"
"estimates","only_road","mfg_valprod","mu_control","p",0.861330193534803,100,"s1"
"estimates","only_road","mfg_valprod","mu_control","F_ivf",0.146420721409256,100,"s1"
"estimates","only_road","mfg_valprod","mu_control","N",310,100,"s1"
"estimates","only_road","mfg_wagemass","unadjusted","coef",0.852182830806497,100,"s1"
"estimates","only_road","mfg_wagemass","unadjusted","se",0.614629969387759,100,"s1"
"estimates","only_road","mfg_wagemass","unadjusted","p",0.166628011794836,100,"s1"
"estimates","only_road","mfg_wagemass","unadjusted","F_ivf",1.4326178827605,100,"s1"
"estimates","only_road","mfg_wagemass","unadjusted","N",309,100,"s1"
"estimates","only_road","mfg_wagemass","recentered","coef",-0.343627160619365,100,"s1"
"estimates","only_road","mfg_wagemass","recentered","se",2.1197404165775,100,"s1"
"estimates","only_road","mfg_wagemass","recentered","p",0.871330195147956,100,"s1"
"estimates","only_road","mfg_wagemass","recentered","F_ivf",0.0824588611628151,100,"s1"
"estimates","only_road","mfg_wagemass","recentered","N",309,100,"s1"
"estimates","only_road","mfg_wagemass","mu_control","coef",0.0971107902945213,100,"s1"
"estimates","only_road","mfg_wagemass","mu_control","se",1.03800575306012,100,"s1"
"estimates","only_road","mfg_wagemass","mu_control","p",0.925525401801625,100,"s1"
"estimates","only_road","mfg_wagemass","mu_control","F_ivf",0.167871939976032,100,"s1"
"estimates","only_road","mfg_wagemass","mu_control","N",309,100,"s1"
"estimates","only_road","placebo_pretrend","unadjusted","coef",0.554407598295847,100,"s1"
"estimates","only_road","placebo_pretrend","unadjusted","se",0.786162468439312,100,"s1"
"estimates","only_road","placebo_pretrend","unadjusted","p",0.4814041538142,100,"s1"
"estimates","only_road","placebo_pretrend","unadjusted","F_ivf",0.231955938573849,100,"s1"
"estimates","only_road","placebo_pretrend","unadjusted","N",237,100,"s1"
"estimates","only_road","placebo_pretrend","recentered","coef",-1.42050373518414,100,"s1"
"estimates","only_road","placebo_pretrend","recentered","se",10.0305305417314,100,"s1"
"estimates","only_road","placebo_pretrend","recentered","p",0.887507345814101,100,"s1"
"estimates","only_road","placebo_pretrend","recentered","F_ivf",0.012604974683453,100,"s1"
"estimates","only_road","placebo_pretrend","recentered","N",237,100,"s1"
"estimates","only_road","placebo_pretrend","mu_control","coef",-2.80728465429777,100,"s1"
"estimates","only_road","placebo_pretrend","mu_control","se",34.9867190991007,100,"s1"
"estimates","only_road","placebo_pretrend","mu_control","p",0.936118513800322,100,"s1"
"estimates","only_road","placebo_pretrend","mu_control","F_ivf",0.00373881636782552,100,"s1"
"estimates","only_road","placebo_pretrend","mu_control","N",237,100,"s1"
