page,n_orden,localidad,tipo_resolucion,propuesta,lat,lon,fuente,fuente_url,nota
v4_p19,566,Villa Independencia,manual_coord,Villa Independencia (área Villa Carlos Paz / San Antonio de Arredondo),-31.4583,-64.5078,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/search?q=Villa+Independencia+Punilla+Cordoba&format=json,"Barrio/localidad del depto Punilla, en el conurbano de Villa Carlos Paz"
v3_p21,513,Spurr,barrio_de,Spurr (barrio y estación de Bahía Blanca),-38.7544,-62.2544,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Spurr,"Barrio y estación de FC a ~4 km al sur del centro de Bahía Blanca"
v3_p15,551,M. Colman,rename,Estación Martín Colman,-36.4097,-59.1433,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Mart%C3%ADn_Colman,"Estación y pequeño poblado en partido de Rauch (M. Colman = Martín Colman)"
v8_p02,155,Embalse La Florida,rename,La Florida,-33.1182,-66.0008,Wikipedia,https://es.wikipedia.org/wiki/La_Florida_(San_Luis),"Localidad junto al Embalse La Florida, depto Coronel Pringles"
v6_p02,206,El Chorro,manual_coord,El Chorro,-23.2167,-62.3000,Wikipedia,https://es.wikipedia.org/wiki/El_Chorro_(Formosa),"Localidad del depto Ramón Lista; se llamó General Mosconi 1977-2015 y recuperó el nombre El Chorro"
v3_p04,683,Cerro de los Leones,manual_coord,Cerro Leones (paraje),-37.3161,-59.2003,Welcome Argentina / OSM,https://www.welcomeargentina.com/tandil/cabanas-cerro-leones_i.html,"Paraje serrano al pie del Cerro Leones, partido de Tandil"
v5_p05,275,Piloto Avila,manual_coord,Piloto Ávila,-30.7333,-59.5667,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/search?q=Piloto+Avila+La+Paz+Entre+Rios&format=json,"Paraje próximo a la ciudad de La Paz (acceso Ruta 1), depto La Paz"
v3_p21,766,Tomás Jofré,manual_coord,Tomás Jofré (nombre oficial Jorge Born),-34.6995,-59.3189,Municipalidad de Mercedes,https://nw.mercedes.gob.ar/ciudad/turismo/tomas-jofre,"Localidad del partido de Mercedes; nombre oficial Jorge Born, popularmente Tomás Jofré por su estación"
v5_p05,291,Miñones,manual_coord,Estación Miñones,-30.6983,-58.5825,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Mi%C3%B1ones,"Paraje/estación del distrito Francisco Ramírez; en 1960 depto Federación, hoy depto Federal (contiguo)"
v7_p06,406,Luisiana,manual_coord,Luisiana (La Florida y Luisiana),-26.8000,-65.0833,dices.net / db-city,https://www.dices.net/mapas/argentina/mapa.php?nombre=Luisiana&id=2928,"Comunidad rural del depto Cruz Alta, al este de Alderetes (Gran Tucumán)"
