page,n_orden,localidad,tipo_resolucion,propuesta,lat,lon,fuente,fuente_url,nota
v8_p02,118,La Cañada,rename,La Cañada,-31.4446,-68.4759,osm,https://nominatim.openstreetmap.org/search?q=La%20Ca%C3%B1ada%2C%20Albard%C3%B3n%2C%20San%20Juan,"La Cañada, localidad del depto Albardon, San Juan. Coincide depto."
v6_p05,130,Pozo Grande,sin_coordenada,,,,osm,https://nominatim.openstreetmap.org/search?q=Pozo%20Grande%2C%20Santiago%20del%20Estero,"5 homonimos 'Pozo Grande' en Sgo del Estero (deptos Ojo de Agua, Rio Hondo, Figueroa, Alberdi) pero NINGUNO en depto Avellaneda. No se confirmo; posible homonimo. Sin coordenada."
v3_p07,431,Durcudoy,rename,Villa Durcudoy (Estación 17 de Agosto),-37.9128,-62.9381,wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_17_de_Agosto,"Durcudoy = Villa Durcudoy / Estacion 17 de Agosto, en localidad Diecisiete de Agosto, partido Puan, Buenos Aires. Coincide depto."
v9_1_2_p03,96,Lago Futalaufquen,rename,Villa Futalaufquen,-42.8605,-71.6269,gazetteer,http://www.hosteriafutalaufquen.com/ubicacion/,"Aldea Villa Futalaufquen sobre costa sur del lago Futalaufquen, PN Los Alerces, depto Futaleufu, Chubut. Coincide depto."
v3_p04,504,Colonia Hogar Ricardo Gutiérrez,barrio_de,Marcos Paz (Colonia Hogar Ricardo Gutiérrez),-34.8478,-58.8354,osm,https://nominatim.openstreetmap.org/search?q=Colonia%20Hogar%20Ricardo%20Guti%C3%A9rrez%2C%20Marcos%20Paz,"Colonia/barrio ~7 km al sur de la ciudad de Marcos Paz, partido Marcos Paz. Coincide depto."
v3_p15,527,Máximo Fernández,rename,Máximo Fernández,-35.0614,-60.7047,wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_M%C3%A1ximo_Fern%C3%A1ndez,"Localidad/estacion Maximo Fernandez, ~21 km al oeste de Bragado, partido Bragado. Coincide depto."
v8_p02,151,Dixonville,rename,Fortín El Patria (ex Dixonville),-34.7726,-65.5232,osm,https://nominatim.openstreetmap.org/search?q=Fort%C3%ADn%20El%20Patria%2C%20San%20Luis,"Estacion Dixonville, hoy paraje/municipio Fortin El Patria, depto Gobernador Dupuy, San Luis. Coincide depto (la coord de Wikipedia estaba errada en Bs As)."
v3_p14,598,Lia Calel,rename,Lin Calel,-38.7000,-60.2333,gazetteer,https://www.dices.net/mapas/argentina/mapa.php?nombre=Lin-Calel&id=877,"Transcripcion 'Lia Calel' = Lin Calel, pueblo/estacion del partido Tres Arroyos, Buenos Aires. Coincide depto."
v4_p12,657,Molinari,rename,Molinari,-31.1999,-64.4830,wikipedia,https://es.wikipedia.org/wiki/Molinari_(C%C3%B3rdoba),"Molinari, localidad del depto Punilla (hoy dependiente de Cosquin), Cordoba. Coincide depto."
v4_p06,682,El Cano,manual_coord,El Cano,-32.6101,-64.5961,osm,https://nominatim.openstreetmap.org/search?q=El%20Cano%2C%20Calamuchita%2C%20C%C3%B3rdoba,"Paraje rural El Cano (Pedania Rio de los Sauces), depto Calamuchita, Cordoba; capilla San Antonio de El Cano. Coincide depto; coordenada aproximada."
v5_p06,281,Primero de Mayo,rename,Primero de Mayo,-32.2552,-58.4228,wikipedia,https://es.wikipedia.org/wiki/Primero_de_Mayo_(Entre_R%C3%ADos),"Primero de Mayo, municipio del depto Uruguay, Entre Rios. Coincide depto."
v7_p11,361,Veintitrés de Agosto,rename,23 de Agosto,-23.7808,-64.6708,osm,https://nominatim.openstreetmap.org/search?q=23%20de%20Agosto%2C%20Ledesma%2C%20Jujuy,"'23 de Agosto', poblado del depto Ledesma (municipio Calilegua), Jujuy. Coincide depto; existe tambien barrio homonimo en Libertador Gral San Martin (mismo depto)."
v7_p04,386,El Tobar,rename,El Tobar,-27.5333,-65.0667,osm,https://nominatim.openstreetmap.org/search?q=El%20Tobar%2C%20Tucum%C3%A1n,"El Tobar; OSM lo ubica en depto Simoca (uno de los deptos_modernos), lindante con Chicligasta. Coincide depto."
v3_p04,905,Colonia La Merced,manual_coord,Colonia La Merced,-38.6740,-62.4743,osm,https://nominatim.openstreetmap.org/search?q=Colonia%20La%20Merced%2C%20Villarino,"Colonia La Merced, paraje del partido Villarino (limite con Bahia Blanca sobre el arroyo Sauce Chico). Coincide depto."
