page,n_orden,localidad,tipo_resolucion,propuesta,lat,lon,fuente,fuente_url,nota
v5_p04,205,Leguizamón,sin_coordenada,,,,,,"No se identificó localidad/estación 'Leguizamón' en depto La Paz o Federal (Entre Ríos). Solo aparece la calle Martiniano Leguizamón en la ciudad de La Paz (homónimo, no es la localidad). Sin coordenada confiable."
v3_p07,533,Elordi,rename,Massey (Estación Elordi),-35.0462,-63.1218,OSM Nominatim,https://nominatim.openstreetmap.org/,"Localidad Massey, cuya estación ferroviaria es Elordi; partido de General Villegas, Buenos Aires."
v8_p04,152,Rincón del Este,manual_coord,Rincón del Este (Villa de Merlo),-32.3506,-64.9827,OSM Nominatim,https://nominatim.openstreetmap.org/,"Paraje/barrio al este de Villa de Merlo, depto Junín, San Luis (hoy reserva florofaunística)."
v4_p02,642,Cabana,manual_coord,Cabana,-31.2175,-64.3502,Wikipedia,https://es.wikipedia.org/wiki/Cabana_(Argentina),"Localidad en la ladera este de las Sierras Chicas, depto Colón, cerca de Unquillo, Córdoba."
v3_p14,673,Loma Negra,manual_coord,Loma Negra (Villa Fortabat),-36.9667,-60.2500,Wikipedia,https://es.wikipedia.org/wiki/Loma_Negra,"Pueblo cementero (Villa Alfredo Fortabat), a ~14 km de Olavarría, partido de Olavarría."
v3_p23,709,Vuelta de Obligado,rename,Obligado,-33.5833,-59.8167,Wikipedia,https://es.wikipedia.org/wiki/Obligado_(Buenos_Aires),"Localidad de Obligado (Vuelta de Obligado) a orillas del Paraná, partido de San Pedro."
v6_p03,245,La Brea,manual_coord,La Brea,-27.5719,-63.6296,OSM Nominatim,https://nominatim.openstreetmap.org/,"Paraje en depto Figueroa (Santiago del Estero). La pista Brea Pozo está en depto San Martín (homónimo distinto); se usó La Brea de Figueroa."
v7_p01,370,Bajo Grande,manual_coord,Bajo Grande,-25.3500,-64.5000,OSM Nominatim,https://nominatim.openstreetmap.org/,"Localidad del municipio El Galpón, depto Metán, Salta. Coordenada de baja precisión (punto OSM redondeado); aproximada."
v7_p04,398,General Alvarado,manual_coord,General Alvarado,-24.8496,-65.4577,OSM Nominatim,https://nominatim.openstreetmap.org/,"Paraje/barrio en el SO de la ciudad de Salta, depto Capital."
v9_1_2_p04,154,Planta Compresora Conesa,manual_coord,Planta Compresora (General Conesa),-40.4248,-63.9047,OSM Nominatim,https://nominatim.openstreetmap.org/,"Planta compresora de gas sobre RN250 (km 49), depto Conesa, Río Negro; caserío ligado a la planta al norte del casco de General Conesa."
