page,n_orden,localidad,tipo_resolucion,propuesta,lat,lon,fuente,fuente_url,nota
v7_p07,169,Ntra.Sra. de Talavera,manual_coord,Nuestra Señora de Talavera,-25.4567,-63.7789,wikipedia,https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_Talavera_(actual),"Pueblo en depto Anta (Salta), municipio El Quebrachal, sobre RN16."
v7_p04,182,Gobernador Garmendia,manual_coord,Gobernador Garmendia,-26.5689,-64.5561,wikipedia,https://en.wikipedia.org/wiki/Gobernador_Garmendia,"Localidad de depto Burruyacú (Tucumán), sobre RP336."
v5_p04,188,Ifrán,manual_coord,Ifrán,-29.0959,-58.9693,osm,"https://nominatim.openstreetmap.org/search?q=Ifran,+Goya,+Corrientes,+Argentina","Paraje Ifrán en depto Goya (Corrientes), sobre RP84."
v6_p05,152,Misión Fco. Tacaaglé,manual_coord,Misión Tacaaglé,-24.9780,-58.8221,wikipedia,https://en.wikipedia.org/wiki/Misi%C3%B3n_Tacaagl%C3%A9,"Localidad de depto Pilagás (Formosa); ex San Francisco Solano de Tacaaglé."
v6_p01,160,Clodomiro Díaz,manual_coord,Pueblo Clodomiro Díaz,-27.6380,-60.7937,osm,"https://nominatim.openstreetmap.org/search?q=Pueblo+Clodomiro+Diaz,+Chaco,+Argentina","Aldea/estación en depto Mayor Luis J. Fontana (Chaco), cerca de Villa Ángela."
v3_p12,532,Kilómetro 158,rename,Pueblo Doyle,-33.9033,-59.8210,wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Doyle,"El pueblo se llamó Kilómetro 158 (luego Ing. Urcelay) antes de renombrarse Pueblo Doyle; depto San Pedro (Buenos Aires)."
v4_p12,621,Monte Cristo,manual_coord,Monte Cristo,-31.3431,-63.9444,wikipedia,https://es.wikipedia.org/wiki/Monte_Cristo,"Localidad de depto Río Primero (Córdoba), a 25 km de la capital, sobre RN19."
v7_p04,298,El Recreo,manual_coord,"El Recreo (paraje, 25 de Mayo)",-26.7221,-66.0573,osm,"https://nominatim.openstreetmap.org/search?q=El+Recreo,+Santa+Maria,+Catamarca,+Argentina","Paraje El Recreo (distrito 25 de Mayo) en depto Santa María (Catamarca). NO es el homónimo Recreo/La Paz de la pista."
v7_p05,321,Iturbe,manual_coord,Iturbe,-22.9789,-65.3536,wikipedia,https://es.wikipedia.org/wiki/Iturbe_(Argentina),"Localidad/estación ferroviaria en depto Humahuaca (Jujuy). Coord 22°58'44\"\"S 65°21'13\"\"W."
v5_p07,271,Veinte de Setiembre,manual_coord,Veinte de Setiembre,-32.3860,-59.6645,osm,"https://nominatim.openstreetmap.org/search?q=Veinte+de+Setiembre,+Nogoya,+Entre+Rios,+Argentina","Paraje/junta de gobierno en distrito Sauce, depto Nogoyá (Entre Ríos), sobre RN12."
v6_p02,242,El Cajón,manual_coord,El Cajón,-29.3211,-63.8839,osm,"https://nominatim.openstreetmap.org/search?q=El+Cajon,+Ojo+de+Agua,+Santiago+del+Estero,+Argentina","Paraje El Cajón en depto Ojo de Agua (Santiago del Estero)."
v3_p12,781,La Japonesa,rename,Gobernador Duval,-38.7430,-66.4354,osm,"https://nominatim.openstreetmap.org/search?q=Gobernador+Duval,+La+Pampa,+Argentina","Gobernador Duval, sobre el Río Colorado en depto Curacó (La Pampa); histórica y popularmente conocido como La Japonesa."
v7_p08,389,Rosario del Dorado,manual_coord,Rosario del Dorado,-24.5275,-64.1558,osm,"https://nominatim.openstreetmap.org/search?q=Rosario+del+Dorado,+Anta,+Salta,+Argentina","Paraje en municipio Apolinario Saravia, depto Anta (Salta)."
v4_p08,775,Jean Maire,manual_coord,Jeanmaire,-31.4008,-62.4683,osm,"https://nominatim.openstreetmap.org/search?q=Jeanmaire,+San+Justo,+Cordoba,+Argentina","Localidad Jeanmaire en depto San Justo (Córdoba)."
